Ano,Pais,Sexo,GrupoEtario,NivelEnsino,Valor
1998,Portugal,Homens,15 - 64 anos,Ensino Superior (níveis 5-8),5.7
1998,Portugal,Homens,20 - 24 anos,Ensino Superior (níveis 5-8),2.8
1998,Portugal,Homens,25 - 34 anos,Ensino Superior (níveis 5-8),7.9
1998,Portugal,Homens,35 - 44 anos,Ensino Superior (níveis 5-8),7.4
1998,Portugal,Homens,45 - 54 anos,Ensino Superior (níveis 5-8),7.1
1998,Portugal,Homens,55 - 64 anos,Ensino Superior (níveis 5-8),4.7
1998,Portugal,Mulheres,15 - 64 anos,Ensino Superior (níveis 5-8),8.2
1998,Portugal,Mulheres,20 - 24 anos,Ensino Superior (níveis 5-8),6.8
1998,Portugal,Mulheres,25 - 34 anos,Ensino Superior (níveis 5-8),14.3
1998,Portugal,Mulheres,35 - 44 anos,Ensino Superior (níveis 5-8),10.6
1998,Portugal,Mulheres,45 - 54 anos,Ensino Superior (níveis 5-8),7.2
1998,Portugal,Mulheres,55 - 64 anos,Ensino Superior (níveis 5-8),4.6
1999,Portugal,Homens,15 - 64 anos,Ensino Superior (níveis 5-8),6.3
1999,Portugal,Homens,20 - 24 anos,Ensino Superior (níveis 5-8),2.5
1999,Portugal,Homens,25 - 34 anos,Ensino Superior (níveis 5-8),9.4
1999,Portugal,Homens,35 - 44 anos,Ensino Superior (níveis 5-8),8.2
1999,Portugal,Homens,45 - 54 anos,Ensino Superior (níveis 5-8),7.8
1999,Portugal,Homens,55 - 64 anos,Ensino Superior (níveis 5-8),4.7
1999,Portugal,Mulheres,15 - 64 anos,Ensino Superior (níveis 5-8),8.7
1999,Portugal,Mulheres,20 - 24 anos,Ensino Superior (níveis 5-8),7.9
1999,Portugal,Mulheres,25 - 34 anos,Ensino Superior (níveis 5-8),15.4
1999,Portugal,Mulheres,35 - 44 anos,Ensino Superior (níveis 5-8),10.9
1999,Portugal,Mulheres,45 - 54 anos,Ensino Superior (níveis 5-8),7.3
1999,Portugal,Mulheres,55 - 64 anos,Ensino Superior (níveis 5-8),4.2
2000,Portugal,Homens,15 - 64 anos,Ensino Superior (níveis 5-8),6.2
2000,Portugal,Homens,20 - 24 anos,Ensino Superior (níveis 5-8),3
2000,Portugal,Homens,25 - 34 anos,Ensino Superior (níveis 5-8),10
2000,Portugal,Homens,35 - 44 anos,Ensino Superior (níveis 5-8),7.2
2000,Portugal,Homens,45 - 54 anos,Ensino Superior (níveis 5-8),6.7
2000,Portugal,Homens,55 - 64 anos,Ensino Superior (níveis 5-8),5.2
2000,Portugal,Mulheres,15 - 64 anos,Ensino Superior (níveis 5-8),8.7
2000,Portugal,Mulheres,20 - 24 anos,Ensino Superior (níveis 5-8),7.1
2000,Portugal,Mulheres,25 - 34 anos,Ensino Superior (níveis 5-8),15.7
2000,Portugal,Mulheres,35 - 44 anos,Ensino Superior (níveis 5-8),11.2
2000,Portugal,Mulheres,45 - 54 anos,Ensino Superior (níveis 5-8),7.2
