STRUCTURE_NAME,Tipo,Valor,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE,SequenciaTipo,SequenciaValor,Attribute,qryNacional.X,Y,X
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,AT,Austria,2024,15.7,2,1,Inicio,16.9,988,16.9
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,AT,Austria,2024,15.7,2,1,Fim,16.9,987,15.7
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,AT,Austria,2024,18.1,2,2,Inicio,16.9,986,16.9
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,AT,Austria,2024,18.1,2,2,Fim,16.9,985,18.1
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,BE,Belgium,2024,17.6,2,1,Inicio,18.2,988,18.2
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,BE,Belgium,2024,17.6,2,1,Fim,18.2,987,17.6
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,BE,Belgium,2024,18.9,2,2,Inicio,18.2,986,18.2
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,BE,Belgium,2024,18.9,2,2,Fim,18.2,985,18.9
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,BG,Bulgaria,2024,28.9,2,1,Inicio,30.3,988,30.3
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,BG,Bulgaria,2024,28.9,2,1,Fim,30.3,987,28.9
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,BG,Bulgaria,2024,31.6,2,2,Inicio,30.3,986,30.3
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,BG,Bulgaria,2024,31.6,2,2,Fim,30.3,985,31.6
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,HR,Croatia,2024,19.5,2,1,Inicio,21.7,988,21.7
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,HR,Croatia,2024,19.5,2,1,Fim,21.7,987,19.5
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,HR,Croatia,2024,23.7,2,2,Inicio,21.7,986,21.7
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,HR,Croatia,2024,23.7,2,2,Fim,21.7,985,23.7
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,CY,Cyprus,2024,15.6,2,1,Inicio,17.1,988,17.1
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,CY,Cyprus,2024,15.6,2,1,Fim,17.1,987,15.6
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,CY,Cyprus,2024,18.5,2,2,Inicio,17.1,986,17.1
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,CY,Cyprus,2024,18.5,2,2,Fim,17.1,985,18.5
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,CZ,Czechia,2024,10,2,1,Inicio,11.3,988,11.3
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,CZ,Czechia,2024,10,2,1,Fim,11.3,987,10
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,CZ,Czechia,2024,12.5,2,2,Inicio,11.3,986,11.3
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,CZ,Czechia,2024,12.5,2,2,Fim,11.3,985,12.5
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,DK,Denmark,2024,17.8,2,1,Inicio,18,988,18
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,DK,Denmark,2024,17.8,2,1,Fim,18,987,17.8
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,DK,Denmark,2024,18.2,2,2,Inicio,18,986,18
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,DK,Denmark,2024,18.2,2,2,Fim,18,985,18.2
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,EE,Estonia,2024,19.7,2,1,Inicio,22.2,988,22.2
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,EE,Estonia,2024,19.7,2,1,Fim,22.2,987,19.7
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,EE,Estonia,2024,24.5,2,2,Inicio,22.2,986,22.2
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,EE,Estonia,2024,24.5,2,2,Fim,22.2,985,24.5
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,FI,Finland,2024,16.3,2,1,Inicio,16.8,988,16.8
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,FI,Finland,2024,16.3,2,1,Fim,16.8,987,16.3
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,FI,Finland,2024,17.2,2,2,Inicio,16.8,986,16.8
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,FI,Finland,2024,17.2,2,2,Fim,16.8,985,17.2
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,FR,France,2024,19.2,2,1,Inicio,20.5,988,20.5
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,FR,France,2024,19.2,2,1,Fim,20.5,987,19.2
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,FR,France,2024,21.7,2,2,Inicio,20.5,986,20.5
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,FR,France,2024,21.7,2,2,Fim,20.5,985,21.7
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,DE,Germany,2024,20.2,2,1,Inicio,21.1,988,21.1
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,DE,Germany,2024,20.2,2,1,Fim,21.1,987,20.2
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,DE,Germany,2024,21.9,2,2,Inicio,21.1,986,21.1
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,DE,Germany,2024,21.9,2,2,Fim,21.1,985,21.9
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,EL,Greece,2024,25.9,2,1,Inicio,26.9,988,26.9
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,EL,Greece,2024,25.9,2,1,Fim,26.9,987,25.9
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,EL,Greece,2024,27.9,2,2,Inicio,26.9,986,26.9
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,EL,Greece,2024,27.9,2,2,Fim,26.9,985,27.9
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,HU,Hungary,2024,19.2,2,1,Inicio,20.2,988,20.2
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,HU,Hungary,2024,19.2,2,1,Fim,20.2,987,19.2
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,HU,Hungary,2024,21.1,2,2,Inicio,20.2,986,20.2
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,HU,Hungary,2024,21.1,2,2,Fim,20.2,985,21.1
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,IE,Ireland,2024,16.2,2,1,Inicio,16.7,988,16.7
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,IE,Ireland,2024,16.2,2,1,Fim,16.7,987,16.2
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,IE,Ireland,2024,17.2,2,2,Inicio,16.7,986,16.7
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,IE,Ireland,2024,17.2,2,2,Fim,16.7,985,17.2
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,IT,Italy,2024,21.8,2,1,Inicio,23.1,988,23.1
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,IT,Italy,2024,21.8,2,1,Fim,23.1,987,21.8
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,IT,Italy,2024,24.3,2,2,Inicio,23.1,986,23.1
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,IT,Italy,2024,24.3,2,2,Fim,23.1,985,24.3
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,LV,Latvia,2024,22,2,1,Inicio,24.3,988,24.3
Persons at risk of poverty or social exclusion by age and sex,Sexo,Males,LV,Latvia,2024,22,2,1,Fim,24.3,987,22
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,LV,Latvia,2024,26.3,2,2,Inicio,24.3,986,24.3
Persons at risk of poverty or social exclusion by age and sex,Sexo,Females,LV,Latvia,2024,26.3,2,2,Fim,24.3,985,26.3
