STRUCTURE_NAME,Tipo,Valor,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE,SequenciaTipo,SequenciaValor,Attribute,qryNacional.X,Y,X
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One adult,AT,Austria,2024,29.9,7,1,Inicio,16.9,938,16.9
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One adult,AT,Austria,2024,29.9,7,1,Fim,16.9,937,29.9
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One adult younger than 65 years,AT,Austria,2024,31.2,7,2,Inicio,16.9,936,16.9
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One adult younger than 65 years,AT,Austria,2024,31.2,7,2,Fim,16.9,935,31.2
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One adult 65 years or over,AT,Austria,2024,27.6,7,3,Inicio,16.9,934,16.9
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One adult 65 years or over,AT,Austria,2024,27.6,7,3,Fim,16.9,933,27.6
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One single female,AT,Austria,2024,31.4,7,4,Inicio,16.9,932,16.9
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One single female,AT,Austria,2024,31.4,7,4,Fim,16.9,931,31.4
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One single male,AT,Austria,2024,28.2,7,5,Inicio,16.9,930,16.9
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One single male,AT,Austria,2024,28.2,7,5,Fim,16.9,929,28.2
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults,AT,Austria,2024,11,7,6,Inicio,16.9,928,16.9
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults,AT,Austria,2024,11,7,6,Fim,16.9,927,11
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults younger than 65 years,AT,Austria,2024,10,7,7,Inicio,16.9,926,16.9
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults younger than 65 years,AT,Austria,2024,10,7,7,Fim,16.9,925,10
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,"Two adults, at least one aged 65 years or over",AT,Austria,2024,12.3,7,8,Inicio,16.9,924,16.9
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,"Two adults, at least one aged 65 years or over",AT,Austria,2024,12.3,7,8,Fim,16.9,923,12.3
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Household without dependent children,AT,Austria,2024,16.2,7,9,Inicio,16.9,922,16.9
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Household without dependent children,AT,Austria,2024,16.2,7,9,Fim,16.9,921,16.2
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Household with dependent children,AT,Austria,2024,17.7,7,10,Inicio,16.9,920,16.9
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Household with dependent children,AT,Austria,2024,17.7,7,10,Fim,16.9,919,17.7
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One adult with dependent children,AT,Austria,2024,42.5,7,11,Inicio,16.9,918,16.9
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One adult with dependent children,AT,Austria,2024,42.5,7,11,Fim,16.9,917,42.5
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two or more adults without dependent children,AT,Austria,2024,9.5,7,12,Inicio,16.9,916,16.9
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two or more adults without dependent children,AT,Austria,2024,9.5,7,12,Fim,16.9,915,9.5
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two or more adults with dependent children,AT,Austria,2024,15.9,7,13,Inicio,16.9,914,16.9
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two or more adults with dependent children,AT,Austria,2024,15.9,7,13,Fim,16.9,913,15.9
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults with one dependent child,AT,Austria,2024,9.2,7,14,Inicio,16.9,912,16.9
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults with one dependent child,AT,Austria,2024,9.2,7,14,Fim,16.9,911,9.2
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults with two dependent children,AT,Austria,2024,11.2,7,15,Inicio,16.9,910,16.9
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults with two dependent children,AT,Austria,2024,11.2,7,15,Fim,16.9,909,11.2
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults with three or more dependent children,AT,Austria,2024,29.7,7,16,Inicio,16.9,908,16.9
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults with three or more dependent children,AT,Austria,2024,29.7,7,16,Fim,16.9,907,29.7
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Three or more adults,AT,Austria,2024,5.1,7,17,Inicio,16.9,906,16.9
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Three or more adults,AT,Austria,2024,5.1,7,17,Fim,16.9,905,5.1
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Three or more adults with dependent children,AT,Austria,2024,20.8,7,18,Inicio,16.9,904,16.9
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Three or more adults with dependent children,AT,Austria,2024,20.8,7,18,Fim,16.9,903,20.8
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One adult,BE,Belgium,2024,27.2,7,1,Inicio,18.2,938,18.2
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One adult,BE,Belgium,2024,27.2,7,1,Fim,18.2,937,27.2
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One adult younger than 65 years,BE,Belgium,2024,35.2,7,2,Inicio,18.2,936,18.2
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One adult younger than 65 years,BE,Belgium,2024,35.2,7,2,Fim,18.2,935,35.2
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One adult 65 years or over,BE,Belgium,2024,16.6,7,3,Inicio,18.2,934,18.2
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One adult 65 years or over,BE,Belgium,2024,16.6,7,3,Fim,18.2,933,16.6
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One single female,BE,Belgium,2024,25.8,7,4,Inicio,18.2,932,18.2
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One single female,BE,Belgium,2024,25.8,7,4,Fim,18.2,931,25.8
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One single male,BE,Belgium,2024,28.7,7,5,Inicio,18.2,930,18.2
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,One single male,BE,Belgium,2024,28.7,7,5,Fim,18.2,929,28.7
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults,BE,Belgium,2024,13.6,7,6,Inicio,18.2,928,18.2
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults,BE,Belgium,2024,13.6,7,6,Fim,18.2,927,13.6
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults younger than 65 years,BE,Belgium,2024,11.8,7,7,Inicio,18.2,926,18.2
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Two adults younger than 65 years,BE,Belgium,2024,11.8,7,7,Fim,18.2,925,11.8
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,"Two adults, at least one aged 65 years or over",BE,Belgium,2024,15.3,7,8,Inicio,18.2,924,18.2
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,"Two adults, at least one aged 65 years or over",BE,Belgium,2024,15.3,7,8,Fim,18.2,923,15.3
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Household without dependent children,BE,Belgium,2024,18.2,7,9,Inicio,18.2,922,18.2
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Household without dependent children,BE,Belgium,2024,18.2,7,9,Fim,18.2,921,18.2
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Household with dependent children,BE,Belgium,2024,18.3,7,10,Inicio,18.2,920,18.2
Persons at risk of poverty or social exclusion by income quantile and household composition,Composição Agregado,Household with dependent children,BE,Belgium,2024,18.3,7,10,Fim,18.2,919,18.3
