geo,GeoDesc,X,Y
AT,Austria,16.9,1000
AT,Austria,16.9,800
BE,Belgium,18.2,1000
BE,Belgium,18.2,800
BG,Bulgaria,30.3,1000
BG,Bulgaria,30.3,800
CY,Cyprus,17.1,1000
CY,Cyprus,17.1,800
CZ,Czechia,11.3,1000
CZ,Czechia,11.3,800
DE,Germany,21.1,1000
DE,Germany,21.1,800
DK,Denmark,18,1000
DK,Denmark,18,800
EE,Estonia,22.2,1000
EE,Estonia,22.2,800
EL,Greece,26.9,1000
EL,Greece,26.9,800
ES,Spain,25.8,1000
ES,Spain,25.8,800
FI,Finland,16.8,1000
FI,Finland,16.8,800
FR,France,20.5,1000
FR,France,20.5,800
HR,Croatia,21.7,1000
HR,Croatia,21.7,800
HU,Hungary,20.2,1000
HU,Hungary,20.2,800
IE,Ireland,16.7,1000
IE,Ireland,16.7,800
IT,Italy,23.1,1000
IT,Italy,23.1,800
LT,Lithuania,25.8,1000
LT,Lithuania,25.8,800
LU,Luxembourg,20,1000
LU,Luxembourg,20,800
LV,Latvia,24.3,1000
LV,Latvia,24.3,800
MT,Malta,19.7,1000
MT,Malta,19.7,800
NL,Netherlands,15.4,1000
NL,Netherlands,15.4,800
NO,Norway,15.7,1000
NO,Norway,15.7,800
PL,Poland,16,1000
PL,Poland,16,800
PT,Portugal,19.7,1000
PT,Portugal,19.7,800
RO,Romania,27.9,1000
RO,Romania,27.9,800
SE,Sweden,17.5,1000
SE,Sweden,17.5,800
SI,Slovenia,14.4,1000
SI,Slovenia,14.4,800
SK,Slovakia,18.3,1000
SK,Slovakia,18.3,800
TR,Türkiye,30.4,1000
TR,Türkiye,30.4,800
