Variavel,Categoria,Geo,Geo_Desc,Ano,Valor,Var_Num,Cat_Num,DescLocal,YCoord,XCoord
Total,Total,AT,Austria,2024,16.9,1,1,Inicio,1000,16.9
Idade,11-15,AT,Austria,2024,23.2,3,1,Inicio,983,16.9
Total,Total,AT,Austria,2024,16.9,1,1,Fim,830,16.9
Total,Total,BE,Belgium,2024,18.2,1,1,Inicio,1000,18.2
Total,Total,BE,Belgium,2024,18.2,1,1,Fim,830,18.2
Total,Total,BG,Bulgaria,2024,30.3,1,1,Inicio,1000,30.3
Total,Total,BG,Bulgaria,2024,30.3,1,1,Fim,830,30.3
Total,Total,CY,Cyprus,2024,17.1,1,1,Inicio,1000,17.1
Total,Total,CY,Cyprus,2024,17.1,1,1,Fim,830,17.1
Total,Total,CZ,Czechia,2024,11.3,1,1,Inicio,1000,11.3
Total,Total,CZ,Czechia,2024,11.3,1,1,Fim,830,11.3
Total,Total,DE,Germany,2024,21.1,1,1,Inicio,1000,21.1
Total,Total,DE,Germany,2024,21.1,1,1,Fim,830,21.1
Total,Total,DK,Denmark,2024,18,1,1,Inicio,1000,18
Total,Total,DK,Denmark,2024,18,1,1,Fim,830,18
Total,Total,EE,Estonia,2024,22.2,1,1,Inicio,1000,22.2
Total,Total,EE,Estonia,2024,22.2,1,1,Fim,830,22.2
Total,Total,EL,Greece,2024,26.9,1,1,Inicio,1000,26.9
Total,Total,EL,Greece,2024,26.9,1,1,Fim,830,26.9
Total,Total,ES,Spain,2024,25.8,1,1,Inicio,1000,25.8
Total,Total,ES,Spain,2024,25.8,1,1,Fim,830,25.8
Total,Total,FI,Finland,2024,16.8,1,1,Inicio,1000,16.8
Total,Total,FI,Finland,2024,16.8,1,1,Fim,830,16.8
Total,Total,FR,France,2024,20.5,1,1,Inicio,1000,20.5
Total,Total,FR,France,2024,20.5,1,1,Fim,830,20.5
Total,Total,HR,Croatia,2024,21.7,1,1,Inicio,1000,21.7
Total,Total,HR,Croatia,2024,21.7,1,1,Fim,830,21.7
Total,Total,HU,Hungary,2024,20.2,1,1,Inicio,1000,20.2
Total,Total,HU,Hungary,2024,20.2,1,1,Fim,830,20.2
Total,Total,IE,Ireland,2024,17.1,1,1,Inicio,1000,17.1
Total,Total,IE,Ireland,2024,17.1,1,1,Fim,830,17.1
