Variavel,Categoria,Geo,Geo_Desc,Ano,Valor,Var_Num,Cat_Num,DescLocal,YCoord
Total,Total,AT,Austria,2024,16.9,1,1,Inicio,1000
Total,Total,AT,Austria,2024,16.9,1,1,Fim,930
Total,Total,BE,Belgium,2024,18.2,1,1,Inicio,1000
Total,Total,BE,Belgium,2024,18.2,1,1,Fim,930
Total,Total,BG,Bulgaria,2024,30.3,1,1,Inicio,1000
Total,Total,BG,Bulgaria,2024,30.3,1,1,Fim,930
Total,Total,CY,Cyprus,2024,17.1,1,1,Inicio,1000
Total,Total,CY,Cyprus,2024,17.1,1,1,Fim,930
Total,Total,CZ,Czechia,2024,11.3,1,1,Inicio,1000
Total,Total,CZ,Czechia,2024,11.3,1,1,Fim,930
Total,Total,DE,Germany,2024,21.1,1,1,Inicio,1000
Total,Total,DE,Germany,2024,21.1,1,1,Fim,930
Total,Total,DK,Denmark,2024,18,1,1,Inicio,1000
Total,Total,DK,Denmark,2024,18,1,1,Fim,930
Total,Total,EE,Estonia,2024,22.2,1,1,Inicio,1000
Total,Total,EE,Estonia,2024,22.2,1,1,Fim,930
Total,Total,EL,Greece,2024,26.9,1,1,Inicio,1000
Total,Total,EL,Greece,2024,26.9,1,1,Fim,930
Total,Total,ES,Spain,2024,25.8,1,1,Inicio,1000
Total,Total,ES,Spain,2024,25.8,1,1,Fim,930
Total,Total,FI,Finland,2024,16.8,1,1,Inicio,1000
Total,Total,FI,Finland,2024,16.8,1,1,Fim,930
Total,Total,FR,France,2024,20.5,1,1,Inicio,1000
Total,Total,FR,France,2024,20.5,1,1,Fim,930
Total,Total,HR,Croatia,2024,21.7,1,1,Inicio,1000
Total,Total,HR,Croatia,2024,21.7,1,1,Fim,930
Total,Total,HU,Hungary,2024,20.2,1,1,Inicio,1000
Total,Total,HU,Hungary,2024,20.2,1,1,Fim,930
Total,Total,IE,Ireland,2024,17.1,1,1,Inicio,1000
Total,Total,IE,Ireland,2024,17.1,1,1,Fim,930
Total,Total,IT,Italy,2024,23.1,1,1,Inicio,1000
Total,Total,IT,Italy,2024,23.1,1,1,Fim,930
Total,Total,LT,Lithuania,2024,25.8,1,1,Inicio,1000
Total,Total,LT,Lithuania,2024,25.8,1,1,Fim,930
Total,Total,LU,Luxembourg,2024,20,1,1,Inicio,1000
Total,Total,LU,Luxembourg,2024,20,1,1,Fim,930
Total,Total,LV,Latvia,2024,24.3,1,1,Inicio,1000
Total,Total,LV,Latvia,2024,24.3,1,1,Fim,930
Total,Total,MT,Malta,2024,19.7,1,1,Inicio,1000
Total,Total,MT,Malta,2024,19.7,1,1,Fim,930
Total,Total,NL,Netherlands,2024,15.4,1,1,Inicio,1000
Total,Total,NL,Netherlands,2024,15.4,1,1,Fim,930
Total,Total,NO,Norway,2024,15.7,1,1,Inicio,1000
Total,Total,NO,Norway,2024,15.7,1,1,Fim,930
Total,Total,PL,Poland,2024,16,1,1,Inicio,1000
Total,Total,PL,Poland,2024,16,1,1,Fim,930
Total,Total,PT,Portugal,2024,19.7,1,1,Inicio,1000
Total,Total,PT,Portugal,2024,19.7,1,1,Fim,930
Total,Total,RO,Romania,2024,27.9,1,1,Inicio,1000
Total,Total,RO,Romania,2024,27.9,1,1,Fim,930
Total,Total,RS,Serbia,2024,24.3,1,1,Inicio,1000
Total,Total,RS,Serbia,2024,24.3,1,1,Fim,930
Total,Total,SE,Sweden,2024,17.5,1,1,Inicio,1000
Total,Total,SE,Sweden,2024,17.5,1,1,Fim,930
Total,Total,SI,Slovenia,2024,14.4,1,1,Inicio,1000
Total,Total,SI,Slovenia,2024,14.4,1,1,Fim,930
Total,Total,SK,Slovakia,2024,18.3,1,1,Inicio,1000
Total,Total,SK,Slovakia,2024,18.3,1,1,Fim,930
Total,Total,TR,Türkiye,2024,30.4,1,1,Inicio,1000
Total,Total,TR,Türkiye,2024,30.4,1,1,Fim,930
Idade,11-15,AT,Austria,2024,23.2,3,1,Inicio,983
Idade,11-15,AT,Austria,2024,23.2,3,1,Fim,985
Idade,11-15,BE,Belgium,2024,22.9,3,1,Inicio,983
Idade,11-15,BE,Belgium,2024,22.9,3,1,Fim,985
Idade,11-15,BG,Bulgaria,2024,35.8,3,1,Inicio,983
Idade,11-15,BG,Bulgaria,2024,35.8,3,1,Fim,985
Idade,11-15,CY,Cyprus,2024,16.4,3,1,Inicio,983
Idade,11-15,CY,Cyprus,2024,16.4,3,1,Fim,985
Idade,11-15,CZ,Czechia,2024,18.2,3,1,Inicio,983
Idade,11-15,CZ,Czechia,2024,18.2,3,1,Fim,985
Idade,11-15,DE,Germany,2024,22.5,3,1,Inicio,983
Idade,11-15,DE,Germany,2024,22.5,3,1,Fim,985
Idade,11-15,DK,Denmark,2024,15,3,1,Inicio,983
Idade,11-15,DK,Denmark,2024,15,3,1,Fim,985
Idade,11-15,EE,Estonia,2024,18.4,3,1,Inicio,983
Idade,11-15,EE,Estonia,2024,18.4,3,1,Fim,985
Idade,11-15,EL,Greece,2024,30.8,3,1,Inicio,983
Idade,11-15,EL,Greece,2024,30.8,3,1,Fim,985
Idade,11-15,ES,Spain,2024,34.5,3,1,Inicio,983
Idade,11-15,ES,Spain,2024,34.5,3,1,Fim,985
Idade,11-15,FI,Finland,2024,14.5,3,1,Inicio,983
Idade,11-15,FI,Finland,2024,14.5,3,1,Fim,985
Idade,11-15,FR,France,2024,29.2,3,1,Inicio,983
Idade,11-15,FR,France,2024,29.2,3,1,Fim,985
Idade,11-15,HR,Croatia,2024,21.6,3,1,Inicio,983
Idade,11-15,HR,Croatia,2024,21.6,3,1,Fim,985
Idade,11-15,HU,Hungary,2024,21.1,3,1,Inicio,983
Idade,11-15,HU,Hungary,2024,21.1,3,1,Fim,985
Idade,11-15,IE,Ireland,2024,22.5,3,1,Inicio,983
Idade,11-15,IE,Ireland,2024,22.5,3,1,Fim,985
Idade,11-15,IT,Italy,2024,26.1,3,1,Inicio,983
Idade,11-15,IT,Italy,2024,26.1,3,1,Fim,985
Idade,11-15,LT,Lithuania,2024,23.6,3,1,Inicio,983
Idade,11-15,LT,Lithuania,2024,23.6,3,1,Fim,985
Idade,11-15,LU,Luxembourg,2024,34,3,1,Inicio,983
Idade,11-15,LU,Luxembourg,2024,34,3,1,Fim,985
Idade,11-15,LV,Latvia,2024,15.9,3,1,Inicio,983
Idade,11-15,LV,Latvia,2024,15.9,3,1,Fim,985
Idade,11-15,MT,Malta,2024,24.4,3,1,Inicio,983
Idade,11-15,MT,Malta,2024,24.4,3,1,Fim,985
Idade,11-15,NL,Netherlands,2024,15.3,3,1,Inicio,983
Idade,11-15,NL,Netherlands,2024,15.3,3,1,Fim,985
Idade,11-15,NO,Norway,2024,17.5,3,1,Inicio,983
Idade,11-15,NO,Norway,2024,17.5,3,1,Fim,985
Idade,11-15,PL,Poland,2024,16.9,3,1,Inicio,983
Idade,11-15,PL,Poland,2024,16.9,3,1,Fim,985
Idade,11-15,PT,Portugal,2024,20.4,3,1,Inicio,983
Idade,11-15,PT,Portugal,2024,20.4,3,1,Fim,985
Idade,11-15,RO,Romania,2024,34.4,3,1,Inicio,983
Idade,11-15,RO,Romania,2024,34.4,3,1,Fim,985
Idade,11-15,RS,Serbia,2024,26.7,3,1,Inicio,983
Idade,11-15,RS,Serbia,2024,26.7,3,1,Fim,985
Idade,11-15,SE,Sweden,2024,20.6,3,1,Inicio,983
Idade,11-15,SE,Sweden,2024,20.6,3,1,Fim,985
Idade,11-15,SI,Slovenia,2024,13,3,1,Inicio,983
Idade,11-15,SI,Slovenia,2024,13,3,1,Fim,985
Idade,11-15,SK,Slovakia,2024,22.5,3,1,Inicio,983
Idade,11-15,SK,Slovakia,2024,22.5,3,1,Fim,985
Idade,11-15,TR,Türkiye,2024,41.4,3,1,Inicio,983
Idade,11-15,TR,Türkiye,2024,41.4,3,1,Fim,985
Idade,15-19,AT,Austria,2024,18.5,3,2,Inicio,980
Idade,15-19,AT,Austria,2024,18.5,3,2,Fim,982
Idade,15-19,BE,Belgium,2024,22.8,3,2,Inicio,980
Idade,15-19,BE,Belgium,2024,22.8,3,2,Fim,982
Idade,15-19,BG,Bulgaria,2024,37.6,3,2,Inicio,980
Idade,15-19,BG,Bulgaria,2024,37.6,3,2,Fim,982
Idade,15-19,CY,Cyprus,2024,15,3,2,Inicio,980
Idade,15-19,CY,Cyprus,2024,15,3,2,Fim,982
Idade,15-19,CZ,Czechia,2024,17.3,3,2,Inicio,980
Idade,15-19,CZ,Czechia,2024,17.3,3,2,Fim,982
Idade,15-19,DE,Germany,2024,25.7,3,2,Inicio,980
Idade,15-19,DE,Germany,2024,25.7,3,2,Fim,982
