Tipo,Valor,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE,SequenciaTipo,SequenciaValor,Attribute,qryNacional.X,Y,X
Total,Total,AT,Austria,2024,16.9,1,1,Inicio,16.9,1000,16.9
Total,Total,AT,Austria,2024,16.9,1,1,Fim,16.9,800,16.9
Sexo,Males,AT,Austria,2024,15.7,2,1,Inicio,16.9,988,16.9
Sexo,Males,AT,Austria,2024,15.7,2,1,Fim,16.9,987,15.7
Sexo,Females,AT,Austria,2024,18.1,2,2,Inicio,16.9,986,16.9
Sexo,Females,AT,Austria,2024,18.1,2,2,Fim,16.9,985,18.1
Idade,06-10,AT,Austria,2024,22.5,3,1,Inicio,16.9,984,16.9
Idade,06-10,AT,Austria,2024,22.5,3,1,Fim,16.9,983,22.5
Idade,11-15,AT,Austria,2024,23.2,3,2,Inicio,16.9,982,16.9
Idade,11-15,AT,Austria,2024,23.2,3,2,Fim,16.9,981,23.2
Idade,16-19,AT,Austria,2024,17.5,3,3,Inicio,16.9,980,16.9
Idade,16-19,AT,Austria,2024,17.5,3,3,Fim,16.9,979,17.5
Idade,20-24,AT,Austria,2024,19.4,3,4,Inicio,16.9,978,16.9
Idade,20-24,AT,Austria,2024,19.4,3,4,Fim,16.9,977,19.4
Idade,25-49,AT,Austria,2024,15.7,3,5,Inicio,16.9,976,16.9
Idade,25-49,AT,Austria,2024,15.7,3,5,Fim,16.9,975,15.7
Idade,50-64,AT,Austria,2024,15.5,3,6,Inicio,16.9,974,16.9
Idade,50-64,AT,Austria,2024,15.5,3,6,Fim,16.9,973,15.5
Idade,65-74,AT,Austria,2024,16.8,3,7,Inicio,16.9,972,16.9
Idade,65-74,AT,Austria,2024,16.8,3,7,Fim,16.9,971,16.8
Idade,75-00,AT,Austria,2024,17,3,8,Inicio,16.9,970,16.9
Idade,75-00,AT,Austria,2024,17,3,8,Fim,16.9,969,17
Escolaridade,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2024,31.7,4,1,Inicio,16.9,968,16.9
Escolaridade,"Less than primary, primary and lower secondary education (levels 0-2)",AT,Austria,2024,31.7,4,1,Fim,16.9,967,31.7
Escolaridade,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),AT,Austria,2024,14,4,2,Inicio,16.9,966,16.9
Escolaridade,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),AT,Austria,2024,14,4,2,Fim,16.9,965,14
Escolaridade,Tertiary education (levels 5-8),AT,Austria,2024,11.9,4,3,Inicio,16.9,964,16.9
Escolaridade,Tertiary education (levels 5-8),AT,Austria,2024,11.9,4,3,Fim,16.9,963,11.9
Atividade,Employed persons,AT,Austria,2024,9,5,1,Inicio,16.9,962,16.9
Atividade,Employed persons,AT,Austria,2024,9,5,1,Fim,16.9,961,9
Atividade,Not employed persons,AT,Austria,2024,24.9,5,2,Inicio,16.9,960,16.9
Atividade,Not employed persons,AT,Austria,2024,24.9,5,2,Fim,16.9,959,24.9
Atividade,Employed persons except employees,AT,Austria,2024,13.2,5,3,Inicio,16.9,958,16.9
Atividade,Employed persons except employees,AT,Austria,2024,13.2,5,3,Fim,16.9,957,13.2
Atividade,Employees,AT,Austria,2024,8.6,5,4,Inicio,16.9,956,16.9
Atividade,Employees,AT,Austria,2024,8.6,5,4,Fim,16.9,955,8.6
Atividade,Unemployed persons,AT,Austria,2024,59.2,5,5,Inicio,16.9,954,16.9
Atividade,Unemployed persons,AT,Austria,2024,59.2,5,5,Fim,16.9,953,59.2
Atividade,Other persons outside the labour force,AT,Austria,2024,34,5,6,Inicio,16.9,952,16.9
Atividade,Other persons outside the labour force,AT,Austria,2024,34,5,6,Fim,16.9,951,34
Atividade,Retired persons,AT,Austria,2024,16.8,5,7,Inicio,16.9,950,16.9
Atividade,Retired persons,AT,Austria,2024,16.8,5,7,Fim,16.9,949,16.8
Rendimento,First quintile,AT,Austria,2024,73.9,6,1,Inicio,16.9,948,16.9
Rendimento,First quintile,AT,Austria,2024,73.9,6,1,Fim,16.9,947,73.9
Rendimento,Second quintile,AT,Austria,2024,5.7,6,2,Inicio,16.9,946,16.9
Rendimento,Second quintile,AT,Austria,2024,5.7,6,2,Fim,16.9,945,5.7
Rendimento,Third quintile,AT,Austria,2024,3.4,6,3,Inicio,16.9,944,16.9
Rendimento,Third quintile,AT,Austria,2024,3.4,6,3,Fim,16.9,943,3.4
Rendimento,Fourth quintile,AT,Austria,2024,1.5,6,4,Inicio,16.9,942,16.9
Rendimento,Fourth quintile,AT,Austria,2024,1.5,6,4,Fim,16.9,941,1.5
Rendimento,Fifth quintile,AT,Austria,2024,0.4,6,5,Inicio,16.9,940,16.9
Rendimento,Fifth quintile,AT,Austria,2024,0.4,6,5,Fim,16.9,939,0.4
Composição Agregado,One adult,AT,Austria,2024,29.9,7,1,Inicio,16.9,938,16.9
Composição Agregado,One adult,AT,Austria,2024,29.9,7,1,Fim,16.9,937,29.9
Composição Agregado,One adult younger than 65 years,AT,Austria,2024,31.2,7,2,Inicio,16.9,936,16.9
Composição Agregado,One adult younger than 65 years,AT,Austria,2024,31.2,7,2,Fim,16.9,935,31.2
Composição Agregado,One adult 65 years or over,AT,Austria,2024,27.6,7,3,Inicio,16.9,934,16.9
Composição Agregado,One adult 65 years or over,AT,Austria,2024,27.6,7,3,Fim,16.9,933,27.6
Composição Agregado,One single female,AT,Austria,2024,31.4,7,4,Inicio,16.9,932,16.9
Composição Agregado,One single female,AT,Austria,2024,31.4,7,4,Fim,16.9,931,31.4
Composição Agregado,One single male,AT,Austria,2024,28.2,7,5,Inicio,16.9,930,16.9
Composição Agregado,One single male,AT,Austria,2024,28.2,7,5,Fim,16.9,929,28.2
Composição Agregado,Two adults,AT,Austria,2024,11,7,6,Inicio,16.9,928,16.9
Composição Agregado,Two adults,AT,Austria,2024,11,7,6,Fim,16.9,927,11
Composição Agregado,Two adults younger than 65 years,AT,Austria,2024,10,7,7,Inicio,16.9,926,16.9
Composição Agregado,Two adults younger than 65 years,AT,Austria,2024,10,7,7,Fim,16.9,925,10
Composição Agregado,"Two adults, at least one aged 65 years or over",AT,Austria,2024,12.3,7,8,Inicio,16.9,924,16.9
Composição Agregado,"Two adults, at least one aged 65 years or over",AT,Austria,2024,12.3,7,8,Fim,16.9,923,12.3
Composição Agregado,Household without dependent children,AT,Austria,2024,16.2,7,9,Inicio,16.9,922,16.9
Composição Agregado,Household without dependent children,AT,Austria,2024,16.2,7,9,Fim,16.9,921,16.2
Composição Agregado,Household with dependent children,AT,Austria,2024,17.7,7,10,Inicio,16.9,920,16.9
Composição Agregado,Household with dependent children,AT,Austria,2024,17.7,7,10,Fim,16.9,919,17.7
Composição Agregado,One adult with dependent children,AT,Austria,2024,42.5,7,11,Inicio,16.9,918,16.9
Composição Agregado,One adult with dependent children,AT,Austria,2024,42.5,7,11,Fim,16.9,917,42.5
Composição Agregado,Two or more adults without dependent children,AT,Austria,2024,9.5,7,12,Inicio,16.9,916,16.9
Composição Agregado,Two or more adults without dependent children,AT,Austria,2024,9.5,7,12,Fim,16.9,915,9.5
Composição Agregado,Two or more adults with dependent children,AT,Austria,2024,15.9,7,13,Inicio,16.9,914,16.9
Composição Agregado,Two or more adults with dependent children,AT,Austria,2024,15.9,7,13,Fim,16.9,913,15.9
Composição Agregado,Two adults with one dependent child,AT,Austria,2024,9.2,7,14,Inicio,16.9,912,16.9
Composição Agregado,Two adults with one dependent child,AT,Austria,2024,9.2,7,14,Fim,16.9,911,9.2
Composição Agregado,Two adults with two dependent children,AT,Austria,2024,11.2,7,15,Inicio,16.9,910,16.9
Composição Agregado,Two adults with two dependent children,AT,Austria,2024,11.2,7,15,Fim,16.9,909,11.2
Composição Agregado,Two adults with three or more dependent children,AT,Austria,2024,29.7,7,16,Inicio,16.9,908,16.9
Composição Agregado,Two adults with three or more dependent children,AT,Austria,2024,29.7,7,16,Fim,16.9,907,29.7
