Equipa,Jornada,Pontos
Sporting CP,1,3
Sporting CP,2,6
Sporting CP,3,9
Sporting CP,4,12
Sporting CP,5,15
Sporting CP,6,18
Sporting CP,7,21
Sporting CP,8,24
Sporting CP,9,27
Sporting CP,10,30
Sporting CP,11,33
Sporting CP,12,33
Sporting CP,13,33
Sporting CP,14,36
Sporting CP,15,37
Sporting CP,16,40
Sporting CP,17,41
Sporting CP,18,44
Sporting CP,19,47
Sporting CP,20,50
Sporting CP,21,50
Sporting CP,22,51
Sporting CP,23,52
Sporting CP,24,55
Sporting CP,25,58
Sporting CP,26,61
Sporting CP,27,64
Sporting CP,28,65
Sporting CP,29,68
Sporting CP,30,71
Sporting CP,31,74
Sporting CP,32,77
Sporting CP,33,78
Sporting CP,34,81
Benfica,1,0
Benfica,2,3
Benfica,3,6
Benfica,4,7
Benfica,5,10
Benfica,6,13
Benfica,7,16
Benfica,8,19
Benfica,9,22
Benfica,10,25
Benfica,11,28
Benfica,12,31
Benfica,13,34
Benfica,14,35
Benfica,15,38
Benfica,16,38
Benfica,17,38
Benfica,18,41
Benfica,19,41
Benfica,20,44
Benfica,21,47
Benfica,22,50
Benfica,23,53
Benfica,24,56
Benfica,25,59
Benfica,26,62
Benfica,27,65
Benfica,28,68
Benfica,29,69
Benfica,30,72
Benfica,31,75
Benfica,32,78
Benfica,33,79
Benfica,34,80
FC Porto,1,3
FC Porto,2,6
FC Porto,3,9
FC Porto,4,9
FC Porto,5,12
FC Porto,6,15
FC Porto,7,18
FC Porto,8,21
FC Porto,9,24
FC Porto,10,27
FC Porto,11,27
FC Porto,12,30
FC Porto,13,31
FC Porto,14,34
FC Porto,15,37
FC Porto,16,40
FC Porto,17,40
FC Porto,18,40
FC Porto,19,41
FC Porto,20,42
FC Porto,21,45
FC Porto,22,48
FC Porto,23,49
FC Porto,24,52
FC Porto,25,52
FC Porto,26,55
FC Porto,27,58
FC Porto,28,58
FC Porto,29,61
FC Porto,30,64
FC Porto,31,64
FC Porto,32,67
FC Porto,33,70
FC Porto,34,73
Braga,1,1
Braga,2,4
Braga,3,7
Braga,4,8
Braga,5,8
Braga,6,11
Braga,7,14
Braga,8,14
Braga,9,17
Braga,10,20
Braga,11,20
Braga,12,23
Braga,13,24
Braga,14,25
Braga,15,28
Braga,16,28
Braga,17,31
Braga,18,34
Braga,19,37
Braga,20,40
Braga,21,43
Braga,22,44
Braga,23,47
Braga,24,47
Braga,25,50
Braga,26,53
Braga,27,56
Braga,28,57
Braga,29,60
Braga,30,63
Braga,31,64
Braga,32,65
Braga,33,65
Braga,34,66
Santa Clara,1,3
Santa Clara,2,3
Santa Clara,3,6
Santa Clara,4,9
Santa Clara,5,9
Santa Clara,6,12
Santa Clara,7,15
Santa Clara,8,15
Santa Clara,9,18
Santa Clara,10,18
Santa Clara,11,21
Santa Clara,12,24
Santa Clara,13,27
Santa Clara,14,27
Santa Clara,15,27
Santa Clara,16,30
Santa Clara,17,31
Santa Clara,18,31
Santa Clara,19,32
Santa Clara,20,35
Santa Clara,21,38
Santa Clara,22,38
Santa Clara,23,39
Santa Clara,24,39
Santa Clara,25,40
Santa Clara,26,43
Santa Clara,27,46
Santa Clara,28,46
Santa Clara,29,46
Santa Clara,30,47
Santa Clara,31,50
Santa Clara,32,51
Santa Clara,33,54
Santa Clara,34,57
Vitoria Guimaraes,1,3
Vitoria Guimaraes,2,6
Vitoria Guimaraes,3,6
Vitoria Guimaraes,4,9
Vitoria Guimaraes,5,12
Vitoria Guimaraes,6,12
Vitoria Guimaraes,7,13
Vitoria Guimaraes,8,14
Vitoria Guimaraes,9,15
Vitoria Guimaraes,10,18
Vitoria Guimaraes,11,18
Vitoria Guimaraes,12,21
Vitoria Guimaraes,13,21
Vitoria Guimaraes,14,22
Vitoria Guimaraes,15,23
Vitoria Guimaraes,16,24
Vitoria Guimaraes,17,25
Vitoria Guimaraes,18,26
Vitoria Guimaraes,19,26
Vitoria Guimaraes,20,29
Vitoria Guimaraes,21,30
Vitoria Guimaraes,22,31
Vitoria Guimaraes,23,32
Vitoria Guimaraes,24,35
Vitoria Guimaraes,25,38
Vitoria Guimaraes,26,41
Vitoria Guimaraes,27,42
Vitoria Guimaraes,28,45
Vitoria Guimaraes,29,48
Vitoria Guimaraes,30,48
Vitoria Guimaraes,31,51
Vitoria Guimaraes,32,54
Vitoria Guimaraes,33,54
Vitoria Guimaraes,34,54
Famalicao,1,3
Famalicao,2,6
Famalicao,3,9
Famalicao,4,9
Famalicao,5,10
Famalicao,6,11
Famalicao,7,12
Famalicao,8,13
Famalicao,9,13
Famalicao,10,16
Famalicao,11,17
Famalicao,12,17
Famalicao,13,18
Famalicao,14,19
Famalicao,15,19
Famalicao,16,19
Famalicao,17,20
Famalicao,18,20
Famalicao,19,21
Famalicao,20,24
Famalicao,21,25
Famalicao,22,28
Famalicao,23,31
Famalicao,24,31
Famalicao,25,34
Famalicao,26,34
Famalicao,27,37
Famalicao,28,40
Famalicao,29,43
Famalicao,30,43
Famalicao,31,44
Famalicao,32,44
Famalicao,33,44
Famalicao,34,47
Estoril,1,0
Estoril,2,0
Estoril,3,1
Estoril,4,2
Estoril,5,5
Estoril,6,6
Estoril,7,6
Estoril,8,6
Estoril,9,9
Estoril,10,9
Estoril,11,10
Estoril,12,13
Estoril,13,14
Estoril,14,14
Estoril,15,14
Estoril,16,15
Estoril,17,18
Estoril,18,21
Estoril,19,24
Estoril,20,27
Estoril,21,30
Estoril,22,31
Estoril,23,34
Estoril,24,34
Estoril,25,35
