NUTS3_Cod,NUTS3_Desc,Sexo,Idade,População,Pct
111,Alto Minho,Homens,0,714,-0.0031
111,Alto Minho,Homens,1,743,-0.0032
111,Alto Minho,Homens,2,791,-0.0034
111,Alto Minho,Homens,3,793,-0.0034
111,Alto Minho,Homens,4,845,-0.0037
111,Alto Minho,Homens,5,876,-0.0038
111,Alto Minho,Homens,6,841,-0.0036
111,Alto Minho,Homens,7,814,-0.0035
111,Alto Minho,Homens,8,836,-0.0036
111,Alto Minho,Homens,9,908,-0.0039
111,Alto Minho,Homens,10,956,-0.0041
111,Alto Minho,Homens,11,977,-0.0042
111,Alto Minho,Homens,12,973,-0.0042
111,Alto Minho,Homens,13,1061,-0.0046
111,Alto Minho,Homens,14,1032,-0.0045
111,Alto Minho,Homens,15,1062,-0.0046
111,Alto Minho,Homens,16,1079,-0.0047
111,Alto Minho,Homens,17,1137,-0.0049
111,Alto Minho,Homens,18,1146,-0.005
111,Alto Minho,Homens,19,1052,-0.0045
111,Alto Minho,Homens,20,1230,-0.0053
111,Alto Minho,Homens,21,1234,-0.0053
111,Alto Minho,Homens,22,1154,-0.005
111,Alto Minho,Homens,23,1116,-0.0048
111,Alto Minho,Homens,24,1176,-0.0051
111,Alto Minho,Homens,25,1136,-0.0049
111,Alto Minho,Homens,26,1158,-0.005
111,Alto Minho,Homens,27,1097,-0.0047
111,Alto Minho,Homens,28,1104,-0.0048
111,Alto Minho,Homens,29,1063,-0.0046
111,Alto Minho,Homens,30,1094,-0.0047
111,Alto Minho,Homens,31,1040,-0.0045
111,Alto Minho,Homens,32,1054,-0.0046
111,Alto Minho,Homens,33,1175,-0.0051
111,Alto Minho,Homens,34,1088,-0.0047
111,Alto Minho,Homens,35,1171,-0.0051
111,Alto Minho,Homens,36,1258,-0.0054
111,Alto Minho,Homens,37,1303,-0.0056
111,Alto Minho,Homens,38,1379,-0.006
111,Alto Minho,Homens,39,1397,-0.006
111,Alto Minho,Homens,40,1375,-0.0059
111,Alto Minho,Homens,41,1430,-0.0062
111,Alto Minho,Homens,42,1512,-0.0065
111,Alto Minho,Homens,43,1551,-0.0067
111,Alto Minho,Homens,44,1699,-0.0073
111,Alto Minho,Homens,45,1618,-0.007
111,Alto Minho,Homens,46,1620,-0.007
111,Alto Minho,Homens,47,1637,-0.0071
111,Alto Minho,Homens,48,1650,-0.0071
111,Alto Minho,Homens,49,1542,-0.0067
111,Alto Minho,Homens,50,1609,-0.007
111,Alto Minho,Homens,51,1558,-0.0067
111,Alto Minho,Homens,52,1542,-0.0067
111,Alto Minho,Homens,53,1522,-0.0066
111,Alto Minho,Homens,54,1517,-0.0066
111,Alto Minho,Homens,55,1474,-0.0064
111,Alto Minho,Homens,56,1512,-0.0065
