geo,Geopolitical entity (reporting),TIME_PERIOD,Exports of goods and services,Imports of goods and services,Cobertura,Pais,Ano,Trim
AL,Albania,1995-Q1,64.9,103.2,62.8876,Albânia,1995,1
AL,Albania,1995-Q2,66,129.9,50.8083,Albânia,1995,2
AL,Albania,1995-Q3,71.1,159.9,44.4653,Albânia,1995,3
AL,Albania,1995-Q4,73.9,183.1,40.3605,Albânia,1995,4
AL,Albania,1996-Q1,76,197.8,38.4226,Albânia,1996,1
AL,Albania,1996-Q2,72.1,196.4,36.7108,Albânia,1996,2
AL,Albania,1996-Q3,70,199.7,35.0526,Albânia,1996,3
AL,Albania,1996-Q4,73,216.9,33.6561,Albânia,1996,4
AL,Albania,1997-Q1,59.5,186.7,31.8693,Albânia,1997,1
AL,Albania,1997-Q2,46.6,152.5,30.5574,Albânia,1997,2
AL,Albania,1997-Q3,48.6,166.4,29.2067,Albânia,1997,3
AL,Albania,1997-Q4,53.3,186.3,28.6098,Albânia,1997,4
AL,Albania,1998-Q1,54.9,193,28.4456,Albânia,1998,1
AL,Albania,1998-Q2,60,199.8,30.03,Albânia,1998,2
AL,Albania,1998-Q3,68.6,212.6,32.2672,Albânia,1998,3
AL,Albania,1998-Q4,80.4,216.5,37.1363,Albânia,1998,4
AL,Albania,1999-Q1,96.6,225.4,42.8571,Albânia,1999,1
AL,Albania,1999-Q2,116,238.1,48.719,Albânia,1999,2
AL,Albania,1999-Q3,137.6,258.8,53.1685,Albânia,1999,3
AL,Albania,1999-Q4,151.2,308.6,48.9955,Albânia,1999,4
AL,Albania,2000-Q1,165.4,339.4,48.7331,Albânia,2000,1
AL,Albania,2000-Q2,179.6,381.1,47.1267,Albânia,2000,2
AL,Albania,2000-Q3,197.6,423.6,46.6478,Albânia,2000,3
AL,Albania,2000-Q4,208.8,448.8,46.5241,Albânia,2000,4
AL,Albania,2001-Q1,214.3,455.4,47.0575,Albânia,2001,1
AL,Albania,2001-Q2,228,482.4,47.2637,Albânia,2001,2
AL,Albania,2001-Q3,234.2,492.7,47.534,Albânia,2001,3
AL,Albania,2001-Q4,245.3,527.8,46.4759,Albânia,2001,4
AL,Albania,2002-Q1,250.9,550.1,45.6099,Albânia,2002,1
AL,Albania,2002-Q2,237.1,534.4,44.3675,Albânia,2002,2
AL,Albania,2002-Q3,234.3,539,43.4694,Albânia,2002,3
AL,Albania,2002-Q4,236.8,549.9,43.0624,Albânia,2002,4
AL,Albania,2003-Q1,237.6,552.1,43.0357,Albânia,2003,1
AL,Albania,2003-Q2,245.5,557.4,44.0438,Albânia,2003,2
AL,Albania,2003-Q3,263.9,579.5,45.5393,Albânia,2003,3
AL,Albania,2003-Q4,274.2,586.2,46.7758,Albânia,2003,4
AL,Albania,2004-Q1,291.4,597.1,48.8025,Albânia,2004,1
AL,Albania,2004-Q2,315.6,640.8,49.2509,Albânia,2004,2
AL,Albania,2004-Q3,331.4,674.3,49.1473,Albânia,2004,3
AL,Albania,2004-Q4,337.6,689,48.9985,Albânia,2004,4
AL,Albania,2005-Q1,346.8,727.2,47.6898,Albânia,2005,1
AL,Albania,2005-Q2,362.8,763.2,47.5367,Albânia,2005,2
AL,Albania,2005-Q3,382.1,798.5,47.8522,Albânia,2005,3
AL,Albania,2005-Q4,396,820.4,48.2691,Albânia,2005,4
AL,Albania,2006-Q1,412.3,826.7,49.873,Albânia,2006,1
AL,Albania,2006-Q2,434,854.5,50.7899,Albânia,2006,2
AL,Albania,2006-Q3,462.2,897.1,51.5216,Albânia,2006,3
AL,Albania,2006-Q4,484.5,937.7,51.669,Albânia,2006,4
AL,Albania,2007-Q1,511.3,991.6,51.5631,Albânia,2007,1
AL,Albania,2007-Q2,536.4,1056.6,50.7666,Albânia,2007,2
AL,Albania,2007-Q3,559.7,1125.2,49.7423,Albânia,2007,3
AL,Albania,2007-Q4,585.9,1166.5,50.2272,Albânia,2007,4
AL,Albania,2008-Q1,579.4,1150,50.3826,Albânia,2008,1
AL,Albania,2008-Q2,597.6,1145.2,52.183,Albânia,2008,2
AL,Albania,2008-Q3,519,1124,46.1744,Albânia,2008,3
AL,Albania,2008-Q4,543.8,1267,42.9203,Albânia,2008,4
AL,Albania,2009-Q1,543,1087.3,49.9402,Albânia,2009,1
AL,Albania,2009-Q2,543.4,1083.4,50.1569,Albânia,2009,2
AL,Albania,2009-Q3,549.8,1107.5,49.6433,Albânia,2009,3
AL,Albania,2009-Q4,526.2,1081.7,48.6457,Albânia,2009,4
AL,Albania,2010-Q1,554.8,1048.6,52.9086,Albânia,2010,1
AL,Albania,2010-Q2,635.1,1088.1,58.3678,Albânia,2010,2
AL,Albania,2010-Q3,651.8,1124.5,57.9635,Albânia,2010,3
AL,Albania,2010-Q4,639.7,1108.2,57.7242,Albânia,2010,4
AL,Albania,2011-Q1,720.5,1191.2,60.4852,Albânia,2011,1
AL,Albania,2011-Q2,623,1193.1,52.2169,Albânia,2011,2
AL,Albania,2011-Q3,683.3,1224.5,55.8024,Albânia,2011,3
AL,Albania,2011-Q4,670.3,1205.7,55.5943,Albânia,2011,4
AL,Albania,2012-Q1,655.7,1170.1,56.0379,Albânia,2012,1
AL,Albania,2012-Q2,700.5,1127.2,62.1451,Albânia,2012,2
AL,Albania,2012-Q3,704.5,1159.1,60.7799,Albânia,2012,3
AL,Albania,2012-Q4,689,1102.7,62.483,Albânia,2012,4
AL,Albania,2013-Q1,672,1108.9,60.6006,Albânia,2013,1
AL,Albania,2013-Q2,658.6,1090.1,60.4165,Albânia,2013,2
AL,Albania,2013-Q3,695.7,1111.9,62.5686,Albânia,2013,3
AL,Albania,2013-Q4,751.9,1209.4,62.1713,Albânia,2013,4
AL,Albania,2014-Q1,708,1166.9,60.6736,Albânia,2014,1
AL,Albania,2014-Q2,733.6,1200.7,61.0977,Albânia,2014,2
AL,Albania,2014-Q3,689.6,1159.8,59.4585,Albânia,2014,3
AL,Albania,2014-Q4,703.9,1179,59.7031,Albânia,2014,4
AL,Albania,2015-Q1,713.6,1155.5,61.7568,Albânia,2015,1
AL,Albania,2015-Q2,718.2,1069.2,67.1717,Albânia,2015,2
AL,Albania,2015-Q3,679.4,1148.4,59.1606,Albânia,2015,3
AL,Albania,2015-Q4,710.9,1203.4,59.0743,Albânia,2015,4
AL,Albania,2016-Q1,720.6,1204,59.8505,Albânia,2016,1
AL,Albania,2016-Q2,732.7,1265.1,57.9164,Albânia,2016,2
AL,Albania,2016-Q3,795.7,1220.8,65.1786,Albânia,2016,3
AL,Albania,2016-Q4,869.8,1226,70.9462,Albânia,2016,4
AL,Albania,2017-Q1,902.8,1282.6,70.3883,Albânia,2017,1
AL,Albania,2017-Q2,908.1,1366.8,66.4399,Albânia,2017,2
AL,Albania,2017-Q3,938.6,1359.1,69.0604,Albânia,2017,3
AL,Albania,2017-Q4,917.5,1382.4,66.3701,Albânia,2017,4
AL,Albania,2018-Q1,984.6,1404.3,70.1132,Albânia,2018,1
AL,Albania,2018-Q2,1027.6,1435.3,71.5948,Albânia,2018,2
AL,Albania,2018-Q3,1027.2,1462.6,70.2311,Albânia,2018,3
AL,Albania,2018-Q4,1014.3,1504.9,67.3998,Albânia,2018,4
AL,Albania,2019-Q1,1052.5,1514.9,69.4765,Albânia,2019,1
AL,Albania,2019-Q2,1061.7,1565,67.8403,Albânia,2019,2
AL,Albania,2019-Q3,1101.8,1575.4,69.9378,Albânia,2019,3
AL,Albania,2019-Q4,1082.9,1531.1,70.7269,Albânia,2019,4
AL,Albania,2020-Q1,1010.1,1455.3,69.4084,Albânia,2020,1
AL,Albania,2020-Q2,488.1,989.1,49.3479,Albânia,2020,2
AL,Albania,2020-Q3,695.2,1146,60.6632,Albânia,2020,3
AL,Albania,2020-Q4,892.5,1364.3,65.4182,Albânia,2020,4
AL,Albania,2021-Q1,1007.6,1549.6,65.0232,Albânia,2021,1
AL,Albania,2021-Q2,1177.7,1574.8,74.7841,Albânia,2021,2
AL,Albania,2021-Q3,1232.1,1690.7,72.8751,Albânia,2021,3
AL,Albania,2021-Q4,1316.3,1966.5,66.9362,Albânia,2021,4
AL,Albania,2022-Q1,1581.6,1984.1,79.7137,Albânia,2022,1
AL,Albania,2022-Q2,1712.7,2106.4,81.3093,Albânia,2022,2
AL,Albania,2022-Q3,1677.7,2251.3,74.5214,Albânia,2022,3
AL,Albania,2022-Q4,1744.2,2251,77.4856,Albânia,2022,4
AL,Albania,2023-Q1,1959.3,2246.1,87.2312,Albânia,2023,1
AL,Albania,2023-Q2,1914.3,2355.7,81.2625,Albânia,2023,2
AL,Albania,2023-Q3,2203.3,2461.7,89.5032,Albânia,2023,3
AL,Albania,2023-Q4,2254.9,2505,90.016,Albânia,2023,4
AL,Albania,2024-Q1,2081.9,2619.9,79.4649,Albânia,2024,1
AL,Albania,2024-Q2,2242.2,2695.4,83.1862,Albânia,2024,2
AL,Albania,2024-Q3,2368.3,2740.2,86.428,Albânia,2024,3
AL,Albania,2024-Q4,2317.6,2741.4,84.5407,Albânia,2024,4
AL,Albania,2025-Q1,2379.3,2745.1,86.6744,Albânia,2025,1
AT,Austria,1995-Q1,15510.8,15809.9,98.1081,Austria,1995,1
AT,Austria,1995-Q2,15372.5,16136.6,95.2648,Austria,1995,2
AT,Austria,1995-Q3,15442.2,15892.7,97.1654,Austria,1995,3
AT,Austria,1995-Q4,15263.1,16099.1,94.8072,Austria,1995,4
AT,Austria,1996-Q1,15790.7,16659.6,94.7844,Austria,1996,1
AT,Austria,1996-Q2,15666,16575.2,94.5147,Austria,1996,2
AT,Austria,1996-Q3,15809.9,16785.7,94.1867,Austria,1996,3
AT,Austria,1996-Q4,16506.8,16929.9,97.5009,Austria,1996,4
AT,Austria,1997-Q1,16280.3,17067.2,95.3894,Austria,1997,1
AT,Austria,1997-Q2,17170.3,17585.1,97.6412,Austria,1997,2
AT,Austria,1997-Q3,17432.1,18063.6,96.504,Austria,1997,3
AT,Austria,1997-Q4,18328.4,18321.9,100.0355,Austria,1997,4
AT,Austria,1998-Q1,18263.9,18714.4,97.5928,Austria,1998,1
AT,Austria,1998-Q2,18703.6,18643.3,100.3234,Austria,1998,2
AT,Austria,1998-Q3,18750.8,18922,99.0952,Austria,1998,3
AT,Austria,1998-Q4,18976.1,18903.8,100.3825,Austria,1998,4
AT,Austria,1999-Q1,19114.3,18912,101.0697,Austria,1999,1
AT,Austria,1999-Q2,19652.9,19361,101.5077,Austria,1999,2
AT,Austria,1999-Q3,20303.1,20230.8,100.3574,Austria,1999,3
AT,Austria,1999-Q4,21201.9,20780.4,102.0284,Austria,1999,4
AT,Austria,2000-Q1,22025.6,21306.5,103.375,Austria,2000,1
AT,Austria,2000-Q2,22766.8,22080.5,103.1082,Austria,2000,2
AT,Austria,2000-Q3,23436.5,22538.2,103.9857,Austria,2000,3
AT,Austria,2000-Q4,24370.1,23815.5,102.3287,Austria,2000,4
AT,Austria,2001-Q1,24643.2,24244.4,101.6449,Austria,2001,1
AT,Austria,2001-Q2,24391.5,23844.2,102.2953,Austria,2001,2
AT,Austria,2001-Q3,24639.8,23173.7,106.3266,Austria,2001,3
AT,Austria,2001-Q4,24792.8,23390.8,105.9938,Austria,2001,4
AT,Austria,2002-Q1,25455.4,23584.2,107.9341,Austria,2002,1
AT,Austria,2002-Q2,25651.2,23891.6,107.3649,Austria,2002,2
AT,Austria,2002-Q3,25444.6,23359.3,108.9271,Austria,2002,3
AT,Austria,2002-Q4,25590,23505.8,108.8667,Austria,2002,4
AT,Austria,2003-Q1,25425.9,23852.4,106.5968,Austria,2003,1
AT,Austria,2003-Q2,25300.4,23661,106.9287,Austria,2003,2
AT,Austria,2003-Q3,26018.2,24448.1,106.4222,Austria,2003,3
AT,Austria,2003-Q4,26725.3,24862.7,107.4915,Austria,2003,4
AT,Austria,2004-Q1,27275.8,24918.4,109.4605,Austria,2004,1
AT,Austria,2004-Q2,28121.9,26038.4,108.0016,Austria,2004,2
AT,Austria,2004-Q3,28581.6,27166.6,105.2086,Austria,2004,3
AT,Austria,2004-Q4,29370.1,28211,104.1087,Austria,2004,4
AT,Austria,2005-Q1,29494.2,26746,110.2752,Austria,2005,1
AT,Austria,2005-Q2,30565.6,28819.3,106.0595,Austria,2005,2
AT,Austria,2005-Q3,31014.7,29377.8,105.5719,Austria,2005,3
AT,Austria,2005-Q4,32438.6,30247.1,107.2453,Austria,2005,4
AT,Austria,2006-Q1,32972.1,30444.8,108.3013,Austria,2006,1
AT,Austria,2006-Q2,33715.7,31492,107.0612,Austria,2006,2
AT,Austria,2006-Q3,34309,31877.9,107.6263,Austria,2006,3
AT,Austria,2006-Q4,35422.6,32616.7,108.6026,Austria,2006,4
AT,Austria,2007-Q1,36267.5,33547.2,108.1089,Austria,2007,1
AT,Austria,2007-Q2,36876.4,33476.6,110.1558,Austria,2007,2
AT,Austria,2007-Q3,37638,34518.2,109.0381,Austria,2007,3
AT,Austria,2007-Q4,38834.8,35170.1,110.4199,Austria,2007,4
AT,Austria,2008-Q1,39220.4,35538,110.3619,Austria,2008,1
AT,Austria,2008-Q2,39692.1,37151.2,106.8393,Austria,2008,2
AT,Austria,2008-Q3,39557.2,36074.9,109.653,Austria,2008,3
AT,Austria,2008-Q4,37404.4,34636,107.9928,Austria,2008,4
AT,Austria,2009-Q1,32296.4,29526.4,109.3814,Austria,2009,1
AT,Austria,2009-Q2,31499.1,29608,106.3871,Austria,2009,2
AT,Austria,2009-Q3,32609.7,30355,107.4278,Austria,2009,3
AT,Austria,2009-Q4,34055.2,31108.3,109.473,Austria,2009,4
AT,Austria,2010-Q1,34825.9,31867.7,109.2828,Austria,2010,1
AT,Austria,2010-Q2,37696.3,35349.9,106.6376,Austria,2010,2
AT,Austria,2010-Q3,38759.6,36836.3,105.2212,Austria,2010,3
AT,Austria,2010-Q4,40081.5,37159.7,107.8628,Austria,2010,4
AT,Austria,2011-Q1,41243.6,38740,106.4626,Austria,2011,1
AT,Austria,2011-Q2,41807.4,39386.7,106.146,Austria,2011,2
AT,Austria,2011-Q3,42019.5,40401.8,104.004,Austria,2011,3
AT,Austria,2011-Q4,42670,40068.5,106.4926,Austria,2011,4
AT,Austria,2012-Q1,43086.3,40806.6,105.5866,Austria,2012,1
AT,Austria,2012-Q2,42747.8,40667.1,105.1164,Austria,2012,2
AT,Austria,2012-Q3,42978.2,40837.8,105.2412,Austria,2012,3
AT,Austria,2012-Q4,43215.1,40816.9,105.8755,Austria,2012,4
AT,Austria,2013-Q1,42782.5,39754.5,107.6167,Austria,2013,1
AT,Austria,2013-Q2,43471.9,40786.8,106.5833,Austria,2013,2
AT,Austria,2013-Q3,43178.1,41545.4,103.9299,Austria,2013,3
AT,Austria,2013-Q4,43813,42013.1,104.2841,Austria,2013,4
AT,Austria,2014-Q1,43721.5,41676.5,104.9068,Austria,2014,1
AT,Austria,2014-Q2,44059.8,41291.8,106.7035,Austria,2014,2
AT,Austria,2014-Q3,44861.3,42202.3,106.3006,Austria,2014,3
AT,Austria,2014-Q4,45406.4,41968.1,108.1927,Austria,2014,4
AT,Austria,2015-Q1,45257.8,41281,109.6335,Austria,2015,1
AT,Austria,2015-Q2,45715.3,42002.8,108.8387,Austria,2015,2
AT,Austria,2015-Q3,46385.4,43608.7,106.3673,Austria,2015,3
AT,Austria,2015-Q4,45983.3,43233.7,106.3599,Austria,2015,4
AT,Austria,2016-Q1,46591.9,42400.7,109.8847,Austria,2016,1
AT,Austria,2016-Q2,46608.4,43438.2,107.2982,Austria,2016,2
AT,Austria,2016-Q3,47388.8,43585,108.7273,Austria,2016,3
AT,Austria,2016-Q4,47159.2,44592.2,105.7566,Austria,2016,4
AT,Austria,2017-Q1,49005.2,46354.5,105.7183,Austria,2017,1
AT,Austria,2017-Q2,49470.4,46734.1,105.855,Austria,2017,2
AT,Austria,2017-Q3,50144.1,47278.3,106.0616,Austria,2017,3
AT,Austria,2017-Q4,51406.6,47864.8,107.3996,Austria,2017,4
AT,Austria,2018-Q1,52520.5,49316.8,106.4962,Austria,2018,1
AT,Austria,2018-Q2,53325.7,49984.7,106.684,Austria,2018,2
AT,Austria,2018-Q3,53690.1,50775.3,105.7406,Austria,2018,3
AT,Austria,2018-Q4,54288.6,51815.9,104.7721,Austria,2018,4
AT,Austria,2019-Q1,55636.1,52433.8,106.1073,Austria,2019,1
AT,Austria,2019-Q2,55022.2,52125.3,105.5576,Austria,2019,2
AT,Austria,2019-Q3,54956.5,51584.2,106.5375,Austria,2019,3
AT,Austria,2019-Q4,54926,50937.9,107.8293,Austria,2019,4
AT,Austria,2020-Q1,53362.4,49614.3,107.5545,Austria,2020,1
AT,Austria,2020-Q2,42641.6,40237.9,105.9737,Austria,2020,2
AT,Austria,2020-Q3,49801.5,45869.1,108.5731,Austria,2020,3
AT,Austria,2020-Q4,51160.7,48263.4,106.0031,Austria,2020,4
AT,Austria,2021-Q1,49488.7,50647.4,97.7122,Austria,2021,1
AT,Austria,2021-Q2,56558.9,55005,102.825,Austria,2021,2
AT,Austria,2021-Q3,59430.2,57307,103.705,Austria,2021,3
AT,Austria,2021-Q4,62079.4,60715.6,102.2462,Austria,2021,4
AT,Austria,2022-Q1,65300.6,66766.4,97.8046,Austria,2022,1
AT,Austria,2022-Q2,69942.1,69616.9,100.4671,Austria,2022,2
AT,Austria,2022-Q3,71391.6,72045.9,99.0918,Austria,2022,3
AT,Austria,2022-Q4,71793.6,71215.3,100.812,Austria,2022,4
AT,Austria,2023-Q1,72916.4,71731.6,101.6517,Austria,2023,1
AT,Austria,2023-Q2,70472.8,68941.2,102.2216,Austria,2023,2
AT,Austria,2023-Q3,69372.7,66000.7,105.109,Austria,2023,3
AT,Austria,2023-Q4,69151.4,64867.8,106.6036,Austria,2023,4
AT,Austria,2024-Q1,69872.9,64901,107.6607,Austria,2024,1
AT,Austria,2024-Q2,69082.3,65339.8,105.7277,Austria,2024,2
AT,Austria,2024-Q3,68875.2,66094.5,104.2072,Austria,2024,3
AT,Austria,2024-Q4,68883.1,66646.1,103.3565,Austria,2024,4
AT,Austria,2025-Q1,69313.1,66116.6,104.8346,Austria,2025,1
AT,Austria,2025-Q2,69644.5,67307.6,103.472,Austria,2025,2
BE,Belgium,1995-Q1,33697.2,30850.5,109.2274,Bélgica,1995,1
BE,Belgium,1995-Q2,33415.1,31172.3,107.1948,Bélgica,1995,2
BE,Belgium,1995-Q3,32336.2,30653.4,105.4898,Bélgica,1995,3
BE,Belgium,1995-Q4,32976.7,31269.3,105.4603,Bélgica,1995,4
BE,Belgium,1996-Q1,33643.3,31935.5,105.3477,Bélgica,1996,1
BE,Belgium,1996-Q2,33693.7,31824.8,105.8725,Bélgica,1996,2
BE,Belgium,1996-Q3,33505,31938.1,104.9061,Bélgica,1996,3
BE,Belgium,1996-Q4,33761,31928.6,105.7391,Bélgica,1996,4
BE,Belgium,1997-Q1,35239.2,32934.8,106.9969,Bélgica,1997,1
BE,Belgium,1997-Q2,36061.5,33915.4,106.3278,Bélgica,1997,2
BE,Belgium,1997-Q3,36266,34444.5,105.2882,Bélgica,1997,3
BE,Belgium,1997-Q4,36936.1,34542,106.931,Bélgica,1997,4
BE,Belgium,1998-Q1,37075.3,34542.6,107.3321,Bélgica,1998,1
BE,Belgium,1998-Q2,37255.8,34923.8,106.6774,Bélgica,1998,2
BE,Belgium,1998-Q3,37303.4,35415.4,105.331,Bélgica,1998,3
BE,Belgium,1998-Q4,36603.1,34953.6,104.7191,Bélgica,1998,4
BE,Belgium,1999-Q1,36583.4,34691.3,105.4541,Bélgica,1999,1
BE,Belgium,1999-Q2,38016.3,35563.2,106.8979,Bélgica,1999,2
BE,Belgium,1999-Q3,39964.9,37349.3,107.0031,Bélgica,1999,3
BE,Belgium,1999-Q4,41876.7,39251.4,106.6884,Bélgica,1999,4
BE,Belgium,2000-Q1,44058.9,41918.6,105.1058,Bélgica,2000,1
BE,Belgium,2000-Q2,45872.5,43982.1,104.2981,Bélgica,2000,2
BE,Belgium,2000-Q3,47298.7,45998.3,102.8271,Bélgica,2000,3
BE,Belgium,2000-Q4,48764.3,46751.1,104.3062,Bélgica,2000,4
BE,Belgium,2001-Q1,48170.4,46171.2,104.33,Bélgica,2001,1
BE,Belgium,2001-Q2,47726,45580.4,104.7073,Bélgica,2001,2
BE,Belgium,2001-Q3,46952.1,44449.1,105.6312,Bélgica,2001,3
BE,Belgium,2001-Q4,46447,43454.2,106.8873,Bélgica,2001,4
BE,Belgium,2002-Q1,47836.4,43804.4,109.2046,Bélgica,2002,1
BE,Belgium,2002-Q2,48515.9,44594.1,108.7944,Bélgica,2002,2
BE,Belgium,2002-Q3,48566.3,44730.8,108.5746,Bélgica,2002,3
BE,Belgium,2002-Q4,48632.2,45180.7,107.6393,Bélgica,2002,4
BE,Belgium,2003-Q1,48362.3,45065.5,107.3156,Bélgica,2003,1
BE,Belgium,2003-Q2,48079.4,44068.7,109.101,Bélgica,2003,2
BE,Belgium,2003-Q3,48246.4,44379.5,108.7133,Bélgica,2003,3
BE,Belgium,2003-Q4,49442.7,45551.9,108.5415,Bélgica,2003,4
BE,Belgium,2004-Q1,50075.9,46487.7,107.7186,Bélgica,2004,1
BE,Belgium,2004-Q2,52199.7,48443,107.7549,Bélgica,2004,2
BE,Belgium,2004-Q3,53352.2,49941.9,106.8285,Bélgica,2004,3
BE,Belgium,2004-Q4,54835.9,51064.4,107.3858,Bélgica,2004,4
BE,Belgium,2005-Q1,55711.7,52073.3,106.9871,Bélgica,2005,1
BE,Belgium,2005-Q2,56825.1,53520.3,106.1749,Bélgica,2005,2
