Ano,Vegetal,Valor,Valor1960
1950,Bróculos,1,2.4852
1950,Cenouras,8.8,1.2186
1950,Beringela,0.4,1.5087
1951,Bróculos,0.7,1.7396
1951,Cenouras,8,1.1078
1951,Beringela,0.4,1.5087
1952,Bróculos,0.8,1.9881
1952,Cenouras,7.9,1.094
1952,Beringela,0.5,1.8859
1953,Bróculos,0.7,1.7396
1953,Cenouras,7.8,1.0801
1953,Beringela,0.4,1.5087
1954,Bróculos,0.6,1.4911
1954,Cenouras,7.7,1.0663
1954,Beringela,0.4,1.5087
1955,Bróculos,0.5,1.2426
1955,Cenouras,7.5,1.0386
1955,Beringela,0.4,1.5087
1956,Bróculos,0.5,1.2426
1956,Cenouras,7.8,1.0801
1956,Beringela,0.4,1.5087
1957,Bróculos,0.5,1.2426
1957,Cenouras,7.4,1.0247
1957,Beringela,0.4,1.5087
1958,Bróculos,0.4,0.9941
1958,Cenouras,7.3,1.0109
1958,Beringela,0.4,1.5087
1959,Bróculos,0.4,0.9941
1959,Cenouras,7.1,0.9832
1959,Beringela,0.4,1.5087
1960,Bróculos,0.4024,1
1960,Cenouras,7.2214,1
1960,Beringela,0.2651,1
1961,Bróculos,0.4371,1.0864
1961,Cenouras,6.7799,0.9389
1961,Beringela,0.3103,1.1704
1962,Bróculos,0.3345,0.8313
1962,Cenouras,6.8469,0.9481
1962,Beringela,0.2932,1.106
1963,Bróculos,0.3673,0.9127
1963,Cenouras,7.195,0.9963
1963,Beringela,0.2711,1.0225
1964,Bróculos,0.3257,0.8094
1964,Cenouras,6.7654,0.9368
1964,Beringela,0.2694,1.0162
1965,Bróculos,0.316,0.7853
1965,Cenouras,6.8856,0.9535
1965,Beringela,0.2872,1.0832
1966,Bróculos,0.3073,0.7637
1966,Cenouras,6.2861,0.8705
1966,Beringela,0.2595,0.9787
1967,Bróculos,0.2924,0.7266
1967,Cenouras,6.4078,0.8873
1967,Beringela,0.2773,1.0459
1968,Bróculos,0.4375,1.0871
1968,Cenouras,7.3511,1.018
1968,Beringela,0.2113,0.7968
1969,Bróculos,0.4574,1.1367
1969,Cenouras,5.8803,0.8143
1969,Beringela,0.3236,1.2205
1970,Bróculos,0.5325,1.3235
1970,Cenouras,5.9682,0.8265
1970,Beringela,0.3336,1.2582
1971,Bróculos,0.7204,1.7903
1971,Cenouras,6.1162,0.847
1971,Beringela,0.3226,1.217
1972,Bróculos,0.7023,1.7452
1972,Cenouras,6.5409,0.9058
1972,Beringela,0.3869,1.4592
1973,Bróculos,0.7583,1.8846
1973,Cenouras,6.7029,0.9282
1973,Beringela,0.4337,1.6358
1974,Bróculos,0.7865,1.9546
1974,Cenouras,6.9117,0.9571
1974,Beringela,0.4064,1.5327
1975,Bróculos,0.9904,2.4613
1975,Cenouras,6.4439,0.8923
1975,Beringela,0.4454,1.6801
1976,Bróculos,1.0769,2.6762
1976,Cenouras,6.4104,0.8877
1976,Beringela,0.4591,1.7317
1977,Bróculos,1.2273,3.05
1977,Cenouras,5.3101,0.7353
1977,Beringela,0.4377,1.651
1978,Bróculos,0.9873,2.4537
1978,Cenouras,5.3103,0.7354
1978,Beringela,0.4888,1.8437
1979,Bróculos,1.1997,2.9814
1979,Cenouras,5.8879,0.8153
1979,Beringela,0.4759,1.795
1980,Bróculos,1.401,3.4816
1980,Cenouras,6.1508,0.8517
1980,Beringela,0.4773,1.8004
1981,Bróculos,1.6565,4.1167
1981,Cenouras,6.1187,0.8473
1981,Beringela,0.4583,1.7287
1982,Bróculos,1.9871,4.9382
1982,Cenouras,6.6033,0.9144
1982,Beringela,0.5138,1.938
1983,Bróculos,2.0307,5.0466
1983,Cenouras,6.4898,0.8987
1983,Beringela,0.5126,1.9334
1984,Bróculos,2.4577,6.1079
1984,Cenouras,6.6842,0.9256
1984,Beringela,0.4688,1.7682
1985,Bróculos,2.5788,6.4086
1985,Cenouras,6.4911,0.8989
1985,Beringela,0.4579,1.7272
1986,Bróculos,3.0466,7.5714
1986,Cenouras,6.4841,0.8979
1986,Beringela,0.4667,1.7601
1987,Bróculos,3.0875,7.673
1987,Cenouras,8.296,1.1488
1987,Beringela,0.4728,1.7834
1988,Bróculos,3.7743,9.3798
1988,Cenouras,7.0945,0.9824
