DepNum,DepNome,Index,Party,Distrito,Custom,Rows,Cols,Row2,Col2
1, FILIPE MARTINIANO MARTINS DE SOUSA,726,JPP,Madeira,0,0,1,0,1
1, PAULA ALEXANDRA SOBRAL GUERREIRO SANTOS BARBOSA,607,CDU,Setúbal,1,0,2,0,2
1, MANUEL ALFREDO DA ROCHA MAIA,481,CDU,Porto,1,0,3,0,3
1, PAULO ALEXANDRE CANTIGAS RAIMUNDO,358,CDU,Lisboa,1,0,4,0,4
1, MARIANA MORTÁGUA,298,BE,Lisboa,2,0,5,0,5
1, EDUARDO JORGE COSTA PINTO,473,LIVRE,Porto,3,0,6,0,6
2, FILIPA MARIA GONÇALVES PINTO,475,LIVRE,Porto,3,0,7,0,7
1, RUI MIGUEL MARCELINO TAVARES PEREIRA,342,LIVRE,Lisboa,3,0,8,0,8
2, ISABEL RENDEIRO MARQUES MENDES,344,LIVRE,Lisboa,3,0,9,0,9
3, PATRÍCIA CARLA SERRANO GONÇALVES,346,LIVRE,Lisboa,3,0,10,0,10
1, PAULO JORGE VELEZ MUACHO,601,LIVRE,Setúbal,3,1,1,1,1
1, PAULA INÊS ALVES DE SOUSA REAL,352,PAN,Lisboa,4,1,2,1,2
4, CARLOS FILIPE DE ANDRADE NETO BRANDÃO,48,PS,Aveiro,5,1,3,1,3
1, FRANCISCO MIGUEL VITAL GOMES DO VALE CÉSAR,765,PS,Açores,5,1,4,1,4
2, SUSANA ALEXANDRA LOPES CORREIA,44,PS,Aveiro,5,1,5,1,5
2, SANDRA MARIA SOUSA LOPES,116,PS,Braga,5,1,6,1,6
5, IRENE MANUELA FERREIRA DA COSTA,122,PS,Braga,5,1,7,1,7
1, PEDRO NUNO DE OLIVEIRA SANTOS,42,PS,Aveiro,5,1,8,1,8
3, HUGO DANIEL MATOS DE OLIVEIRA,46,PS,Aveiro,5,1,9,1,9
1, PEDRO NUNO RAPOSO PRAZERES DO CARMO,67,PS,Beja,5,1,10,1,10
1, JOSÉ LUÍS PEREIRA CARNEIRO,114,PS,Braga,5,2,1,2,1
1, JÚLIA MARIA DE ALMEIDA LIMA E SEQUEIRA RODRIGUES,137,PS,Bragança,5,2,2,2,2
3, PEDRO MIGUEL PEREIRA DE SOUSA,118,PS,Braga,5,2,3,2,3
4, PAULO RUI LOPES PEREIRA DA SILVA,120,PS,Braga,5,2,4,2,4
1, NUNO JORGE CARDONA FAZENDA DE ALMEIDA,158,PS,Castelo Branco,5,2,5,2,5
1, LUÍS CARLOS PITEIRA DIAS,208,PS,Évora,5,2,6,2,6
1, JAMILA BÁRBARA MADEIRA E MADEIRA,237,PS,Faro,5,2,7,2,7
1, PEDRO DELGADO ALVES,185,PS,Coimbra,5,2,8,2,8
3, PEDRO ARTUR BARREIRINHAS SALES GUEDES COIMBRA,189,PS,Coimbra,5,2,9,2,9
2, ROSA ISABEL DA CRUZ,187,PS,Coimbra,5,2,10,2,10
2, JORGE MANUEL DO NASCIMENTO BOTELHO,239,PS,Faro,5,3,1,3,1
2, ANA CATARINA DE MOURA LOURO,291,PS,Leiria,5,3,2,3,2
1, EURICO JORGE NOGUEIRA LEITE BRILHANTE DIAS,289,PS,Leiria,5,3,3,3,3
1, AIDA MARIA OLIVEIRA CARVALHO,258,PS,Guarda,5,3,4,3,4
2, MIGUEL FILIPE PARDAL CABRITA,403,PS,Lisboa,5,3,5,3,5
12, DAVIDE MIGUEL SANTOS AMADO,423,PS,Lisboa,5,3,6,3,6
11, ANDRÉ FILIPE DOS SANTOS MATOS RIJO,421,PS,Lisboa,5,3,7,3,7
5, PEDRO MANUEL AMARO MARTINS VAZ,409,PS,Lisboa,5,3,8,3,8
6, ISABEL DE LIMA MAYER ALVES MOREIRA,411,PS,Lisboa,5,3,9,3,9
7, RICARDO JORGE MONTEIRO LIMA,413,PS,Lisboa,5,3,10,3,10
10, ANA PAULA MATA BERNARDO,419,PS,Lisboa,5,4,1,4,1
8, EVA MARISE CRUZEIRO ALEXANDRE,415,PS,Lisboa,5,4,2,4,2
1, MARIANA GUIMARÃES VIEIRA DA SILVA,401,PS,Lisboa,5,4,3,4,3
3, EDITE DE FATIMA SANTOS MARREIROS ESTRELA,405,PS,Lisboa,5,4,4,4,4
4, FREDERICO ANDRÉ BRANCO DOS REIS FRANCISCO,407,PS,Lisboa,5,4,5,4,5
6, PORFÍRIO SIMÕES DE CARVALHO E SILVA,531,PS,Porto,5,4,6,4,6
5, PATRICIA MONTE PINTO RIBEIRO FARO,529,PS,Porto,5,4,7,4,7
9, MIGUEL DE OLIVEIRA PIRES DA COSTA DE MATOS,417,PS,Lisboa,5,4,8,4,8
1, JOÃO EMANUEL SILVA CÂMARA,742,PS,Madeira,5,4,9,4,9
1, LUÍS DAVID TRINDADE DE MOREIRA TESTA,436,PS,Portalegre,5,4,10,4,10
4, TIAGO BARBOSA RIBEIRO,527,PS,Porto,5,5,1,5,1
1, FERNANDO MANUEL FERREIRA ARAÚJO,521,PS,Porto,5,5,2,5,2
