Ajustamento,Idade,Unidade,Sexo,Pais,Data,Valor,Grupo
SA,25-74,PC_ACT,F,AT,1/15/2000,4.1,F 25-74
SA,25-74,PC_ACT,F,AT,2/15/2000,4.1,F 25-74
SA,25-74,PC_ACT,F,AT,3/15/2000,4.1,F 25-74
SA,25-74,PC_ACT,F,AT,4/15/2000,4,F 25-74
SA,25-74,PC_ACT,F,AT,5/15/2000,3.9,F 25-74
SA,25-74,PC_ACT,F,AT,6/15/2000,3.9,F 25-74
SA,25-74,PC_ACT,F,AT,7/15/2000,4,F 25-74
SA,25-74,PC_ACT,F,AT,8/15/2000,4,F 25-74
SA,25-74,PC_ACT,F,AT,9/15/2000,4,F 25-74
SA,25-74,PC_ACT,F,AT,10/15/2000,3.8,F 25-74
SA,25-74,PC_ACT,F,AT,11/15/2000,3.7,F 25-74
SA,25-74,PC_ACT,F,AT,12/15/2000,3.7,F 25-74
SA,25-74,PC_ACT,F,AT,1/15/2001,3.6,F 25-74
SA,25-74,PC_ACT,F,AT,2/15/2001,3.7,F 25-74
SA,25-74,PC_ACT,F,AT,3/15/2001,3.7,F 25-74
SA,25-74,PC_ACT,F,AT,4/15/2001,3.9,F 25-74
SA,25-74,PC_ACT,F,AT,5/15/2001,4,F 25-74
SA,25-74,PC_ACT,F,AT,6/15/2001,4,F 25-74
SA,25-74,PC_ACT,F,AT,7/15/2001,4,F 25-74
SA,25-74,PC_ACT,F,AT,8/15/2001,3.9,F 25-74
SA,25-74,PC_ACT,F,AT,9/15/2001,3.9,F 25-74
SA,25-74,PC_ACT,F,AT,10/15/2001,3.9,F 25-74
SA,25-74,PC_ACT,F,AT,11/15/2001,3.9,F 25-74
SA,25-74,PC_ACT,F,AT,12/15/2001,4,F 25-74
SA,25-74,PC_ACT,F,AT,1/15/2002,4.1,F 25-74
SA,25-74,PC_ACT,F,AT,2/15/2002,4.1,F 25-74
SA,25-74,PC_ACT,F,AT,3/15/2002,4,F 25-74
SA,25-74,PC_ACT,F,AT,4/15/2002,3.7,F 25-74
SA,25-74,PC_ACT,F,AT,5/15/2002,3.5,F 25-74
SA,25-74,PC_ACT,F,AT,6/15/2002,3.6,F 25-74
SA,25-74,PC_ACT,F,AT,7/15/2002,3.9,F 25-74
SA,25-74,PC_ACT,F,AT,8/15/2002,4.1,F 25-74
SA,25-74,PC_ACT,F,AT,9/15/2002,4.1,F 25-74
SA,25-74,PC_ACT,F,AT,10/15/2002,4.1,F 25-74
SA,25-74,PC_ACT,F,AT,11/15/2002,4,F 25-74
SA,25-74,PC_ACT,F,AT,12/15/2002,4,F 25-74
SA,25-74,PC_ACT,F,AT,1/15/2003,3.9,F 25-74
SA,25-74,PC_ACT,F,AT,2/15/2003,3.9,F 25-74
SA,25-74,PC_ACT,F,AT,3/15/2003,4,F 25-74
SA,25-74,PC_ACT,F,AT,4/15/2003,4.3,F 25-74
SA,25-74,PC_ACT,F,AT,5/15/2003,4.5,F 25-74
SA,25-74,PC_ACT,F,AT,6/15/2003,4.5,F 25-74
SA,25-74,PC_ACT,F,AT,7/15/2003,4.2,F 25-74
SA,25-74,PC_ACT,F,AT,8/15/2003,4.1,F 25-74
SA,25-74,PC_ACT,F,AT,9/15/2003,4.1,F 25-74
SA,25-74,PC_ACT,F,AT,10/15/2003,4.3,F 25-74
SA,25-74,PC_ACT,F,AT,11/15/2003,4.5,F 25-74
SA,25-74,PC_ACT,F,AT,12/15/2003,4.7,F 25-74
SA,25-74,PC_ACT,F,AT,1/15/2004,4.9,F 25-74
SA,25-74,PC_ACT,F,AT,2/15/2004,5.4,F 25-74
SA,25-74,PC_ACT,F,AT,3/15/2004,4.6,F 25-74
SA,25-74,PC_ACT,F,AT,4/15/2004,5.2,F 25-74
SA,25-74,PC_ACT,F,AT,5/15/2004,5.8,F 25-74
SA,25-74,PC_ACT,F,AT,6/15/2004,5.3,F 25-74
SA,25-74,PC_ACT,F,AT,7/15/2004,5.4,F 25-74
SA,25-74,PC_ACT,F,AT,8/15/2004,4.9,F 25-74
SA,25-74,PC_ACT,F,AT,9/15/2004,5.9,F 25-74
