Freg_ID,Freg_Desc,Minutos,NUTS1,NUTS2,NUTS3,Concelho
160101,Aboim das Choças,20.58,Continente,Norte,Alto Minho,Arcos de Valdevez
160102,Aguiã,15.7,Continente,Norte,Alto Minho,Arcos de Valdevez
160104,Ázere,17.24,Continente,Norte,Alto Minho,Arcos de Valdevez
160105,Cabana Maior,20.94,Continente,Norte,Alto Minho,Arcos de Valdevez
160106,Cabreiro,20.76,Continente,Norte,Alto Minho,Arcos de Valdevez
160108,Cendufe,16.03,Continente,Norte,Alto Minho,Arcos de Valdevez
160109,Couto,16.14,Continente,Norte,Alto Minho,Arcos de Valdevez
160113,Gavieira,17.37,Continente,Norte,Alto Minho,Arcos de Valdevez
160115,Gondoriz,21.08,Continente,Norte,Alto Minho,Arcos de Valdevez
160142,Jolda (São Paio),18.02,Continente,Norte,Alto Minho,Arcos de Valdevez
160121,Miranda,23.99,Continente,Norte,Alto Minho,Arcos de Valdevez
160122,Monte Redondo,12.69,Continente,Norte,Alto Minho,Arcos de Valdevez
160123,Oliveira,12.81,Continente,Norte,Alto Minho,Arcos de Valdevez
160124,Paçô,15.61,Continente,Norte,Alto Minho,Arcos de Valdevez
160125,Padroso,22.14,Continente,Norte,Alto Minho,Arcos de Valdevez
160128,Prozelo,16.03,Continente,Norte,Alto Minho,Arcos de Valdevez
160131,Rio de Moinhos,19.12,Continente,Norte,Alto Minho,Arcos de Valdevez
160130,Rio Frio,18.26,Continente,Norte,Alto Minho,Arcos de Valdevez
160133,Sabadim,22.65,Continente,Norte,Alto Minho,Arcos de Valdevez
160144,Senharei,21.56,Continente,Norte,Alto Minho,Arcos de Valdevez
160145,Sistelo,22.07,Continente,Norte,Alto Minho,Arcos de Valdevez
160146,Soajo,19.04,Continente,Norte,Alto Minho,Arcos de Valdevez
160152,UF de Alvora e Loureda,21.19,Continente,Norte,Alto Minho,Arcos de Valdevez
160154,"UF de Arcos de Valdevez (Salvador), Vila Fonche e Parada",14.43,Continente,Norte,Alto Minho,Arcos de Valdevez
160153,UF de Arcos de Valdevez (São Paio) e Giela,14.55,Continente,Norte,Alto Minho,Arcos de Valdevez
160155,UF de Eiras e Mei,20.78,Continente,Norte,Alto Minho,Arcos de Valdevez
160156,UF de Grade e Carralcova,18.76,Continente,Norte,Alto Minho,Arcos de Valdevez
160157,UF de Guilhadeses e Santar,14.22,Continente,Norte,Alto Minho,Arcos de Valdevez
160158,UF de Jolda (Madalena) e Rio Cabrão,16.44,Continente,Norte,Alto Minho,Arcos de Valdevez
160159,UF de Padreiro (Salvador e Santa Cristina),18.98,Continente,Norte,Alto Minho,Arcos de Valdevez
160160,UF de Portela e Extremo,25.02,Continente,Norte,Alto Minho,Arcos de Valdevez
160161,UF de São Jorge e Ermelo,20.23,Continente,Norte,Alto Minho,Arcos de Valdevez
160162,UF de Souto e Tabaçô,14.3,Continente,Norte,Alto Minho,Arcos de Valdevez
160163,UF de Távora (Santa Maria e São Vicente),16.88,Continente,Norte,Alto Minho,Arcos de Valdevez
160164,"UF de Vilela, São Cosme e São Damião e Sá",19.58,Continente,Norte,Alto Minho,Arcos de Valdevez
160149,Vale,18.88,Continente,Norte,Alto Minho,Arcos de Valdevez
160201,Âncora,18.55,Continente,Norte,Alto Minho,Caminha
160205,Argela,19.42,Continente,Norte,Alto Minho,Caminha
160209,Dem,19.69,Continente,Norte,Alto Minho,Caminha
160211,Lanhelas,17.44,Continente,Norte,Alto Minho,Caminha
160214,Riba de Âncora,19.56,Continente,Norte,Alto Minho,Caminha
160215,Seixas,17.98,Continente,Norte,Alto Minho,Caminha
160221,"UF de Arga (Baixo, Cima e São João)",27.22,Continente,Norte,Alto Minho,Caminha
160222,UF de Caminha (Matriz) e Vilarelho,16.04,Continente,Norte,Alto Minho,Caminha
160223,UF de Gondar e Orbacém,25.06,Continente,Norte,Alto Minho,Caminha
160224,UF de Moledo e Cristelo,20.37,Continente,Norte,Alto Minho,Caminha
160225,UF de Venade e Azevedo,20.22,Continente,Norte,Alto Minho,Caminha
160217,Vila Praia de Âncora,18.15,Continente,Norte,Alto Minho,Caminha
160218,Vilar de Mouros,19.06,Continente,Norte,Alto Minho,Caminha
160220,Vile,17.14,Continente,Norte,Alto Minho,Caminha
160301,Alvaredo,15.8,Continente,Norte,Alto Minho,Melgaço
160304,Cousso,18.9,Continente,Norte,Alto Minho,Melgaço
160305,Cristoval,15.85,Continente,Norte,Alto Minho,Melgaço
160307,Fiães,10.95,Continente,Norte,Alto Minho,Melgaço
160308,Gave,18.38,Continente,Norte,Alto Minho,Melgaço
160311,Paderne,15.22,Continente,Norte,Alto Minho,Melgaço
160313,Penso,15.47,Continente,Norte,Alto Minho,Melgaço
160317,São Paio,15.7,Continente,Norte,Alto Minho,Melgaço
160319,UF de Castro Laboreiro e Lamas de Mouro,14.92,Continente,Norte,Alto Minho,Melgaço
160320,UF de Chaviães e Paços,15.32,Continente,Norte,Alto Minho,Melgaço
160321,UF de Parada do Monte e Cubalhão,17.16,Continente,Norte,Alto Minho,Melgaço
160322,UF de Prado e Remoães,16.83,Continente,Norte,Alto Minho,Melgaço
160323,UF de Vila e Roussas,13.88,Continente,Norte,Alto Minho,Melgaço
160401,Abedim,21.4,Continente,Norte,Alto Minho,Monção
160404,Barbeita,14.98,Continente,Norte,Alto Minho,Monção
160405,Barroças e Taias,16.15,Continente,Norte,Alto Minho,Monção
160406,Bela,16.2,Continente,Norte,Alto Minho,Monção
160407,Cambeses,16.66,Continente,Norte,Alto Minho,Monção
160410,Lara,13.74,Continente,Norte,Alto Minho,Monção
160411,Longos Vales,17.48,Continente,Norte,Alto Minho,Monção
160415,Merufe,19.23,Continente,Norte,Alto Minho,Monção
160418,Moreira,14.88,Continente,Norte,Alto Minho,Monção
160420,Pias,15.65,Continente,Norte,Alto Minho,Monção
160421,Pinheiros,15.8,Continente,Norte,Alto Minho,Monção
160422,Podame,22.91,Continente,Norte,Alto Minho,Monção
160423,Portela,21.9,Continente,Norte,Alto Minho,Monção
160424,Riba de Mouro,19.03,Continente,Norte,Alto Minho,Monção
160427,Segude,16.7,Continente,Norte,Alto Minho,Monção
160428,Tangil,17.88,Continente,Norte,Alto Minho,Monção
