Energy balance,Geo_Cod,Geo_Desc,TIME_PERIOD,OBS_VALUE,Target2020
Renewable energy sources,AT,Austria,2019,33.755,34
Renewable energy sources,AT,Austria,2020,36.545,34
Renewable energy sources,AT,Austria,2021,34.792,34
Renewable energy sources,AT,Austria,2022,34.075,34
Renewable energy sources,AT,Austria,2023,40.844,34
Renewable energy sources,BE,Belgium,2019,9.929,13
Renewable energy sources,BE,Belgium,2020,13,13
Renewable energy sources,BE,Belgium,2021,13.076,13
Renewable energy sources,BE,Belgium,2022,13.816,13
Renewable energy sources,BE,Belgium,2023,14.741,13
Renewable energy sources,BG,Bulgaria,2019,21.545,16
Renewable energy sources,BG,Bulgaria,2020,23.319,16
Renewable energy sources,BG,Bulgaria,2021,19.445,16
Renewable energy sources,BG,Bulgaria,2022,19.044,16
Renewable energy sources,BG,Bulgaria,2023,22.549,16
Renewable energy sources,CY,Cyprus,2019,13.777,13
Renewable energy sources,CY,Cyprus,2020,16.879,13
Renewable energy sources,CY,Cyprus,2021,19.069,13
Renewable energy sources,CY,Cyprus,2022,19.427,13
Renewable energy sources,CY,Cyprus,2023,20.213,13
Renewable energy sources,CZ,Czechia,2019,16.239,13
Renewable energy sources,CZ,Czechia,2020,17.303,13
Renewable energy sources,CZ,Czechia,2021,17.614,13
Renewable energy sources,CZ,Czechia,2022,18.123,13
Renewable energy sources,CZ,Czechia,2023,18.586,13
Renewable energy sources,DE,Germany,2019,17.266,18
Renewable energy sources,DE,Germany,2020,19.09,18
Renewable energy sources,DE,Germany,2021,19.3,18
Renewable energy sources,DE,Germany,2022,20.814,18
Renewable energy sources,DE,Germany,2023,21.562,18
Renewable energy sources,DK,Denmark,2019,37.02,30
Renewable energy sources,DK,Denmark,2020,31.681,30
Renewable energy sources,DK,Denmark,2021,41.813,30
Renewable energy sources,DK,Denmark,2022,42.383,30
Renewable energy sources,DK,Denmark,2023,44.396,30
Renewable energy sources,EE,Estonia,2019,31.73,25
Renewable energy sources,EE,Estonia,2020,30.069,25
Renewable energy sources,EE,Estonia,2021,37.342,25
Renewable energy sources,EE,Estonia,2022,38.542,25
