Pais,Comunistas,Sexo,AnosVidaSaudavel,EsperancaVida
Alemanha,Ocidental,Homens,62.1,78.7
Alemanha,Ocidental,Mulheres,63,83.5
Austria,Ocidental,Homens,60.3,79.5
Austria,Ocidental,Mulheres,60.5,84.2
Bélgica,Ocidental,Homens,64.4,80.4
Bélgica,Ocidental,Mulheres,63.5,84.5
Bulgária,Leste,Homens,66.3,72
Bulgária,Leste,Mulheres,71,79.7
Chipre,Ocidental,Homens,64.4,81.3
Chipre,Ocidental,Mulheres,65.7,85.3
Croácia,Leste,Homens,60.4,75.5
Croácia,Leste,Mulheres,62.4,81.8
Dinamarca,Ocidental,Homens,57,79.9
Dinamarca,Ocidental,Mulheres,55.4,83.7
Eslováquia,Leste,Homens,56.8,74.9
Eslováquia,Leste,Mulheres,58.2,81.5
Eslovénia,Leste,Homens,64.6,79.1
Eslovénia,Leste,Mulheres,68.8,84.9
Espanha,Ocidental,Homens,62.4,81.3
Espanha,Ocidental,Mulheres,61.8,86.7
Estónia,Leste,Homens,56.5,74.5
Estónia,Leste,Mulheres,59.6,83.3
Finlândia,Ocidental,Homens,58.1,79
Finlândia,Ocidental,Mulheres,55.9,84.3
França,Ocidental,Homens,63.5,80.1
França,Ocidental,Mulheres,64.1,85.7
Grécia,Ocidental,Homens,66,79.2
Grécia,Ocidental,Mulheres,67.3,84.4
Hungria,Leste,Homens,62.5,73.4
Hungria,Leste,Mulheres,64.6,79.9
Irlanda,Ocidental,Homens,66,81.1
Irlanda,Ocidental,Mulheres,66.2,84.6
Itália,Ocidental,Homens,68.5,81.4
Itália,Ocidental,Mulheres,69.6,85.4
Letónia,Leste,Homens,51.2,70.5
Letónia,Leste,Mulheres,54.3,80.6
Lituânia,Leste,Homens,58.9,72.9
Lituânia,Leste,Mulheres,62.9,81.9
Malta,Ocidental,Homens,71.7,81.6
Malta,Ocidental,Mulheres,71.1,85.2
Polónia,Leste,Homens,61.7,74.6
Polónia,Leste,Mulheres,64.4,82.1
Portugal,Ocidental,Homens,61,79.5
Portugal,Ocidental,Mulheres,58.3,85.3
Roménia,Leste,Homens,59.4,72.6
Roménia,Leste,Mulheres,58.9,80.4
Suécia,Ocidental,Homens,67.2,81.7
Suécia,Ocidental,Mulheres,65,85
Chequia,Leste,Homens,61.5,76.9
Chequia,Leste,Mulheres,62.6,82.9
EU27,Ocidental,Homens,62.8,78.7
EU27,Ocidental,Mulheres,63.3,84
Noruega,Ocidental,Homens,66.9,81.5
Noruega,Ocidental,Mulheres,62.9,84.6
Países Baixos,Ocidental,Homens,60.6,80.4
Países Baixos,Ocidental,Mulheres,57.5,83.4
Suíça,Ocidental,Homens,59.6,82.4
Suíça,Ocidental,Mulheres,55.4,86
