geo,Ano,Valor,Pais
AT,1994,216,Austria
AT,1999,239,Austria
AT,2005,223,Austria
AT,2010,238,Austria
AT,2015,261,Austria
AT,2020,244,Austria
BE,1988,239,Bélgica
BE,1994,290,Bélgica
BE,1999,262,Bélgica
BE,2005,253,Bélgica
BE,2010,267,Bélgica
BE,2015,287,Bélgica
BE,2020,318,Bélgica
BG,1999,138,Bulgária
BG,2005,347,Bulgária
BG,2010,372,Bulgária
BG,2015,332,Bulgária
BG,2020,346,Bulgária
CY,1999,198,Chipre
CY,2005,216,Chipre
CY,2010,266,Chipre
CY,2015,255,Chipre
CY,2020,255,Chipre
CZ,1999,175,Chequia
CZ,2005,201,Chequia
CZ,2010,227,Chequia
CZ,2015,223,Chequia
CZ,2020,243,Chequia
DK,1994,279,Dinamarca
DK,1999,284,Dinamarca
DK,2005,299,Dinamarca
DK,2010,312,Dinamarca
DK,2015,322,Dinamarca
DK,2020,335,Dinamarca
DE,1988,223,Alemanha
DE,1994,248,Alemanha
DE,1999,313,Alemanha
DE,2005,296,Alemanha
DE,2010,303,Alemanha
DE,2015,323,Alemanha
DE,2020,314,Alemanha
EE,1999,180,Estónia
EE,2005,299,Estónia
EE,2010,294,Estónia
EE,2015,272,Estónia
EE,2020,328,Estónia
EL,1988,193,Grécia
EL,1994,240,Grécia
EL,1999,219,Grécia
EL,2005,240,Grécia
EL,2010,275,Grécia
EL,2015,280,Grécia
EL,2020,323,Grécia
ES,1988,191,Espanha
ES,1994,235,Espanha
ES,1999,275,Espanha
ES,2005,303,Espanha
ES,2010,300,Espanha
ES,2015,318,Espanha
ES,2020,356,Espanha
EU27_2020,2015,318,EU27
EU27_2020,2020,329,EU27
FI,1994,272,Finlândia
FI,1999,281,Finlândia
FI,2005,272,Finlândia
FI,2010,267,Finlândia
FI,2015,315,Finlândia
FI,2020,323,Finlândia
FR,1988,138,França
FR,1994,232,França
FR,1999,277,França
FR,2005,263,França
FR,2010,268,França
FR,2015,289,França
FR,2020,289,França
HR,2005,296,Croácia
HR,2010,323,Croácia
HR,2015,318,Croácia
HR,2020,324,Croácia
HU,1999,200,Hungria
HU,2005,194,Hungria
HU,2010,393,Hungria
HU,2015,370,Hungria
HU,2020,492,Hungria
IE,1994,216,Irlanda
IE,1999,273,Irlanda
IE,2005,234,Irlanda
IE,2010,277,Irlanda
IE,2015,317,Irlanda
IE,2020,347,Irlanda
IT,1988,189,Itália
IT,1994,241,Itália
IT,1999,247,Itália
IT,2010,323,Itália
IT,2015,354,Itália
IT,2020,377,Itália
LT,1999,129,Lituânia
LT,2005,189,Lituânia
LT,2010,285,Lituânia
LT,2015,334,Lituânia
LT,2020,335,Lituânia
LU,1988,243,Luxemburgo
LU,1994,274,Luxemburgo
LU,1999,274,Luxemburgo
LU,2005,301,Luxemburgo
LU,2010,338,Luxemburgo
LU,2015,349,Luxemburgo
LU,2020,351,Luxemburgo
LV,1999,177,Letónia
LV,2005,171,Letónia
LV,2010,235,Letónia
LV,2015,237,Letónia
LV,2020,247,Letónia
ME,2010,153,Montenegro
ME,2015,293,Montenegro
ME,2020,298,Montenegro
MK,2005,119,Macedónia do Norte
MK,2010,129,Macedónia do Norte
MK,2015,154,Macedónia do Norte
MT,1999,90,Malta
MT,2005,91,Malta
MT,2010,81,Malta
MT,2015,84,Malta
MT,2020,84,Malta
NL,1988,207,Países Baixos
NL,1994,272,Países Baixos
NL,1999,267,Países Baixos
NL,2005,256,Países Baixos
NL,2010,286,Países Baixos
NL,2015,304,Países Baixos
NL,2020,307,Países Baixos
NO,2005,262,Noruega
NO,2010,312,Noruega
NO,2015,312,Noruega
NO,2020,353,Noruega
PL,1999,191,Polónia
PL,2005,315,Polónia
PL,2010,327,Polónia
PL,2015,340,Polónia
PL,2020,327,Polónia
PT,1988,122,Portugal
PT,1994,199,Portugal
PT,1999,198,Portugal
PT,2005,266,Portugal
PT,2010,292,Portugal
PT,2015,319,Portugal
PT,2020,392,Portugal
RO,1999,130,Roménia
RO,2005,156,Roménia
RO,2010,360,Roménia
RO,2015,354,Roménia
RO,2020,327,Roménia
RS,2015,308,Sérvia
RS,2020,298,Sérvia
SE,1994,260,Suécia
SE,1999,268,Suécia
SE,2005,296,Suécia
SE,2010,331,Suécia
SE,2015,321,Suécia
SI,1999,107,Eslovénia
SI,2005,230,Eslovénia
SI,2010,298,Eslovénia
SI,2015,264,Eslovénia
SI,2020,243,Eslovénia
SK,1999,158,Eslováquia
SK,2005,304,Eslováquia
SK,2010,338,Eslováquia
SK,2015,316,Eslováquia
SK,2020,334,Eslováquia
TR,2005,267,Turquia
TR,2010,280,Turquia
TR,2015,255,Turquia
TR,2020,244,Turquia
UK,1988,217,Reino Unido
UK,1994,259,Reino Unido
UK,1999,283,Reino Unido
UK,2005,296,Reino Unido
UK,2010,180,Reino Unido
UK,2015,188,Reino Unido
