Continente,Country,Cycle,PopVal,PopPct,Size
Africa,Algeria,Young,14144417,0.306393488,2
Africa,Algeria,Adult,29075978,0.629837929,2
Africa,Algeria,Old,2943827,0.063768583,2
Africa,Angola,Young,16380266,0.445722615,2
Africa,Angola,Adult,19336437,0.52616284,2
Africa,Angola,Old,1033207,0.028114545,2
Africa,Benin,Young,5903527,0.418362378,2
Africa,Benin,Adult,7771774,0.55075853,2
Africa,Benin,Old,435736,0.030879091,2
Africa,Botswana,Young,800656,0.322813531,1
Africa,Botswana,Adult,1581130,0.637489956,1
Africa,Botswana,Old,98457,0.039696514,1
Africa,Burkina Faso,Young,9763217,0.42401247,2
Africa,Burkina Faso,Adult,12659119,0.549780294,2
Africa,Burkina Faso,Old,603442,0.026207236,2
Africa,Burundi,Young,6210182,0.453647099,2
Africa,Burundi,Adult,7135624,0.521249639,2
Africa,Burundi,Old,343650,0.025103262,2
Africa,Cabo Verde,Young,137743,0.263706242,1
Africa,Cabo Verde,Adult,350220,0.670489245,1
Africa,Cabo Verde,Old,34372,0.065804512,1
Africa,Cameroon,Young,11848591,0.417605486,2
Africa,Cameroon,Adult,15736802,0.554646105,2
Africa,Cameroon,Old,787297,0.027748409,2
Africa,Central African Republic,Young,2533260,0.491664398,2
Africa,Central African Republic,Adult,2511201,0.487383106,2
Africa,Central African Republic,Old,107956,0.020952497,2
Africa,Chad,Young,9029186,0.467371549,2
Africa,Chad,Adult,9889056,0.511880408,2
Africa,Chad,Old,400833,0.020748043,2
Africa,Comoros,Young,318057,0.37401222,1
Africa,Comoros,Adult,494293,0.581253116,1
Africa,Comoros,Old,38042,0.044734664,1
Africa,Congo,Young,2527789,0.408836159,2
Africa,Congo,Adult,3474889,0.562016953,2
Africa,Congo,Old,180212,0.029146888,2
Africa,Côte d'Ivoire,Young,12864068,0.41276427,2
Africa,Côte d'Ivoire,Adult,17501174,0.561553259,2
Africa,Côte d'Ivoire,Old,800411,0.025682472,2
