Data,COICOP,Valor
1996-01-15,Total,65.76
1996-01-15,Serviços Postais,52.6
1996-02-15,Total,66.09
1996-02-15,Serviços Postais,52.6
1996-03-15,Total,66.23
1996-03-15,Serviços Postais,54.94
1996-04-15,Total,66.76
1996-04-15,Serviços Postais,54.94
1996-05-15,Total,67.03
1996-05-15,Serviços Postais,54.94
1996-06-15,Total,67.03
1996-06-15,Serviços Postais,54.94
1996-07-15,Total,67.17
1996-07-15,Serviços Postais,54.94
1996-08-15,Total,67.37
1996-08-15,Serviços Postais,54.94
1996-09-15,Total,67.37
1996-09-15,Serviços Postais,54.94
1996-10-15,Total,67.23
1996-10-15,Serviços Postais,54.94
1996-11-15,Total,67.37
1996-11-15,Serviços Postais,54.94
1996-12-15,Total,67.37
1996-12-15,Serviços Postais,54.94
1997-01-15,Total,67.63
1997-01-15,Serviços Postais,54.94
1997-02-15,Total,67.7
1997-02-15,Serviços Postais,57.29
1997-03-15,Total,67.77
1997-03-15,Serviços Postais,57.29
1997-04-15,Total,67.83
1997-04-15,Serviços Postais,57.29
1997-05-15,Total,68.3
1997-05-15,Serviços Postais,57.29
1997-06-15,Total,68.1
1997-06-15,Serviços Postais,57.29
1997-07-15,Total,68.1
1997-07-15,Serviços Postais,57.29
1997-08-15,Total,68.44
1997-08-15,Serviços Postais,57.29
1997-09-15,Total,68.37
1997-09-15,Serviços Postais,57.29
1997-10-15,Total,68.3
1997-10-15,Serviços Postais,57.29
1997-11-15,Total,68.64
1997-11-15,Serviços Postais,57.29
1997-12-15,Total,68.77
1997-12-15,Serviços Postais,57.29
1998-01-15,Total,68.7
1998-01-15,Serviços Postais,57.89
1998-02-15,Total,68.57
1998-02-15,Serviços Postais,57.94
1998-03-15,Total,68.77
1998-03-15,Serviços Postais,57.94
1998-04-15,Total,69.31
1998-04-15,Serviços Postais,57.94
1998-05-15,Total,69.77
1998-05-15,Serviços Postais,57.94
1998-06-15,Total,69.91
1998-06-15,Serviços Postais,57.94
1998-07-15,Total,70.04
1998-07-15,Serviços Postais,57.94
1998-08-15,Total,69.97
1998-08-15,Serviços Postais,57.94
1998-09-15,Total,69.84
1998-09-15,Serviços Postais,57.94
1998-10-15,Total,70.04
1998-10-15,Serviços Postais,57.94
1998-11-15,Total,70.44
1998-11-15,Serviços Postais,57.94
1998-12-15,Total,70.71
1998-12-15,Serviços Postais,57.94
1999-01-15,Total,70.44
1999-01-15,Serviços Postais,58.49
1999-02-15,Total,70.44
1999-02-15,Serviços Postais,58.49
1999-03-15,Total,70.71
1999-03-15,Serviços Postais,58.49
1999-04-15,Total,71.18
1999-04-15,Serviços Postais,58.49
1999-05-15,Total,71.25
1999-05-15,Serviços Postais,58.49
1999-06-15,Total,71.38
1999-06-15,Serviços Postais,58.49
1999-07-15,Total,71.38
1999-07-15,Serviços Postais,58.49
1999-08-15,Total,71.25
1999-08-15,Serviços Postais,58.49
1999-09-15,Total,71.18
1999-09-15,Serviços Postais,58.49
1999-10-15,Total,71.31
1999-10-15,Serviços Postais,58.49
1999-11-15,Total,71.78
1999-11-15,Serviços Postais,58.49
1999-12-15,Total,71.91
1999-12-15,Serviços Postais,58.49
2000-01-15,Total,71.78
2000-01-15,Serviços Postais,60.89
2000-02-15,Total,71.58
2000-02-15,Serviços Postais,60.89
2000-03-15,Total,71.71
2000-03-15,Serviços Postais,60.89
2000-04-15,Total,72.52
2000-04-15,Serviços Postais,60.89
2000-05-15,Total,72.99
2000-05-15,Serviços Postais,60.89
2000-06-15,Total,73.39
2000-06-15,Serviços Postais,60.89
2000-07-15,Total,73.72
2000-07-15,Serviços Postais,60.89
2000-08-15,Total,73.79
2000-08-15,Serviços Postais,60.89
2000-09-15,Total,73.72
2000-09-15,Serviços Postais,60.89
2000-10-15,Total,73.92
2000-10-15,Serviços Postais,60.89
2000-11-15,Total,74.39
2000-11-15,Serviços Postais,60.89
2000-12-15,Total,74.66
2000-12-15,Serviços Postais,60.89
2001-01-15,Total,74.93
2001-01-15,Serviços Postais,61.43
2001-02-15,Total,75.05
2001-02-15,Serviços Postais,61.46
2001-03-15,Total,75.37
2001-03-15,Serviços Postais,61.46
2001-04-15,Total,75.84
2001-04-15,Serviços Postais,61.46
2001-05-15,Total,76.54
2001-05-15,Serviços Postais,61.46
2001-06-15,Total,76.74
2001-06-15,Serviços Postais,61.46
2001-07-15,Total,76.9
2001-07-15,Serviços Postais,61.46
2001-08-15,Total,76.75
2001-08-15,Serviços Postais,61.46
2001-09-15,Total,76.74
2001-09-15,Serviços Postais,61.46
2001-10-15,Total,77.01
2001-10-15,Serviços Postais,61.46
2001-11-15,Total,77.45
2001-11-15,Serviços Postais,61.46
2001-12-15,Total,77.58
2001-12-15,Serviços Postais,61.46
2002-01-15,Total,77.67
2002-01-15,Serviços Postais,63.72
2002-02-15,Total,77.56
2002-02-15,Serviços Postais,63.72
2002-03-15,Total,77.9
2002-03-15,Serviços Postais,63.72
2002-04-15,Total,78.56
2002-04-15,Serviços Postais,63.72
2002-05-15,Total,79.17
2002-05-15,Serviços Postais,63.72
2002-06-15,Total,79.43
2002-06-15,Serviços Postais,63.72
2002-07-15,Total,79.62
2002-07-15,Serviços Postais,63.72
2002-08-15,Total,79.73
2002-08-15,Serviços Postais,63.72
2002-09-15,Total,79.7
2002-09-15,Serviços Postais,63.72
2002-10-15,Total,80.17
2002-10-15,Serviços Postais,63.72
2002-11-15,Total,80.62
2002-11-15,Serviços Postais,63.72
2002-12-15,Total,80.7
2002-12-15,Serviços Postais,63.72
2003-01-15,Total,80.75
2003-01-15,Serviços Postais,66.07
2003-02-15,Total,80.75
2003-02-15,Serviços Postais,66.07
2003-03-15,Total,80.8
2003-03-15,Serviços Postais,66.07
2003-04-15,Total,81.48
2003-04-15,Serviços Postais,66.07
2003-05-15,Total,82.05
2003-05-15,Serviços Postais,66.07
2003-06-15,Total,82.08
2003-06-15,Serviços Postais,66.07
2003-07-15,Total,81.96
2003-07-15,Serviços Postais,66.07
2003-08-15,Total,82.05
2003-08-15,Serviços Postais,66.07
2003-09-15,Total,82.21
2003-09-15,Serviços Postais,66.07
