Geo_Cod,Geo_Desc,Data,Index1996,Index2005,Index2015
AL,Albania,2015-12-15,,,100
AL,Albania,2016-01-15,,,100
AL,Albania,2016-02-15,,,100
AL,Albania,2016-03-15,,,100
AL,Albania,2016-04-15,,,100
AL,Albania,2016-05-15,,,100
AL,Albania,2016-06-15,,,100
AL,Albania,2016-07-15,,,100
AL,Albania,2016-08-15,,,100
AL,Albania,2016-09-15,,,100
AL,Albania,2016-10-15,,,100
AL,Albania,2016-11-15,,,100
AL,Albania,2016-12-15,,,100
AL,Albania,2017-01-15,,,100
AL,Albania,2017-02-15,,,100
AL,Albania,2017-03-15,,,99.88
AL,Albania,2017-04-15,,,99.88
AL,Albania,2017-05-15,,,99.88
AL,Albania,2017-06-15,,,99.88
AL,Albania,2017-07-15,,,99.88
AL,Albania,2017-08-15,,,99.88
AL,Albania,2017-09-15,,,99.88
AL,Albania,2017-10-15,,,99.88
AL,Albania,2017-11-15,,,99.88
AL,Albania,2017-12-15,,,99.88
AL,Albania,2018-01-15,,,99.88
AL,Albania,2018-02-15,,,99.88
AL,Albania,2018-03-15,,,99.88
AL,Albania,2018-04-15,,,99.88
AL,Albania,2018-05-15,,,99.88
AL,Albania,2018-06-15,,,99.88
AL,Albania,2018-07-15,,,99.88
AL,Albania,2018-08-15,,,99.88
AL,Albania,2018-09-15,,,99.88
AL,Albania,2018-10-15,,,99.88
AL,Albania,2018-11-15,,,99.88
AL,Albania,2018-12-15,,,99.88
AL,Albania,2019-01-15,,,99.88
AL,Albania,2019-02-15,,,99.88
AL,Albania,2019-03-15,,,99.88
AL,Albania,2019-04-15,,,99.88
AL,Albania,2019-05-15,,,99.88
AL,Albania,2019-06-15,,,99.88
AL,Albania,2019-07-15,,,99.88
AL,Albania,2019-08-15,,,99.88
AL,Albania,2019-09-15,,,99.88
AL,Albania,2019-10-15,,,99.88
AL,Albania,2019-11-15,,,99.88
AL,Albania,2019-12-15,,,99.88
AL,Albania,2020-01-15,,,99.88
AL,Albania,2020-02-15,,,99.88
AL,Albania,2020-03-15,,,99.88
AL,Albania,2020-04-15,,,99.88
AL,Albania,2020-05-15,,,99.88
AL,Albania,2020-06-15,,,99.88
AL,Albania,2020-07-15,,,99.88
AL,Albania,2020-08-15,,,99.88
AL,Albania,2020-09-15,,,99.88
AL,Albania,2020-10-15,,,99.88
AL,Albania,2020-11-15,,,99.88
AL,Albania,2020-12-15,,,99.88
AL,Albania,2021-01-15,,,99.88
