Data,HICP
2013-12-15,103.98
2014-01-15,107.4
2014-02-15,100.57
2014-03-15,97.94
2014-04-15,103.35
2014-05-15,106.92
2014-06-15,105.05
2014-07-15,104.78
2014-08-15,103.1
2014-09-15,103.61
2014-10-15,101.97
2014-11-15,106.38
2014-12-15,111.68
2015-01-15,113.77
2015-02-15,97.34
2015-03-15,55.31
2015-04-15,73.73
2015-05-15,97.12
2015-06-15,108.9
2015-07-15,109.53
2015-08-15,108.74
2015-09-15,105.72
2015-10-15,109.39
2015-11-15,109.95
2015-12-15,110.49
2016-01-15,113.41
2016-02-15,108.38
2016-03-15,64.82
2016-04-15,107.22
2016-05-15,108.93
2016-06-15,109.04
2016-07-15,104.89
2016-08-15,104.93
2016-09-15,104.98
2016-10-15,108.3
2016-11-15,109.89
2016-12-15,110.79
2017-01-15,115.28
2017-02-15,111.33
2017-03-15,58.61
2017-04-15,100.77
2017-05-15,107.69
2017-06-15,107.4
2017-07-15,107.05
2017-08-15,111.85
2017-09-15,106.27
2017-10-15,114.31
2017-11-15,114.53
2017-12-15,114.39
2018-01-15,114.17
2018-02-15,109.26
2018-03-15,60.04
2018-04-15,103.03
2018-05-15,113.05
2018-06-15,112.6
2018-07-15,119.74
2018-08-15,116.42
2018-09-15,106.63
2018-10-15,115.17
2018-11-15,114.88
2018-12-15,116.78
2019-01-15,114.51
2019-02-15,101.26
2019-03-15,78.52
2019-04-15,105.39
2019-05-15,109.33
2019-06-15,108.1
2019-07-15,108.46
2019-08-15,102.8
2019-09-15,105.98
2019-10-15,108.64
2019-11-15,116.92
2019-12-15,110.24
2020-01-15,114.66
2020-02-15,105.18
2020-03-15,72.23
2020-04-15,91.17
2020-05-15,116.16
2020-06-15,111.91
2020-07-15,111.03
2020-08-15,110.81
2020-09-15,115.52
2020-10-15,118.49
2020-11-15,121.41
2020-12-15,123.06
2021-01-15,122.2
2021-02-15,111.9
2021-03-15,100.79
2021-04-15,117.17
2021-05-15,119.59
2021-06-15,121.6
2021-07-15,125.81
2021-08-15,126.18
2021-09-15,125.82
2021-10-15,127.79
2021-11-15,128.95
2021-12-15,127.27
2022-01-15,126.66
2022-02-15,123.32
2022-03-15,107.39
2022-04-15,125.57
2022-05-15,130.05
2022-06-15,126.96
2022-07-15,127.22
2022-08-15,126.75
2022-09-15,130.33
2022-10-15,133.24
2022-11-15,137.15
2022-12-15,131.54
2023-01-15,133.6
2023-02-15,117.83
2023-03-15,84.63
2023-04-15,143.73
2023-05-15,141.44
2023-06-15,140.57
2023-07-15,142.53
2023-08-15,143.92
2023-09-15,153.86
2023-10-15,148.1
2023-11-15,144.27
2023-12-15,136.46
2024-01-15,145.88
2024-02-15,138.1
2024-03-15,120.06
2024-04-15,144.58
2024-05-15,146.18
2024-06-15,139.49
2024-07-15,149.59
2024-08-15,148.16
2024-09-15,149.62
2024-10-15,153.83
2024-11-15,148.8
2024-12-15,145.69
2025-01-15,147.77
2025-02-15,137.31
2025-03-15,94.79
