coicop,COICOP_Desc,Ano,Valor,Classificação,Peso
CP01,Food and non-alcoholic beverages,1988,3527,Alimentação,29.57
CP01,Food and non-alcoholic beverages,2020,3166,Alimentação,12.92
CP02,"Alcoholic beverages, tobacco and narcotics",1988,444,Bebidas e Tabaco,3.72
CP02,"Alcoholic beverages, tobacco and narcotics",2020,383,Bebidas e Tabaco,1.56
CP03,Clothing and footwear,1988,1104,Vestuário e Calçado,9.26
CP03,Clothing and footwear,2020,397,Vestuário e Calçado,1.62
CP04,"Housing, water, electricity, gas and other fuels",1988,1450,Habitação,12.16
CP04,"Housing, water, electricity, gas and other fuels",2020,9600,Habitação,39.19
CP05,"Furnishings, household equipment and routine household maintenance",1988,843,Equipamento do Lar,7.07
CP05,"Furnishings, household equipment and routine household maintenance",2020,1129,Equipamento do Lar,4.61
CP06,Health,1988,355,Saúde,2.98
CP06,Health,2020,958,Saúde,3.91
CP07,Transport,1988,1768,Transportes,14.82
CP07,Transport,2020,2959,Transportes,12.08
CP08,Communications,1988,127,Comunicações,1.06
CP08,Communications,2020,818,Comunicações,3.34
CP09,Recreation and culture,1988,471,Lazer e Cultura,3.95
CP09,Recreation and culture,2020,930,Lazer e Cultura,3.8
CP10,Education,1988,74,Educação,0.62
CP10,Education,2020,345,Educação,1.41
CP11,Restaurants and hotels,1988,1182,Restaurantes e Hotéis,9.91
CP11,Restaurants and hotels,2020,2100,Restaurantes e Hotéis,8.57
CP12,Miscellaneous goods and services,1988,581,Outros,4.87
CP12,Miscellaneous goods and services,2020,1714,Outros,7
