coicop,coicop_desc,unit,unit_desc,geo,geo_desc,Ano,ValorFood,ValorTotal,FoodPercent,Pais
CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,AT,Austria,2005,3933,30167,13.0374,Austria
CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,AT,Austria,2020,4177,34730,12.0271,Austria
CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,BE,Belgium,2005,4043,30049,13.4547,Bélgica
CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,BE,Belgium,2020,4913,30908,15.8956,Bélgica
CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,BG,Bulgaria,2005,2238,7097,31.5345,Bulgária
CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,BG,Bulgaria,2020,3237,13182,24.5562,Bulgária
CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,HR,Croatia,2005,4564,16841,27.1005,Croácia
CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,HR,Croatia,2020,4598,21903,20.9926,Croácia
CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,CY,Cyprus,2005,5158,34208,15.0783,Chipre
CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,CY,Cyprus,2020,5236,34177,15.3202,Chipre
CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,CZ,Czechia,2005,2503,12141,20.6161,Chequia
CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,CZ,Czechia,2020,3546,17132,20.6981,Chequia
CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,DK,Denmark,2005,2872,24062,11.9358,Dinamarca
CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,DK,Denmark,2020,3737,30284,12.3398,Dinamarca
CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,EE,Estonia,2005,2440,10848,22.4926,Estónia
CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,EE,Estonia,2020,3284,17683,18.5715,Estónia
CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,DE,Germany,2005,3185,28501,11.175,Alemanha
CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,DE,Germany,2020,3608,32116,11.2343,Alemanha
CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,FI,Finland,2005,3086,24359,12.6688,Finlândia
CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,FI,Finland,2020,4161,28811,14.4424,Finlândia
CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,FR,France,2005,3733,27886,13.3866,França
CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,FR,France,2020,4136,28961,14.2813,França
CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,EL,Greece,2005,4801,30976,15.4991,Grécia
CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,EL,Greece,2020,4494,22529,19.9476,Grécia
CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,HU,Hungary,2005,2413,10693,22.5662,Hungria
CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,HU,Hungary,2020,3575,21937,16.2967,Hungria
CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,IE,Ireland,2005,4491,36372,12.3474,Irlanda
CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,IE,Ireland,2020,4057,33496,12.1119,Irlanda
