Tipo,Ano,Percentil,Valor
Average Total Federal Tax Rate (percent),1979,Q00-20,9.3
Average Total Federal Tax Rate (percent),1979,Q20-40,15
Average Total Federal Tax Rate (percent),1979,Q40-60,19.1
Average Total Federal Tax Rate (percent),1979,Q60-80,21.7
Average Total Federal Tax Rate (percent),1979,Q80-100,27.1
Average Total Federal Tax Rate (percent),1979,Q00-100,22.4
Average Total Federal Tax Rate (percent),1979,81st-90th,23.6
Average Total Federal Tax Rate (percent),1979,91st-95th,25.2
Average Total Federal Tax Rate (percent),1979,96th-99th,27.1
Average Total Federal Tax Rate (percent),1979,Top1%,35.1
Average Total Federal Tax Rate (percent),1980,Q00-20,8.9
Average Total Federal Tax Rate (percent),1980,Q20-40,14.7
Average Total Federal Tax Rate (percent),1980,Q40-60,19
Average Total Federal Tax Rate (percent),1980,Q60-80,21.8
Average Total Federal Tax Rate (percent),1980,Q80-100,26.9
Average Total Federal Tax Rate (percent),1980,Q00-100,22.4
Average Total Federal Tax Rate (percent),1980,81st-90th,24
Average Total Federal Tax Rate (percent),1980,91st-95th,25.5
Average Total Federal Tax Rate (percent),1980,96th-99th,27.4
Average Total Federal Tax Rate (percent),1980,Top1%,33.1
Average Total Federal Tax Rate (percent),1981,Q00-20,9.6
Average Total Federal Tax Rate (percent),1981,Q20-40,15.2
Average Total Federal Tax Rate (percent),1981,Q40-60,19.4
Average Total Federal Tax Rate (percent),1981,Q60-80,22.3
Average Total Federal Tax Rate (percent),1981,Q80-100,26.6
Average Total Federal Tax Rate (percent),1981,Q00-100,22.6
Average Total Federal Tax Rate (percent),1981,81st-90th,24.5
Average Total Federal Tax Rate (percent),1981,91st-95th,25.8
Average Total Federal Tax Rate (percent),1981,96th-99th,27.2
Average Total Federal Tax Rate (percent),1981,Top1%,30.5
Average Total Federal Tax Rate (percent),1982,Q00-20,9.8
Average Total Federal Tax Rate (percent),1982,Q20-40,14
Average Total Federal Tax Rate (percent),1982,Q40-60,18.1
Average Total Federal Tax Rate (percent),1982,Q60-80,20.6
Average Total Federal Tax Rate (percent),1982,Q80-100,24.2
Average Total Federal Tax Rate (percent),1982,Q00-100,20.9
Average Total Federal Tax Rate (percent),1982,81st-90th,22.6
Average Total Federal Tax Rate (percent),1982,91st-95th,23.7
