Indicador,Sexo,Geo,GeoDesc,OBS_VALUE,Pais
Vida Saudável,Mulheres,AT,Austria,60.5,Austria
Vida Saudável,Homens,AT,Austria,60.3,Austria
Vida Saudável,Mulheres,BE,Belgium,63.5,Bélgica
Vida Saudável,Homens,BE,Belgium,64.4,Bélgica
Vida Saudável,Mulheres,BG,Bulgaria,71,Bulgária
Vida Saudável,Homens,BG,Bulgaria,66.3,Bulgária
Vida Saudável,Mulheres,CH,Switzerland,55.4,Suíça
Vida Saudável,Homens,CH,Switzerland,59.6,Suíça
Vida Saudável,Mulheres,CY,Cyprus,65.7,Chipre
Vida Saudável,Homens,CY,Cyprus,64.4,Chipre
Vida Saudável,Mulheres,CZ,Czechia,62.6,Chequia
Vida Saudável,Homens,CZ,Czechia,61.5,Chequia
Vida Saudável,Mulheres,HR,Croatia,62.4,Croácia
Vida Saudável,Homens,HR,Croatia,60.4,Croácia
Vida Saudável,Mulheres,DE,Germany,63,Alemanha
Vida Saudável,Homens,DE,Germany,62.1,Alemanha
Vida Saudável,Mulheres,DK,Denmark,55.4,Dinamarca
Vida Saudável,Homens,DK,Denmark,57,Dinamarca
Vida Saudável,Mulheres,EE,Estonia,59.6,Estónia
Vida Saudável,Homens,EE,Estonia,56.5,Estónia
Vida Saudável,Mulheres,EL,Greece,67.3,Grécia
Vida Saudável,Homens,EL,Greece,66,Grécia
Vida Saudável,Mulheres,ES,Spain,61.8,Espanha
Vida Saudável,Homens,ES,Spain,62.4,Espanha
Vida Saudável,Mulheres,EU27_2020,União Europeia,63.3,EU27
Vida Saudável,Homens,EU27_2020,União Europeia,62.8,EU27
Vida Saudável,Mulheres,FI,Finland,55.9,Finlândia
Vida Saudável,Homens,FI,Finland,58.1,Finlândia
Vida Saudável,Mulheres,FR,France,64.1,França
Vida Saudável,Homens,FR,France,63.5,França
Vida Saudável,Mulheres,HU,Hungary,64.6,Hungria
Vida Saudável,Mulheres,IE,Ireland,66.2,Irlanda
Vida Saudável,Mulheres,IT,Italy,69.6,Itália
Vida Saudável,Mulheres,LT,Lithuania,62.9,Lituânia
Vida Saudável,Mulheres,LV,Latvia,54.3,Letónia
Vida Saudável,Mulheres,MT,Malta,71.1,Malta
Vida Saudável,Mulheres,NL,Netherlands,57.5,Países Baixos
Vida Saudável,Mulheres,NO,Norway,62.9,Noruega
Vida Saudável,Mulheres,PL,Poland,64.4,Polónia
Vida Saudável,Mulheres,PT,Portugal,58.3,Portugal
Vida Saudável,Mulheres,RO,Romania,58.9,Roménia
Vida Saudável,Mulheres,SE,Sweden,65,Suécia
Vida Saudável,Mulheres,SI,Slovenia,68.8,Eslovénia
Vida Saudável,Mulheres,SK,Slovakia,58.2,Eslováquia
Vida Saudável,Homens,HU,Hungary,62.5,Hungria
Vida Saudável,Homens,IE,Ireland,66,Irlanda
Vida Saudável,Homens,IT,Italy,68.5,Itália
Vida Saudável,Homens,LT,Lithuania,58.9,Lituânia
Vida Saudável,Homens,LV,Latvia,51.2,Letónia
Vida Saudável,Homens,MT,Malta,71.7,Malta
Vida Saudável,Homens,NL,Netherlands,60.6,Países Baixos
Vida Saudável,Homens,NO,Norway,66.9,Noruega
Vida Saudável,Homens,PL,Poland,61.7,Polónia
Vida Saudável,Homens,PT,Portugal,61,Portugal
Vida Saudável,Homens,RO,Romania,59.4,Roménia
Vida Saudável,Homens,SE,Sweden,67.2,Suécia
Vida Saudável,Homens,SI,Slovenia,64.6,Eslovénia
Vida Saudável,Homens,SK,Slovakia,56.8,Eslováquia
Vida Saudável,Total,AT,Austria,60.4,Austria
Vida Saudável,Total,BE,Belgium,64,Bélgica
Vida Saudável,Total,BG,Bulgaria,68.6,Bulgária
Vida Saudável,Total,CH,Switzerland,57.6,Suíça
Vida Saudável,Total,CY,Cyprus,65,Chipre
Vida Saudável,Total,CZ,Czechia,62,Chequia
Vida Saudável,Total,DE,Germany,62.5,Alemanha
Vida Saudável,Total,DK,Denmark,56.3,Dinamarca
Vida Saudável,Total,EE,Estonia,58.1,Estónia
Vida Saudável,Total,EL,Greece,66.6,Grécia
Vida Saudável,Total,ES,Spain,62.1,Espanha
Vida Saudável,Total,EU27_2020,União Europeia,63.1,EU27
Vida Saudável,Total,FI,Finland,57.1,Finlândia
Vida Saudável,Total,FR,France,63.8,França
Vida Saudável,Total,HR,Croatia,61.4,Croácia
