Indicador,Sexo,Geo,GeoDesc,OBS_VALUE,Pais
Vida Saudável,Mulheres,AT,Austria,18.5,Austria
Esperança de Vida,Mulheres,AT,Austria,35.3,Austria
Vida Saudável,Mulheres,BE,Belgium,20.8,Bélgica
Esperança de Vida,Mulheres,BE,Belgium,35.7,Bélgica
Vida Saudável,Mulheres,BG,Bulgaria,23.6,Bulgária
Esperança de Vida,Mulheres,BG,Bulgaria,31.5,Bulgária
Vida Saudável,Mulheres,CH,Switzerland,18.9,Suíça
Esperança de Vida,Mulheres,CH,Switzerland,37,Suíça
Vida Saudável,Mulheres,CY,Cyprus,19.7,Chipre
Esperança de Vida,Mulheres,CY,Cyprus,36.3,Chipre
Vida Saudável,Mulheres,CZ,Czechia,17.3,Chequia
Esperança de Vida,Mulheres,CZ,Czechia,34,Chequia
Vida Saudável,Mulheres,HR,Croatia,15.9,Croácia
Esperança de Vida,Mulheres,HR,Croatia,33,Croácia
Vida Saudável,Mulheres,DE,Germany,18.3,Alemanha
Esperança de Vida,Mulheres,DE,Germany,34.6,Alemanha
Vida Saudável,Mulheres,DK,Denmark,17.5,Dinamarca
Esperança de Vida,Mulheres,DK,Denmark,34.7,Dinamarca
Vida Saudável,Mulheres,EE,Estonia,16.6,Estónia
Esperança de Vida,Mulheres,EE,Estonia,34.8,Estónia
Vida Saudável,Mulheres,EL,Greece,20,Grécia
Esperança de Vida,Mulheres,EL,Greece,35.4,Grécia
Vida Saudável,Mulheres,ES,Spain,19.3,Espanha
Esperança de Vida,Mulheres,ES,Spain,37.6,Espanha
Vida Saudável,Mulheres,EU27_2020,European Union,19.3,EU27
Esperança de Vida,Mulheres,EU27_2020,European Union,35.2,EU27
Vida Saudável,Mulheres,FI,Finland,18.2,Finlândia
Esperança de Vida,Mulheres,FI,Finland,35.4,Finlândia
Vida Saudável,Mulheres,FR,France,21.1,França
Esperança de Vida,Mulheres,FR,France,37.1,França
Vida Saudável,Mulheres,HU,Hungary,17.9,Hungria
Vida Saudável,Mulheres,IE,Ireland,22.1,Irlanda
Vida Saudável,Mulheres,IT,Italy,22.6,Itália
