Ano,Geo,Valor
1960,Austria,37.5
1960,Belgium,31.4
1960,Bulgaria,45.1
1960,Croatia,70.4
1960,Czechia,20
1960,Denmark,21.5
1960,Estonia,31.1
1960,Finland,21
1960,Germany,35
1960,Greece,40.1
1960,Hungary,47.6
1960,Ireland,29.3
1960,Italy,43.9
1960,Latvia,27
1960,Lithuania,38
1960,Luxembourg,31.5
1960,Malta,38.3
1960,Netherlands,16.5
1960,Poland,56.1
1960,Portugal,77.5
1960,Romania,75.7
1960,Slovakia,28.6
1960,Slovenia,35.1
1960,Spain,35.4
1960,Sweden,16.6
1961,Austria,32.7
1961,Belgium,28.1
1961,Bulgaria,37.8
1961,Croatia,62.9
1961,Cyprus,40
1961,Czechia,19.3
1961,Denmark,21.8
1961,Estonia,28
1961,Finland,20.8
1961,Germany,32.2
1961,Greece,39.8
1961,Hungary,44.1
1961,Ireland,30.5
1961,Italy,40.7
1961,Latvia,24.1
1961,Lithuania,35.4
1961,Luxembourg,26.2
1961,Malta,31.8
1961,Netherlands,15.4
1961,Poland,54.1
1961,Portugal,88.8
1961,Romania,71.4
1961,Slovakia,27.8
1961,Slovenia,29.4
1961,Spain,37.3
1961,Sweden,15.8
1962,Austria,32.8
1962,Belgium,27.5
1962,Bulgaria,37.3
1962,Croatia,59.4
1962,Cyprus,38
1962,Czechia,21.1
1962,Denmark,20.1
1962,Estonia,25.2
1962,Finland,20.5
1962,Germany,29.8
1962,Greece,40.3
1962,Hungary,47.9
1962,Ireland,29.1
1962,Italy,41.8
1962,Latvia,24.2
1962,Lithuania,36.3
1962,Luxembourg,31.1
1962,Malta,35
1962,Netherlands,15.3
1962,Poland,54.8
1962,Portugal,78.6
1962,Romania,60.3
1962,Slovakia,25.5
1962,Slovenia,30
1962,Spain,32.4
1962,Sweden,15.4
1963,Austria,31.3
1963,Belgium,27.2
1963,Bulgaria,35.7
1963,Croatia,56.4
1963,Cyprus,36
1963,Czechia,19.7
1963,Denmark,19.1
1963,Estonia,26
1963,Finland,18.2
1963,Germany,27.9
1963,Greece,39.3
1963,Hungary,42.9
1963,Ireland,26.6
1963,Italy,40.1
1963,Latvia,25.9
1963,Lithuania,35.1
1963,Luxembourg,28.6
1963,Malta,34.2
1963,Netherlands,15.8
1963,Poland,50.5
1963,Portugal,73.1
1963,Romania,55.2
1963,Slovakia,26.2
1963,Slovenia,29.6
1963,Spain,31.7
1963,Sweden,15.4
1964,Austria,29.2
1964,Belgium,25.3
1964,Bulgaria,32.9
1964,Croatia,53.5
1964,Cyprus,34
1964,Czechia,19.1
1964,Denmark,18.7
1964,Estonia,25.4
1964,Finland,17
1964,Germany,26
1964,Greece,35.8
1964,Hungary,40
1964,Ireland,26.7
1964,Italy,36.1
1964,Latvia,22
1964,Lithuania,29.9
1964,Luxembourg,29.8
1964,Malta,34.3
1964,Netherlands,14.8
1964,Poland,49.5
1964,Portugal,69
1964,Romania,48.6
1964,Slovakia,25.6
1964,Slovenia,28.1
1964,Spain,30.8
1964,Sweden,14.2
1965,Austria,28.3
1965,Belgium,23.7
1965,Bulgaria,30.8
1965,Croatia,49.5
1965,Cyprus,32
1965,Czechia,23.7
1965,Denmark,18.7
1965,Estonia,20.3
1965,Finland,17.6
1965,Germany,24.1
1965,Greece,34.3
1965,Hungary,38.8
1965,Ireland,25.2
1965,Italy,36
1965,Latvia,18.9
1965,Lithuania,24.7
1965,Luxembourg,24
1965,Malta,34.8
1965,Netherlands,14.4
1965,Poland,41.6
1965,Portugal,64.9
1965,Romania,44.1
1965,Slovakia,28.5
1965,Slovenia,29.6
1965,Spain,29.4
1965,Sweden,13.3
1966,Austria,28.1
1966,Belgium,24.7
1966,Bulgaria,32.2
1966,Croatia,41.7
1966,Cyprus,30
1966,Czechia,21.9
1966,Denmark,16.9
1966,Estonia,20
1966,Finland,15
1966,Germany,23.5
1966,Greece,34
1966,Hungary,38.4
1966,Ireland,24.9
1966,Italy,34.7
1966,Latvia,17
1966,Lithuania,23.3
1966,Luxembourg,26.8
1966,Malta,30.1
1966,Netherlands,14.7
1966,Poland,38.8
1966,Portugal,64.7
1966,Romania,46.6
1966,Slovakia,27
1966,Slovenia,26
1966,Spain,28
1966,Sweden,12.6
1967,Austria,26.4
1967,Belgium,22.9
1967,Bulgaria,33.1
1967,Croatia,41.5
1967,Cyprus,29
1967,Czechia,21.5
1967,Denmark,15.8
1967,Estonia,19.2
1967,Finland,14.8
1967,Germany,22.6
1967,Greece,34.3
1967,Hungary,37
1967,Ireland,24.4
1967,Italy,33.2
1967,Latvia,17.3
1967,Lithuania,20.5
1967,Luxembourg,20.4
1967,Malta,27.3
1967,Netherlands,13.4
1967,Poland,38
1967,Portugal,59.2
1967,Romania,46.6
1967,Slovakia,25.3
1967,Slovenia,26.7
1967,Spain,26.1
1967,Sweden,12.9
1968,Austria,25.5
1968,Belgium,21.7
1968,Bulgaria,28.3
1968,Croatia,41.1
1968,Cyprus,28
1968,Czechia,21.6
1968,Denmark,16.4
1968,Estonia,18
1968,Finland,13.8
1968,Germany,22.3
1968,Greece,34.4
1968,Hungary,35.8
1968,Ireland,21
1968,Italy,32.2
1968,Latvia,18.9
1968,Lithuania,19.9
1968,Luxembourg,17
1968,Malta,27.2
1968,Netherlands,13.6
1968,Poland,36.3
1968,Portugal,61.1
1968,Romania,59.5
1968,Slovakia,23.2
1968,Slovenia,27.1
1968,Spain,24.6
1968,Sweden,13.1
1969,Austria,25.4
1969,Belgium,21.2
1969,Bulgaria,30.5
1969,Croatia,37.6
1969,Cyprus,27
1969,Czechia,21.7
1969,Denmark,14.8
1969,Estonia,16.7
1969,Finland,14.3
1969,Germany,22.8
1969,Greece,31.8
1969,Hungary,35.7
1969,Ireland,20.6
1969,Italy,30.8
1969,Latvia,17.7
1969,Lithuania,20.7
1969,Luxembourg,17.5
1969,Malta,24.3
1969,Netherlands,13.2
1969,Poland,37.4
1969,Portugal,55.8
1969,Romania,54.9
1969,Slovakia,25.5
1969,Slovenia,25.4
1969,Spain,22.6
1969,Sweden,11.7
1970,Austria,25.9
1970,Belgium,21.1
1970,Bulgaria,27.3
1970,Croatia,34.2
1970,Cyprus,26
1970,Czechia,20.2
1970,Denmark,14.2
1970,Estonia,17.7
1970,Finland,13.2
1970,Germany,22.5
1970,Greece,29.6
1970,Hungary,35.9
1970,Ireland,19.5
1970,Italy,29.6
1970,Latvia,17.7
1970,Lithuania,19.3
1970,Luxembourg,24.9
1970,Malta,27.9
1970,Netherlands,12.7
1970,Poland,36.4
1970,Portugal,55.5
1970,Romania,49.4
1970,Slovakia,25.7
1970,Slovenia,24.5
1970,Spain,20.7
1970,Sweden,11
1971,Austria,26.1
1971,Belgium,20.4
1971,Bulgaria,24.9
1971,Croatia,29.5
1971,Cyprus,24
1971,Czechia,20.2
1971,Denmark,13.5
1971,Estonia,17.5
1971,Finland,12.7
1971,Germany,22.1
1971,Greece,26.9
1971,Hungary,35.1
1971,Ireland,18
1971,Italy,28.5
1971,Latvia,15.9
1971,Lithuania,14.8
1971,Luxembourg,22.5
1971,Malta,23.9
1971,Netherlands,12.1
1971,Poland,29.3
1971,Portugal,51.9
1971,Romania,42.4
1971,Slovakia,24.4
1971,Slovenia,25.5
1971,Spain,18.8
1971,Sweden,11.1
1972,Austria,25.2
1972,Belgium,18.8
1972,Bulgaria,26.2
1972,Croatia,27.6
1972,Cyprus,21
1972,Czechia,19.5
1972,Denmark,12.2
1972,Estonia,15.9
1972,Finland,12
1972,Germany,21.6
1972,Greece,27.3
1972,Hungary,33.2
1972,Ireland,18
1972,Italy,27
1972,Latvia,16
1972,Lithuania,17.4
1972,Luxembourg,14
1972,Malta,16.7
