Pais,Ano,Nascimentos,Variacao
Espanha,1960,660129,100
Espanha,1961,651558,98.702
Espanha,1962,655829,99.349
Espanha,1963,668472,101.264
Espanha,1964,694625,105.226
Espanha,1965,673551,102.033
Espanha,1966,667163,101.066
Espanha,1967,677487,102.629
Espanha,1968,664948,100.73
Espanha,1969,664114,100.604
Espanha,1970,661065,100.142
Espanha,1971,671554,101.731
Espanha,1972,672103,101.814
Espanha,1973,672726,101.908
Espanha,1974,688398,104.282
Espanha,1975,669378,101.401
Espanha,1976,677456,102.625
Espanha,1977,656357,99.429
Espanha,1978,636892,96.48
Espanha,1979,601992,91.193
Espanha,1980,571018,86.501
Espanha,1981,533008,80.743
Espanha,1982,515706,78.122
Espanha,1983,485352,73.524
Espanha,1984,473281,71.695
Espanha,1985,456298,69.123
Espanha,1986,438750,66.464
Espanha,1987,426782,64.651
Espanha,1988,418919,63.46
Espanha,1989,408434,61.872
Espanha,1990,401425,60.81
Espanha,1991,395989,59.987
Espanha,1992,396747,60.101
Espanha,1993,385786,58.441
Espanha,1994,370148,56.072
Espanha,1995,363469,55.06
Espanha,1996,362626,54.933
Espanha,1997,369035,55.903
Espanha,1998,365193,55.321
Espanha,1999,380130,57.584
Espanha,2000,397632,60.235
Espanha,2001,405313,61.399
Espanha,2002,417688,63.274
Espanha,2003,440531,66.734
Espanha,2004,453172,68.649
Espanha,2005,464811,70.412
Espanha,2006,481295,72.909
Espanha,2007,491138,74.4
Espanha,2008,518503,78.546
Espanha,2009,493717,74.791
Espanha,2010,485252,73.509
Espanha,2011,470553,71.282
Espanha,2012,453348,68.676
Espanha,2013,424440,64.297
Espanha,2014,426076,64.544
Espanha,2015,418432,63.386
Espanha,2016,408734,61.917
Espanha,2017,391265,59.271
Espanha,2018,370827,56.175
Espanha,2019,358747,54.345
Espanha,2020,340635,51.601
Espanha,2021,336823,51.024
Espanha,2022,328704,49.794
Espanha,2023,319830,48.45
Espanha,2024,318115,48.19
Portugal,1960,213895,100
Portugal,1961,217516,101.693
Portugal,1962,220200,102.948
Portugal,1963,212152,99.185
Portugal,1964,217136,101.515
Portugal,1965,210299,98.319
Portugal,1966,206940,96.748
Portugal,1967,202061,94.467
Portugal,1968,194962,91.148
Portugal,1969,189739,88.707
Portugal,1970,180690,84.476
Portugal,1971,181243,84.735
Portugal,1972,174685,81.669
Portugal,1973,172324,80.565
Portugal,1974,171979,80.403
Portugal,1975,179648,83.989
Portugal,1976,186712,87.291
Portugal,1977,181064,84.651
Portugal,1978,167467,78.294
Portugal,1979,160311,74.948
Portugal,1980,158309,74.012
Portugal,1981,152071,71.096
Portugal,1982,151002,70.596
Portugal,1983,144296,67.461
Portugal,1984,142783,66.754
Portugal,1985,130450,60.988
Portugal,1986,126715,59.242
Portugal,1987,123179,57.589
Portugal,1988,122093,57.081
Portugal,1989,118483,55.393
Portugal,1990,116321,54.382
Portugal,1991,116299,54.372
Portugal,1992,114924,53.729
Portugal,1993,113960,53.278
Portugal,1994,109227,51.066
Portugal,1995,107097,50.07
Portugal,1996,110261,51.549
Portugal,1997,112933,52.798
Portugal,1998,113384,53.009
Portugal,1999,116002,54.233
Portugal,2000,120008,56.106
Portugal,2001,112774,52.724
Portugal,2002,114383,53.476
Portugal,2003,112515,52.603
Portugal,2004,109298,51.099
Portugal,2005,109399,51.146
Portugal,2006,105449,49.299
Portugal,2007,102492,47.917
Portugal,2008,104594,48.9
Portugal,2009,99491,46.514
Portugal,2010,101381,47.398
Portugal,2011,96855,45.282
Portugal,2012,89841,42.002
Portugal,2013,82787,38.705
Portugal,2014,82367,38.508
Portugal,2015,85500,39.973
Portugal,2016,87126,40.733
Portugal,2017,86154,40.279
Portugal,2018,87020,40.684
Portugal,2019,86579,40.477
Portugal,2020,84530,39.519
Portugal,2021,79582,37.206
Portugal,2022,83671,39.118
Portugal,2023,85699,40.066
Portugal,2024,84642,39.572
