LocID,Pais,Ano,Idade,Sexo,Populacao,IdadeCiclo,Idade5Anos
620,Portugal,1950,0,Homens,99577,Jovens,0
620,Portugal,1950,0,Mulheres,93035,Jovens,0
620,Portugal,1950,1,Homens,96148,Jovens,0
620,Portugal,1950,1,Mulheres,91627,Jovens,0
620,Portugal,1950,2,Homens,89627,Jovens,0
620,Portugal,1950,2,Mulheres,85899,Jovens,0
620,Portugal,1950,3,Homens,91402,Jovens,0
620,Portugal,1950,3,Mulheres,87692,Jovens,0
620,Portugal,1950,4,Homens,87462,Jovens,0
620,Portugal,1950,4,Mulheres,83775,Jovens,0
620,Portugal,1950,5,Homens,85505,Jovens,5
620,Portugal,1950,5,Mulheres,82596,Jovens,5
620,Portugal,1950,6,Homens,84283,Jovens,5
620,Portugal,1950,6,Mulheres,81761,Jovens,5
620,Portugal,1950,7,Homens,77068,Jovens,5
620,Portugal,1950,7,Mulheres,73720,Jovens,5
620,Portugal,1950,8,Homens,73408,Jovens,5
620,Portugal,1950,8,Mulheres,70898,Jovens,5
620,Portugal,1950,9,Homens,76866,Jovens,5
620,Portugal,1950,9,Mulheres,74267,Jovens,5
620,Portugal,1950,10,Homens,77990,Jovens,10
620,Portugal,1950,10,Mulheres,75112,Jovens,10
620,Portugal,1950,11,Homens,84678,Jovens,10
620,Portugal,1950,11,Mulheres,81831,Jovens,10
620,Portugal,1950,12,Homens,80613,Jovens,10
620,Portugal,1950,12,Mulheres,79213,Jovens,10
620,Portugal,1950,13,Homens,84793,Jovens,10
620,Portugal,1950,13,Mulheres,81559,Jovens,10
620,Portugal,1950,14,Homens,81424,Jovens,10
620,Portugal,1950,14,Mulheres,80431,Jovens,10
620,Portugal,1950,15,Homens,81265,Adultos,15
620,Portugal,1950,15,Mulheres,81233,Adultos,15
620,Portugal,1950,16,Homens,82519,Adultos,15
620,Portugal,1950,16,Mulheres,82005,Adultos,15
620,Portugal,1950,17,Homens,85558,Adultos,15
620,Portugal,1950,17,Mulheres,86138,Adultos,15
620,Portugal,1950,18,Homens,76204,Adultos,15
620,Portugal,1950,18,Mulheres,77244,Adultos,15
620,Portugal,1950,19,Homens,75290,Adultos,15
620,Portugal,1950,19,Mulheres,79903,Adultos,15
620,Portugal,1950,20,Homens,78527,Adultos,20
620,Portugal,1950,20,Mulheres,72354,Adultos,20
620,Portugal,1950,21,Homens,78982,Adultos,20
620,Portugal,1950,21,Mulheres,79109,Adultos,20
620,Portugal,1950,22,Homens,74881,Adultos,20
620,Portugal,1950,22,Mulheres,75384,Adultos,20
620,Portugal,1950,23,Homens,75470,Adultos,20
620,Portugal,1950,23,Mulheres,76202,Adultos,20
620,Portugal,1950,24,Homens,72664,Adultos,20
620,Portugal,1950,24,Mulheres,75257,Adultos,20
620,Portugal,1950,25,Homens,70550,Adultos,25
620,Portugal,1950,25,Mulheres,73558,Adultos,25
620,Portugal,1950,26,Homens,68197,Adultos,25
620,Portugal,1950,26,Mulheres,70741,Adultos,25
620,Portugal,1950,27,Homens,67881,Adultos,25
620,Portugal,1950,27,Mulheres,69939,Adultos,25
620,Portugal,1950,28,Homens,59634,Adultos,25
620,Portugal,1950,28,Mulheres,60439,Adultos,25
620,Portugal,1950,29,Homens,66159,Adultos,25
620,Portugal,1950,29,Mulheres,69808,Adultos,25
620,Portugal,1950,30,Homens,46875,Adultos,30
620,Portugal,1950,30,Mulheres,47005,Adultos,30
620,Portugal,1950,31,Homens,50774,Adultos,30
620,Portugal,1950,31,Mulheres,53796,Adultos,30
620,Portugal,1950,32,Homens,52665,Adultos,30
620,Portugal,1950,32,Mulheres,55508,Adultos,30
620,Portugal,1950,33,Homens,51753,Adultos,30
620,Portugal,1950,33,Mulheres,55459,Adultos,30
620,Portugal,1950,34,Homens,54923,Adultos,30
620,Portugal,1950,34,Mulheres,58359,Adultos,30
620,Portugal,1950,35,Homens,55292,Adultos,35
620,Portugal,1950,35,Mulheres,59603,Adultos,35
620,Portugal,1950,36,Homens,54399,Adultos,35
620,Portugal,1950,36,Mulheres,58382,Adultos,35
620,Portugal,1950,37,Homens,58223,Adultos,35
620,Portugal,1950,37,Mulheres,63356,Adultos,35
620,Portugal,1950,38,Homens,52605,Adultos,35
620,Portugal,1950,38,Mulheres,55934,Adultos,35
620,Portugal,1950,39,Homens,60676,Adultos,35
