STRUCTURE_NAME,indic_de,Demographic indicator,Geo_Cod,Geo_Desc,Ano,OBS_VALUE,Rank
Infant mortality rates,ENEOMORRT,Early neonatal mortality rate,AT,Austria,1960,20.2,3
Infant mortality rates,ENEOMORRT,Early neonatal mortality rate,AT,Austria,1961,18.9,4
Infant mortality rates,ENEOMORRT,Early neonatal mortality rate,AT,Austria,1962,18.5,3
Infant mortality rates,ENEOMORRT,Early neonatal mortality rate,AT,Austria,1963,18.9,3
Infant mortality rates,ENEOMORRT,Early neonatal mortality rate,AT,Austria,1964,17.9,3
Infant mortality rates,ENEOMORRT,Early neonatal mortality rate,AT,Austria,1965,17.8,3
Infant mortality rates,ENEOMORRT,Early neonatal mortality rate,AT,Austria,1966,18.4,2
Infant mortality rates,ENEOMORRT,Early neonatal mortality rate,AT,Austria,1967,16.7,3
Infant mortality rates,ENEOMORRT,Early neonatal mortality rate,AT,Austria,1968,16.4,4
Infant mortality rates,ENEOMORRT,Early neonatal mortality rate,AT,Austria,1969,16.8,3
Infant mortality rates,ENEOMORRT,Early neonatal mortality rate,AT,Austria,1970,16.8,2
Infant mortality rates,ENEOMORRT,Early neonatal mortality rate,AT,Austria,1971,16.4,3
Infant mortality rates,ENEOMORRT,Early neonatal mortality rate,AT,Austria,1972,16.5,2
Infant mortality rates,ENEOMORRT,Early neonatal mortality rate,AT,Austria,1973,15.9,2
Infant mortality rates,ENEOMORRT,Early neonatal mortality rate,AT,Austria,1974,14.7,3
Infant mortality rates,ENEOMORRT,Early neonatal mortality rate,AT,Austria,1975,12.9,8
Infant mortality rates,ENEOMORRT,Early neonatal mortality rate,AT,Austria,1976,10.6,9
Infant mortality rates,ENEOMORRT,Early neonatal mortality rate,AT,Austria,1977,9.6,9
Infant mortality rates,ENEOMORRT,Early neonatal mortality rate,AT,Austria,1978,8.5,9
Infant mortality rates,ENEOMORRT,Early neonatal mortality rate,AT,Austria,1979,7.7,12
