Unit of measure,Ano,Valor,Pais,EU,Desvio,Caso,Ordem
Per million inhabitants,2023,81,Roménia,Sim,35,1,1
Per million inhabitants,2023,81,Bulgária,Sim,35,1,2
Per million inhabitants,2023,76,Sérvia,Não,30,2,3
Per million inhabitants,2023,75,Letónia,Sim,29,1,4
Per million inhabitants,2023,71,Croácia,Sim,25,1,5
Per million inhabitants,2023,61,Grécia,Sim,15,1,6
Per million inhabitants,2023,61,Portugal,Sim,15,1,7
Per million inhabitants,2023,56,Lituânia,Sim,10,1,8
Per million inhabitants,2023,52,Polónia,Sim,6,1,9
Per million inhabitants,2023,52,Itália,Sim,6,1,10
Per million inhabitants,2023,49,Eslováquia,Sim,3,1,11
Per million inhabitants,2023,49,Hungria,Sim,3,1,12
Per million inhabitants,2023,46,França,Sim,0,1,14
Per million inhabitants,2023,46,Chequia,Sim,0,1,13
Per million inhabitants,2023,44,Austria,Sim,-2,3,15
Per million inhabitants,2023,43,Estónia,Sim,-3,3,16
Per million inhabitants,2023,43,Bélgica,Sim,-3,3,17
Per million inhabitants,2023,39,Eslovénia,Sim,-7,3,19
Per million inhabitants,2023,39,Luxemburgo,Sim,-7,3,18
Per million inhabitants,2023,38,Espanha,Sim,-8,3,20
Per million inhabitants,2023,36,Chipre,Sim,-10,3,21
Per million inhabitants,2023,34,Irlanda,Sim,-12,3,22
Per million inhabitants,2023,34,Alemanha,Sim,-12,3,24
Per million inhabitants,2023,34,Países Baixos,Sim,-12,3,23
Per million inhabitants,2023,33,Finlândia,Sim,-13,3,25
Per million inhabitants,2023,30,Malta,Sim,-16,3,26
Per million inhabitants,2023,27,Suíça,Não,-19,4,27
Per million inhabitants,2023,27,Dinamarca,Sim,-19,3,28
Per million inhabitants,2023,22,Suécia,Sim,-24,3,29
Per million inhabitants,2023,21,Islândia,Não,-25,4,30
Per million inhabitants,2023,20,Noruega,Não,-26,4,31
