Geo,Mês,Taxa
Belgium,1986-04-15,10.1
Belgium,1986-05-15,10.1
Belgium,1986-06-15,10.1
Belgium,1986-07-15,10
Belgium,1986-08-15,9.9
Belgium,1986-09-15,9.9
Belgium,1986-10-15,10
Belgium,1986-11-15,10.1
Belgium,1986-12-15,10.1
Belgium,1987-01-15,10.1
Belgium,1987-02-15,10
Belgium,1987-03-15,10
Belgium,1987-04-15,10
Belgium,1987-05-15,9.9
Belgium,1987-06-15,9.9
Belgium,1987-07-15,9.8
Belgium,1987-08-15,9.7
Belgium,1987-09-15,9.6
Belgium,1987-10-15,9.6
Belgium,1987-11-15,9.6
Belgium,1987-12-15,9.5
Belgium,1988-01-15,9.5
Belgium,1988-02-15,9.4
Belgium,1988-03-15,9.3
Belgium,1988-04-15,9.2
Belgium,1988-05-15,9.1
Belgium,1988-06-15,8.9
Belgium,1988-07-15,8.8
Belgium,1988-08-15,8.7
Belgium,1988-09-15,8.5
Belgium,1988-10-15,8.3
Belgium,1988-11-15,8.2
Belgium,1988-12-15,8.1
Belgium,1989-01-15,7.9
Belgium,1989-02-15,7.8
Belgium,1989-03-15,7.7
Belgium,1989-04-15,7.6
Belgium,1989-05-15,7.5
Belgium,1989-06-15,7.4
Belgium,1989-07-15,7.3
Belgium,1989-08-15,7.2
Belgium,1989-09-15,7.1
Belgium,1989-10-15,7
Belgium,1989-11-15,7
Belgium,1989-12-15,6.9
Belgium,1990-01-15,6.8
Belgium,1990-02-15,6.7
Belgium,1990-03-15,6.7
Belgium,1990-04-15,6.6
Belgium,1990-05-15,6.6
Belgium,1990-06-15,6.6
Belgium,1990-07-15,6.6
Belgium,1990-08-15,6.5
Belgium,1990-09-15,6.4
Belgium,1990-10-15,6.4
Belgium,1990-11-15,6.4
Belgium,1990-12-15,6.4
Belgium,1991-01-15,6.4
Belgium,1991-02-15,6.4
Belgium,1991-03-15,6.4
Belgium,1991-04-15,6.4
Belgium,1991-05-15,6.4
Belgium,1991-06-15,6.4
Belgium,1991-07-15,6.4
Belgium,1991-08-15,6.4
Belgium,1991-09-15,6.4
Belgium,1991-10-15,6.5
Belgium,1991-11-15,6.6
Belgium,1991-12-15,6.7
Belgium,1992-01-15,6.7
Belgium,1992-02-15,6.7
Belgium,1992-03-15,6.8
Belgium,1992-04-15,6.9
Belgium,1992-05-15,7
Belgium,1992-06-15,7.1
Belgium,1992-07-15,7.1
Belgium,1992-08-15,7.1
Belgium,1992-09-15,7.2
Belgium,1992-10-15,7.3
Belgium,1992-11-15,7.5
Belgium,1992-12-15,7.7
Belgium,1993-01-15,7.8
Belgium,1993-02-15,7.9
Belgium,1993-03-15,8.1
Belgium,1993-04-15,8.2
Belgium,1993-05-15,8.4
Belgium,1993-06-15,8.5
Belgium,1993-07-15,8.7
Belgium,1993-08-15,8.9
Belgium,1993-09-15,9
Belgium,1993-10-15,9.2
Belgium,1993-11-15,9.3
Belgium,1993-12-15,9.5
Belgium,1994-01-15,9.6
Belgium,1994-02-15,9.7
Belgium,1994-03-15,9.7
Belgium,1994-04-15,9.8
Belgium,1994-05-15,9.8
Belgium,1994-06-15,9.8
Belgium,1994-07-15,9.8
Belgium,1994-08-15,9.8
Belgium,1994-09-15,9.8
Belgium,1994-10-15,9.8
Belgium,1994-11-15,9.7
Belgium,1994-12-15,9.7
Belgium,1995-01-15,9.7
Belgium,1995-02-15,9.7
Belgium,1995-03-15,9.6
Belgium,1995-04-15,9.6
Belgium,1995-05-15,9.6
Belgium,1995-06-15,9.6
Belgium,1995-07-15,9.6
Belgium,1995-08-15,9.7
Belgium,1995-09-15,9.7
Belgium,1995-10-15,9.8
Belgium,1995-11-15,9.8
Belgium,1995-12-15,9.8
Belgium,1996-01-15,9.9
Belgium,1996-02-15,9.9
Belgium,1996-03-15,9.8
Belgium,1996-04-15,9.8
Belgium,1996-05-15,9.7
Belgium,1996-06-15,9.5
Belgium,1996-07-15,9.5
Belgium,1996-08-15,9.4
Belgium,1996-09-15,9.4
Belgium,1996-10-15,9.3
Belgium,1996-11-15,9.2
Belgium,1996-12-15,9.2
Belgium,1997-01-15,9.1
Belgium,1997-02-15,9.1
Belgium,1997-03-15,9.1
Belgium,1997-04-15,9.1
Belgium,1997-05-15,9.1
Belgium,1997-06-15,9.2
Belgium,1997-07-15,9.3
Belgium,1997-08-15,9.3
Belgium,1997-09-15,9.3
