Ano,Tropas,Orçamento,OrcamentoMedio,T80,B80,T90,B90,T00,B00,T10,B10,Rotulos,LabelX,LabelY,Arrow1X,Arrow1Y,Arrow2X,Arrow2Y
1980,783700,20,25.51996938,783700,20,,,,,,,Jimmy Carter,783700,15,,,,
1981,785000,44.4,56.56050955,785000,44.4,,,,,,,Ronald Reagan,815000,55,,,,
1982,783700,53.5,68.26591808,783700,53.5,,,,,,,,,,,,,
1983,781000,58.4,74.7759283,781000,58.4,,,,,,,,,,,,,
1984,785000,60.5,77.07006369,785000,60.5,,,,,,,,,,,,,
1985,783000,74.9,95.65772669,783000,74.9,,,,,,,,,,,,,
1986,781000,72.8,93.21382843,781000,72.8,,,,,,,,,,,,,
1987,781000,73.9,94.62227913,781000,73.9,,,,,,,,,,,,,
1988,773400,75.5,97.62089475,773400,75.5,,,,,,,,,,,,,
1989,770000,76,98.7012987,770000,76,,,,,,,1989: End of Cold War,800000,100,800000,100,770000,76
1990,733200,77.6,105.837425,733200,77.6,733200,77.6,,,,,George Bush,733200,70,,,,
1991,710900,90.5,127.3034182,,,710900,90.5,,,,,1991: Golf War,725000,110,725000,110,710900,90.5
1992,607300,73.9,121.6861518,,,607300,73.9,,,,,,,,,,,
1993,575600,64.8,112.5781793,,,575600,64.8,,,,,Bill Clinton,575600,55,,,,
1994,540500,62.6,115.8186864,,,540500,62.6,,,,,,,,,,,
1995,505000,64.2,127.1287129,,,505000,64.2,,,,,,,,,,,
1996,492500,64.8,131.5736041,,,492500,64.8,,,,,,,,,,,
1997,491600,64.8,131.8144833,,,491600,64.8,,,,,,,,,,,
1998,483100,64.2,132.8917408,,,483100,64.2,,,,,,,,,,,
1999,477000,65.8,137.9454927,,,477000,65.8,,,,,,,,,,,
2000,479000,71.7,149.6868476,,,479000,71.7,479000,71.7,,,,,,,,,
2001,477000,76,159.3291405,,,,,477000,76,,,,,,,,,
2002,486000,85.1,175.1028807,,,,,486000,85.1,,,"September 11, Afeganistan War",550000,90,550000,90,486000,85.1
2003,494000,116.7,236.2348178,,,,,494000,116.7,,,2003: Iraq War,525000,125,525000,125,494000,116.7
2004,494000,147.8,299.1902834,,,,,494000,147.8,,,Geoge W. Bush,475000,175,,,,
2005,488000,147.2,301.6393443,,,,,488000,147.2,,,,,,,,,
2006,502800,167.6,333.3333333,,,,,502800,167.6,,,,,,,,,
2007,520000,207.7,399.4230769,,,,,520000,207.7,,,,,,,,,
2008,536000,242,451.4925373,,,,,536000,242,,,2008: Financial Crisis,500000,235,500000,235,536000,235
2009,550000,226,410.9090909,,,,,550000,226,,,,,,,,,
2010,559300,235,420.1680672,,,,,559300,235,559300,235,,,,,,,
2011,561000,225.9,402.6737968,,,,,,,561000,225.9,Barak Obama,575000,200,,,,
2012,546500,196,358.6459286,,,,,,,546500,196,,,,,,,
