Pais_Desc,Pais_Cod,Mes,Taxa,TaxaEA,Diferenca,N4,N3,N2,N1,P1,P2,P3,P4,Sinal,,,,,,5
Austria,AT,2000/01/15,4.3,9.4,-5.1,0,0,0.1,5,0,0,0,0,N,,,,,,
Austria,AT,2000/02/15,4.3,9.4,-5.1,0,0,0.1,5,0,0,0,0,N,,,,,,
Austria,AT,2000/03/15,4.1,9.3,-5.2,0,0,0.2,5,0,0,0,0,N,,,,,,
Austria,AT,2000/04/15,3.8,9.2,-5.4,0,0,0.4,5,0,0,0,0,N,,,,,,
Austria,AT,2000/05/15,3.7,9.1,-5.4,0,0,0.4,5,0,0,0,0,N,,,,,,
Austria,AT,2000/06/15,3.6,9.1,-5.5,0,0,0.5,5,0,0,0,0,N,,,,,,
Austria,AT,2000/07/15,3.8,9,-5.2,0,0,0.2,5,0,0,0,0,N,,,,,,
Austria,AT,2000/08/15,3.8,9,-5.2,0,0,0.2,5,0,0,0,0,N,,,,,,
Austria,AT,2000/09/15,3.9,8.9,-5,0,0,0,5,0,0,0,0,N,,,,,,
Austria,AT,2000/10/15,3.8,8.8,-5,0,0,0,5,0,0,0,0,N,,,,,,
Austria,AT,2000/11/15,3.8,8.8,-5,0,0,0,5,0,0,0,0,N,,,,,,
Austria,AT,2000/12/15,3.7,8.7,-5,0,0,0,5,0,0,0,0,N,,,,,,
Austria,AT,2001/01/15,3.6,8.6,-5,0,0,0,5,0,0,0,0,N,,,,,,
Austria,AT,2001/02/15,3.6,8.5,-4.9,0,0,0,4.9,0,0,0,0,N,,,,,,
Austria,AT,2001/03/15,3.7,8.5,-4.8,0,0,0,4.8,0,0,0,0,N,,,,,,
Austria,AT,2001/04/15,3.9,8.5,-4.6,0,0,0,4.6,0,0,0,0,N,,,,,,
Austria,AT,2001/05/15,4,8.5,-4.5,0,0,0,4.5,0,0,0,0,N,,,,,,
Austria,AT,2001/06/15,4.1,8.5,-4.4,0,0,0,4.4,0,0,0,0,N,,,,,,
Austria,AT,2001/07/15,4.1,8.5,-4.4,0,0,0,4.4,0,0,0,0,N,,,,,,
Austria,AT,2001/08/15,4.1,8.5,-4.4,0,0,0,4.4,0,0,0,0,N,,,,,,
Austria,AT,2001/09/15,4.1,8.5,-4.4,0,0,0,4.4,0,0,0,0,N,,,,,,
Austria,AT,2001/10/15,4.2,8.5,-4.3,0,0,0,4.3,0,0,0,0,N,,,,,,
Austria,AT,2001/11/15,4.3,8.6,-4.3,0,0,0,4.3,0,0,0,0,N,,,,,,
Austria,AT,2001/12/15,4.4,8.6,-4.2,0,0,0,4.2,0,0,0,0,N,,,,,,
Austria,AT,2002/01/15,4.5,8.6,-4.1,0,0,0,4.1,0,0,0,0,N,,,,,,
Austria,AT,2002/02/15,4.5,8.6,-4.1,0,0,0,4.1,0,0,0,0,N,,,,,,
Austria,AT,2002/03/15,4.5,8.6,-4.1,0,0,0,4.1,0,0,0,0,N,,,,,,
Austria,AT,2002/04/15,4.3,8.6,-4.3,0,0,0,4.3,0,0,0,0,N,,,,,,
Austria,AT,2002/05/15,4.2,8.7,-4.5,0,0,0,4.5,0,0,0,0,N,,,,,,
Austria,AT,2002/06/15,4.2,8.7,-4.5,0,0,0,4.5,0,0,0,0,N,,,,,,
Austria,AT,2002/07/15,4.3,8.8,-4.5,0,0,0,4.5,0,0,0,0,N,,,,,,
Austria,AT,2002/08/15,4.4,8.8,-4.4,0,0,0,4.4,0,0,0,0,N,,,,,,
Austria,AT,2002/09/15,4.5,8.9,-4.4,0,0,0,4.4,0,0,0,0,N,,,,,,
Austria,AT,2002/10/15,4.4,8.9,-4.5,0,0,0,4.5,0,0,0,0,N,,,,,,
Austria,AT,2002/11/15,4.4,8.9,-4.5,0,0,0,4.5,0,0,0,0,N,,,,,,
Austria,AT,2002/12/15,4.5,9,-4.5,0,0,0,4.5,0,0,0,0,N,,,,,,
Austria,AT,2003/01/15,4.5,9.1,-4.6,0,0,0,4.6,0,0,0,0,N,,,,,,
Austria,AT,2003/02/15,4.5,9.1,-4.6,0,0,0,4.6,0,0,0,0,N,,,,,,
Austria,AT,2003/03/15,4.6,9.2,-4.6,0,0,0,4.6,0,0,0,0,N,,,,,,
Austria,AT,2003/04/15,4.7,9.2,-4.5,0,0,0,4.5,0,0,0,0,N,,,,,,
Austria,AT,2003/05/15,4.8,9.2,-4.4,0,0,0,4.4,0,0,0,0,N,,,,,,
Austria,AT,2003/06/15,4.9,9.2,-4.3,0,0,0,4.3,0,0,0,0,N,,,,,,
Austria,AT,2003/07/15,4.8,9.2,-4.4,0,0,0,4.4,0,0,0,0,N,,,,,,
Austria,AT,2003/08/15,4.8,9.2,-4.4,0,0,0,4.4,0,0,0,0,N,,,,,,
Austria,AT,2003/09/15,4.8,9.2,-4.4,0,0,0,4.4,0,0,0,0,N,,,,,,
Austria,AT,2003/10/15,4.9,9.2,-4.3,0,0,0,4.3,0,0,0,0,N,,,,,,
Austria,AT,2003/11/15,5,9.2,-4.2,0,0,0,4.2,0,0,0,0,N,,,,,,
Austria,AT,2003/12/15,5.2,9.3,-4.1,0,0,0,4.1,0,0,0,0,N,,,,,,
Austria,AT,2004/01/15,6.1,9.4,-3.3,0,0,0,3.3,0,0,0,0,N,,,,,,
Austria,AT,2004/02/15,6,9.4,-3.4,0,0,0,3.4,0,0,0,0,N,,,,,,
Austria,AT,2004/03/15,5.9,9.4,-3.5,0,0,0,3.5,0,0,0,0,N,,,,,,
Austria,AT,2004/04/15,6.1,9.4,-3.3,0,0,0,3.3,0,0,0,0,N,,,,,,
Austria,AT,2004/05/15,5.7,9.4,-3.7,0,0,0,3.7,0,0,0,0,N,,,,,,
Austria,AT,2004/06/15,5.6,9.3,-3.7,0,0,0,3.7,0,0,0,0,N,,,,,,
Austria,AT,2004/07/15,5.5,9.4,-3.9,0,0,0,3.9,0,0,0,0,N,,,,,,
Austria,AT,2004/08/15,5.7,9.4,-3.7,0,0,0,3.7,0,0,0,0,N,,,,,,
Austria,AT,2004/09/15,6.1,9.4,-3.3,0,0,0,3.3,0,0,0,0,N,,,,,,
Austria,AT,2004/10/15,6.2,9.4,-3.2,0,0,0,3.2,0,0,0,0,N,,,,,,
Austria,AT,2004/11/15,5.7,9.4,-3.7,0,0,0,3.7,0,0,0,0,N,,,,,,
Austria,AT,2004/12/15,5.9,9.4,-3.5,0,0,0,3.5,0,0,0,0,N,,,,,,
Austria,AT,2005/01/15,5.7,9.3,-3.6,0,0,0,3.6,0,0,0,0,N,,,,,,
Austria,AT,2005/02/15,5.8,9.3,-3.5,0,0,0,3.5,0,0,0,0,N,,,,,,
Austria,AT,2005/03/15,5.9,9.3,-3.4,0,0,0,3.4,0,0,0,0,N,,,,,,
Austria,AT,2005/04/15,5.9,9.4,-3.5,0,0,0,3.5,0,0,0,0,N,,,,,,
Austria,AT,2005/05/15,6.3,9.3,-3,0,0,0,3,0,0,0,0,N,,,,,,
Austria,AT,2005/06/15,6.2,9.3,-3.1,0,0,0,3.1,0,0,0,0,N,,,,,,
Austria,AT,2005/07/15,6.1,9.2,-3.1,0,0,0,3.1,0,0,0,0,N,,,,,,
Austria,AT,2005/08/15,5.8,9.2,-3.4,0,0,0,3.4,0,0,0,0,N,,,,,,
Austria,AT,2005/09/15,6.2,9.2,-3,0,0,0,3,0,0,0,0,N,,,,,,
Austria,AT,2005/10/15,6.1,9.2,-3.1,0,0,0,3.1,0,0,0,0,N,,,,,,
Austria,AT,2005/11/15,6.2,9.1,-2.9,0,0,0,2.9,0,0,0,0,N,,,,,,
Austria,AT,2005/12/15,6.1,9.1,-3,0,0,0,3,0,0,0,0,N,,,,,,
Austria,AT,2006/01/15,6,9,-3,0,0,0,3,0,0,0,0,N,,,,,,
Austria,AT,2006/02/15,6,8.9,-2.9,0,0,0,2.9,0,0,0,0,N,,,,,,
Austria,AT,2006/03/15,6.2,8.8,-2.6,0,0,0,2.6,0,0,0,0,N,,,,,,
Austria,AT,2006/04/15,5.7,8.7,-3,0,0,0,3,0,0,0,0,N,,,,,,
Austria,AT,2006/05/15,5.4,8.6,-3.2,0,0,0,3.2,0,0,0,0,N,,,,,,
Austria,AT,2006/06/15,6,8.5,-2.5,0,0,0,2.5,0,0,0,0,N,,,,,,
Austria,AT,2006/07/15,5.5,8.4,-2.9,0,0,0,2.9,0,0,0,0,N,,,,,,
Austria,AT,2006/08/15,5.2,8.4,-3.2,0,0,0,3.2,0,0,0,0,N,,,,,,
Austria,AT,2006/09/15,5.2,8.3,-3.1,0,0,0,3.1,0,0,0,0,N,,,,,,
Austria,AT,2006/10/15,5.2,8.2,-3,0,0,0,3,0,0,0,0,N,,,,,,
Austria,AT,2006/11/15,5.3,8.2,-2.9,0,0,0,2.9,0,0,0,0,N,,,,,,
Austria,AT,2006/12/15,5.5,8.1,-2.6,0,0,0,2.6,0,0,0,0,N,,,,,,
Austria,AT,2007/01/15,5.1,8,-2.9,0,0,0,2.9,0,0,0,0,N,,,,,,
Austria,AT,2007/02/15,5.5,7.9,-2.4,0,0,0,2.4,0,0,0,0,N,,,,,,
Austria,AT,2007/03/15,5.1,7.8,-2.7,0,0,0,2.7,0,0,0,0,N,,,,,,
Austria,AT,2007/04/15,5.6,7.7,-2.1,0,0,0,2.1,0,0,0,0,N,,,,,,
Austria,AT,2007/05/15,5.7,7.7,-2,0,0,0,2,0,0,0,0,N,,,,,,
Austria,AT,2007/06/15,5,7.6,-2.6,0,0,0,2.6,0,0,0,0,N,,,,,,
Austria,AT,2007/07/15,5.6,7.6,-2,0,0,0,2,0,0,0,0,N,,,,,,
Austria,AT,2007/08/15,5.4,7.6,-2.2,0,0,0,2.2,0,0,0,0,N,,,,,,
Austria,AT,2007/09/15,4.8,7.5,-2.7,0,0,0,2.7,0,0,0,0,N,,,,,,
Austria,AT,2007/10/15,5.1,7.5,-2.4,0,0,0,2.4,0,0,0,0,N,,,,,,
Austria,AT,2007/11/15,4.9,7.4,-2.5,0,0,0,2.5,0,0,0,0,N,,,,,,
Austria,AT,2007/12/15,4.5,7.5,-3,0,0,0,3,0,0,0,0,N,,,,,,
Austria,AT,2008/01/15,4.7,7.4,-2.7,0,0,0,2.7,0,0,0,0,N,,,,,,
Austria,AT,2008/02/15,4.6,7.4,-2.8,0,0,0,2.8,0,0,0,0,N,,,,,,
Austria,AT,2008/03/15,4.4,7.4,-3,0,0,0,3,0,0,0,0,N,,,,,,
Austria,AT,2008/04/15,4.2,7.5,-3.3,0,0,0,3.3,0,0,0,0,N,,,,,,
Austria,AT,2008/05/15,4.1,7.5,-3.4,0,0,0,3.4,0,0,0,0,N,,,,,,
Austria,AT,2008/06/15,4,7.6,-3.6,0,0,0,3.6,0,0,0,0,N,,,,,,
Austria,AT,2008/07/15,4.3,7.6,-3.3,0,0,0,3.3,0,0,0,0,N,,,,,,
Austria,AT,2008/08/15,4.5,7.7,-3.2,0,0,0,3.2,0,0,0,0,N,,,,,,
Austria,AT,2008/09/15,4.2,7.8,-3.6,0,0,0,3.6,0,0,0,0,N,,,,,,
Austria,AT,2008/10/15,4.3,7.9,-3.6,0,0,0,3.6,0,0,0,0,N,,,,,,
Austria,AT,2008/11/15,4.8,8.1,-3.3,0,0,0,3.3,0,0,0,0,N,,,,,,
Austria,AT,2008/12/15,5,8.4,-3.4,0,0,0,3.4,0,0,0,0,N,,,,,,
Austria,AT,2009/01/15,5.1,8.8,-3.7,0,0,0,3.7,0,0,0,0,N,,,,,,
Austria,AT,2009/02/15,4.9,9.1,-4.2,0,0,0,4.2,0,0,0,0,N,,,,,,
Austria,AT,2009/03/15,5.4,9.4,-4,0,0,0,4,0,0,0,0,N,,,,,,
Austria,AT,2009/04/15,5.7,9.5,-3.8,0,0,0,3.8,0,0,0,0,N,,,,,,
Austria,AT,2009/05/15,5.6,9.6,-4,0,0,0,4,0,0,0,0,N,,,,,,
Austria,AT,2009/06/15,5.9,9.7,-3.8,0,0,0,3.8,0,0,0,0,N,,,,,,
Austria,AT,2009/07/15,6.2,9.8,-3.6,0,0,0,3.6,0,0,0,0,N,,,,,,
Austria,AT,2009/08/15,5.7,9.9,-4.2,0,0,0,4.2,0,0,0,0,N,,,,,,
Austria,AT,2009/09/15,6.5,10,-3.5,0,0,0,3.5,0,0,0,0,N,,,,,,
Austria,AT,2009/10/15,5.8,10.1,-4.3,0,0,0,4.3,0,0,0,0,N,,,,,,
Austria,AT,2009/11/15,6.1,10.2,-4.1,0,0,0,4.1,0,0,0,0,N,,,,,,
Austria,AT,2009/12/15,5.4,10.2,-4.8,0,0,0,4.8,0,0,0,0,N,,,,,,
Austria,AT,2010/01/15,5.2,10.3,-5.1,0,0,0.1,5,0,0,0,0,N,,,,,,
Austria,AT,2010/02/15,5.4,10.3,-4.9,0,0,0,4.9,0,0,0,0,N,,,,,,
Austria,AT,2010/03/15,5.6,10.3,-4.7,0,0,0,4.7,0,0,0,0,N,,,,,,
Austria,AT,2010/04/15,5.4,10.4,-5,0,0,0,5,0,0,0,0,N,,,,,,
Austria,AT,2010/05/15,5.3,10.4,-5.1,0,0,0.1,5,0,0,0,0,N,,,,,,
Austria,AT,2010/06/15,5.4,10.3,-4.9,0,0,0,4.9,0,0,0,0,N,,,,,,
Austria,AT,2010/07/15,5.1,10.3,-5.2,0,0,0.2,5,0,0,0,0,N,,,,,,
Austria,AT,2010/08/15,5.2,10.2,-5,0,0,0,5,0,0,0,0,N,,,,,,
Austria,AT,2010/09/15,5.2,10.2,-5,0,0,0,5,0,0,0,0,N,,,,,,
Austria,AT,2010/10/15,5,10.3,-5.3,0,0,0.3,5,0,0,0,0,N,,,,,,
Austria,AT,2010/11/15,4.8,10.2,-5.4,0,0,0.4,5,0,0,0,0,N,,,,,,
Austria,AT,2010/12/15,4.9,10.2,-5.3,0,0,0.3,5,0,0,0,0,N,,,,,,
Austria,AT,2011/01/15,4.8,10.1,-5.3,0,0,0.3,5,0,0,0,0,N,,,,,,
Austria,AT,2011/02/15,5.6,10.1,-4.5,0,0,0,4.5,0,0,0,0,N,,,,,,
Austria,AT,2011/03/15,5,10.1,-5.1,0,0,0.1,5,0,0,0,0,N,,,,,,
Austria,AT,2011/04/15,4.9,10,-5.1,0,0,0.1,5,0,0,0,0,N,,,,,,
Austria,AT,2011/05/15,4.9,10.1,-5.2,0,0,0.2,5,0,0,0,0,N,,,,,,
Austria,AT,2011/06/15,4.6,10.1,-5.5,0,0,0.5,5,0,0,0,0,N,,,,,,
Austria,AT,2011/07/15,4.4,10.2,-5.8,0,0,0.8,5,0,0,0,0,N,,,,,,
Austria,AT,2011/08/15,4.3,10.3,-6,0,0,1,5,0,0,0,0,N,,,,,,
Austria,AT,2011/09/15,4.3,10.5,-6.2,0,0,1.2,5,0,0,0,0,N,,,,,,
Austria,AT,2011/10/15,5.3,10.6,-5.3,0,0,0.3,5,0,0,0,0,N,,,,,,
Austria,AT,2011/11/15,5.3,10.7,-5.4,0,0,0.4,5,0,0,0,0,N,,,,,,
Austria,AT,2011/12/15,5.1,10.8,-5.7,0,0,0.7,5,0,0,0,0,N,,,,,,
Austria,AT,2012/01/15,4.6,10.9,-6.3,0,0,1.3,5,0,0,0,0,N,,,,,,
Austria,AT,2012/02/15,5.1,11,-5.9,0,0,0.9,5,0,0,0,0,N,,,,,,
Austria,AT,2012/03/15,4.9,11.2,-6.3,0,0,1.3,5,0,0,0,0,N,,,,,,
Austria,AT,2012/04/15,5,11.3,-6.3,0,0,1.3,5,0,0,0,0,N,,,,,,
Austria,AT,2012/05/15,5.1,11.4,-6.3,0,0,1.3,5,0,0,0,0,N,,,,,,
Austria,AT,2012/06/15,5.5,11.5,-6,0,0,1,5,0,0,0,0,N,,,,,,
Austria,AT,2012/07/15,5.4,11.6,-6.2,0,0,1.2,5,0,0,0,0,N,,,,,,
