GridNo,Lat,Long,Alt,NUTS3_ID,NUTS3_Desc,NUTS2_ID,NUTS2_Desc,NUTS1_ID,NUTS1_Desc,Country_ID,Country_Desc,RiverBank
41053,36.05157,-5.56551,51,ES612,Cádiz,ES61,Andalucía,ES6,Sur (ES),ES,Spain,South of Tagus
41054,36.06896,-5.44667,26,ES612,Cádiz,ES61,Andalucía,ES6,Sur (ES),ES,Spain,South of Tagus
42052,36.20539,-5.88516,30,ES612,Cádiz,ES61,Andalucía,ES6,Sur (ES),ES,Spain,South of Tagus
42053,36.20706,-5.63915,54,ES612,Cádiz,ES61,Andalucía,ES6,Sur (ES),ES,Spain,South of Tagus
42054,36.27215,-5.39316,26,ES612,Cádiz,ES61,Andalucía,ES6,Sur (ES),ES,Spain,South of Tagus
42055,36.37034,-5.23396,31,ES617,Málaga,ES61,Andalucía,ES6,Sur (ES),ES,Spain,South of Tagus
42063,36.72688,-2.83146,52,ES611,Almería,ES61,Andalucía,ES6,Sur (ES),ES,Spain,South of Tagus
42064,36.73249,-2.69925,29,ES611,Almería,ES61,Andalucía,ES6,Sur (ES),ES,Spain,South of Tagus
42065,36.80673,-2.25469,4,ES611,Almería,ES61,Andalucía,ES6,Sur (ES),ES,Spain,South of Tagus
42066,36.79754,-2.13789,21,ES611,Almería,ES61,Andalucía,ES6,Sur (ES),ES,Spain,South of Tagus
43051,36.38272,-6.14894,32,ES612,Cádiz,ES61,Andalucía,ES6,Sur (ES),ES,Spain,South of Tagus
43052,36.3826,-5.9611,62,ES612,Cádiz,ES61,Andalucía,ES6,Sur (ES),ES,Spain,South of Tagus
43053,36.42914,-5.68871,77,ES612,Cádiz,ES61,Andalucía,ES6,Sur (ES),ES,Spain,South of Tagus
43054,36.47489,-5.41602,134,ES612,Cádiz,ES61,Andalucía,ES6,Sur (ES),ES,Spain,South of Tagus
43055,36.52845,-5.15016,195,ES617,Málaga,ES61,Andalucía,ES6,Sur (ES),ES,Spain,South of Tagus
43056,36.58503,-4.86858,191,ES617,Málaga,ES61,Andalucía,ES6,Sur (ES),ES,Spain,South of Tagus
43057,36.63253,-4.61982,69,ES617,Málaga,ES61,Andalucía,ES6,Sur (ES),ES,Spain,South of Tagus
43058,36.73455,-4.33239,41,ES617,Málaga,ES61,Andalucía,ES6,Sur (ES),ES,Spain,South of Tagus
43059,36.76819,-4.05639,66,ES617,Málaga,ES61,Andalucía,ES6,Sur (ES),ES,Spain,South of Tagus
43060,36.7928,-3.7731,209,ES617,Málaga,ES61,Andalucía,ES6,Sur (ES),ES,Spain,South of Tagus
43061,36.79931,-3.49399,223,ES614,Granada,ES61,Andalucía,ES6,Sur (ES),ES,Spain,South of Tagus
43062,36.8356,-3.22469,541,ES614,Granada,ES61,Andalucía,ES6,Sur (ES),ES,Spain,South of Tagus
43063,36.85524,-2.94669,317,ES611,Almería,ES61,Andalucía,ES6,Sur (ES),ES,Spain,South of Tagus
43064,36.89087,-2.67681,340,ES611,Almería,ES61,Andalucía,ES6,Sur (ES),ES,Spain,South of Tagus
