GridNo,Lat,Long,Alt,NUTS3_ID,NUTS3_Desc,NUTS2_ID,NUTS2_Desc,NUTS1_ID,NUTS1_Desc,Country_ID,Country_Desc,RiverBank,Local
53047,38.34181,-7.88889,203,PT187,Alentejo Central,PT18,Alentejo,PT1,Continente,PT,Portugal,South of Tagus,Portugal - Alentejo - Alentejo Central - 53047
53048,38.39419,-7.60999,198,PT187,Alentejo Central,PT18,Alentejo,PT1,Continente,PT,Portugal,South of Tagus,Portugal - Alentejo - Alentejo Central - 53048
53049,38.44577,-7.33073,184,PT187,Alentejo Central,PT18,Alentejo,PT1,Continente,PT,Portugal,South of Tagus,Portugal - Alentejo - Alentejo Central - 53049
54046,38.50813,-8.22821,179,PT187,Alentejo Central,PT18,Alentejo,PT1,Continente,PT,Portugal,South of Tagus,Portugal - Alentejo - Alentejo Central - 54046
54047,38.56153,-7.94886,233,PT187,Alentejo Central,PT18,Alentejo,PT1,Continente,PT,Portugal,South of Tagus,Portugal - Alentejo - Alentejo Central - 54047
54048,38.61411,-7.66912,235,PT187,Alentejo Central,PT18,Alentejo,PT1,Continente,PT,Portugal,South of Tagus,Portugal - Alentejo - Alentejo Central - 54048
54049,38.66589,-7.38901,236,PT187,Alentejo Central,PT18,Alentejo,PT1,Continente,PT,Portugal,South of Tagus,Portugal - Alentejo - Alentejo Central - 54049
55045,38.67311,-8.56939,112,PT187,Alentejo Central,PT18,Alentejo,PT1,Continente,PT,Portugal,South of Tagus,Portugal - Alentejo - Alentejo Central - 55045
55046,38.72753,-8.28958,176,PT187,Alentejo Central,PT18,Alentejo,PT1,Continente,PT,Portugal,South of Tagus,Portugal - Alentejo - Alentejo Central - 55046
55047,38.78113,-8.00938,271,PT187,Alentejo Central,PT18,Alentejo,PT1,Continente,PT,Portugal,South of Tagus,Portugal - Alentejo - Alentejo Central - 55047
55048,38.83392,-7.72879,279,PT187,Alentejo Central,PT18,Alentejo,PT1,Continente,PT,Portugal,South of Tagus,Portugal - Alentejo - Alentejo Central - 55048
55049,38.88589,-7.44783,308,PT187,Alentejo Central,PT18,Alentejo,PT1,Continente,PT,Portugal,South of Tagus,Portugal - Alentejo - Alentejo Central - 55049
56047,39.00061,-8.07047,111,PT187,Alentejo Central,PT18,Alentejo,PT1,Continente,PT,Portugal,South of Tagus,Portugal - Alentejo - Alentejo Central - 56047
