ISCED11,Nivel,Sexo,Idade,Geo,Ano,Valor
TOTAL,5-Always,Total,Y16-00,AL,2022,14.2
TOTAL,4-Most Times,Total,Y16-00,AL,2022,41.7
TOTAL,1-Never,Total,Y16-00,AL,2022,3.8
TOTAL,2-Rarely,Total,Y16-00,AL,2022,11.1
TOTAL,3-Sometimes,Total,Y16-00,AL,2022,29.3
TOTAL,5-Always,Total,Y16-00,AT,2022,13
TOTAL,4-Most Times,Total,Y16-00,AT,2022,60.9
TOTAL,1-Never,Total,Y16-00,AT,2022,1
TOTAL,2-Rarely,Total,Y16-00,AT,2022,5.3
TOTAL,3-Sometimes,Total,Y16-00,AT,2022,19.8
TOTAL,5-Always,Total,Y16-00,BE,2022,16.1
TOTAL,4-Most Times,Total,Y16-00,BE,2022,62.3
TOTAL,1-Never,Total,Y16-00,BE,2022,1
TOTAL,2-Rarely,Total,Y16-00,BE,2022,4.1
TOTAL,3-Sometimes,Total,Y16-00,BE,2022,16.4
TOTAL,5-Always,Total,Y16-00,BG,2022,4.8
TOTAL,4-Most Times,Total,Y16-00,BG,2022,31.7
TOTAL,1-Never,Total,Y16-00,BG,2022,2.3
TOTAL,2-Rarely,Total,Y16-00,BG,2022,15.1
TOTAL,3-Sometimes,Total,Y16-00,BG,2022,38.5
TOTAL,5-Always,Total,Y16-00,CH,2022,13.8
TOTAL,4-Most Times,Total,Y16-00,CH,2022,62.8
TOTAL,1-Never,Total,Y16-00,CH,2022,0.8
TOTAL,2-Rarely,Total,Y16-00,CH,2022,3.8
TOTAL,3-Sometimes,Total,Y16-00,CH,2022,18.8
TOTAL,5-Always,Total,Y16-00,CY,2022,10.5
TOTAL,4-Most Times,Total,Y16-00,CY,2022,55.3
TOTAL,1-Never,Total,Y16-00,CY,2022,1.3
TOTAL,2-Rarely,Total,Y16-00,CY,2022,6.3
TOTAL,3-Sometimes,Total,Y16-00,CY,2022,26.1
TOTAL,5-Always,Total,Y16-00,CZ,2022,4.4
TOTAL,4-Most Times,Total,Y16-00,CZ,2022,38.6
TOTAL,1-Never,Total,Y16-00,CZ,2022,1.4
TOTAL,2-Rarely,Total,Y16-00,CZ,2022,10.6
TOTAL,3-Sometimes,Total,Y16-00,CZ,2022,39.8
TOTAL,5-Always,Total,Y16-00,DK,2022,6.2
TOTAL,4-Most Times,Total,Y16-00,DK,2022,58.5
TOTAL,1-Never,Total,Y16-00,DK,2022,1.8
TOTAL,2-Rarely,Total,Y16-00,DK,2022,9
TOTAL,3-Sometimes,Total,Y16-00,DK,2022,23.1
TOTAL,5-Always,Total,Y16-00,EE,2022,5.4
TOTAL,4-Most Times,Total,Y16-00,EE,2022,44.7
TOTAL,1-Never,Total,Y16-00,EE,2022,3.3
TOTAL,2-Rarely,Total,Y16-00,EE,2022,11.3
TOTAL,3-Sometimes,Total,Y16-00,EE,2022,35.3
