Ano,Trim,OBS_VALUE,Trimestre,Variacao
1995,1,2081639.5,1995-Q1,
1995,2,2097609.9,1995-Q2,0.767
1995,3,2103395.5,1995-Q3,0.276
1995,4,2108805.7,1995-Q4,0.257
1996,1,2115460,1996-Q1,0.316
1996,2,2132007.6,1996-Q2,0.782
1996,3,2141307.8,1996-Q3,0.436
1996,4,2151424.3,1996-Q4,0.472
1997,1,2160684.1,1997-Q1,0.43
1997,2,2186415.5,1997-Q2,1.191
1997,3,2202318.4,1997-Q3,0.727
1997,4,2225277.2,1997-Q4,1.042
1998,1,2241588.5,1998-Q1,0.733
1998,2,2250383.4,1998-Q2,0.392
1998,3,2263811,1998-Q3,0.597
1998,4,2271779,1998-Q4,0.352
1999,1,2293319.7,1999-Q1,0.948
1999,2,2304912.2,1999-Q2,0.505
1999,3,2334557.9,1999-Q3,1.286
1999,4,2359294.9,1999-Q4,1.06
2000,1,2388574.9,2000-Q1,1.241
2000,2,2412497,2000-Q2,1.002
2000,3,2427824.5,2000-Q3,0.635
2000,4,2440823.7,2000-Q4,0.535
2001,1,2464793.2,2001-Q1,0.982
2001,2,2465489.9,2001-Q2,0.028
2001,3,2472174.3,2001-Q3,0.271
2001,4,2472464.4,2001-Q4,0.012
2002,1,2478987.7,2002-Q1,0.264
2002,2,2490789.5,2002-Q2,0.476
2002,3,2502193.8,2002-Q3,0.458
2002,4,2507297.6,2002-Q4,0.204
2003,1,2503125.6,2003-Q1,-0.166
2003,2,2505683.1,2003-Q2,0.102
2003,3,2522561.6,2003-Q3,0.674
2003,4,2539172.2,2003-Q4,0.658
2004,1,2555992,2004-Q1,0.662
2004,2,2572613.8,2004-Q2,0.65
2004,3,2579983.6,2004-Q3,0.286
2004,4,2592878.7,2004-Q4,0.5
2005,1,2600303.8,2005-Q1,0.286
2005,2,2617781.2,2005-Q2,0.672
2005,3,2638549.7,2005-Q3,0.793
2005,4,2657699.2,2005-Q4,0.726
2006,1,2684619.4,2006-Q1,1.013
2006,2,2717131.3,2006-Q2,1.211
2006,3,2733098.8,2006-Q3,0.588
2006,4,2761842.5,2006-Q4,1.052
2007,1,2783712,2007-Q1,0.792
2007,2,2802600.6,2007-Q2,0.679
2007,3,2815955,2007-Q3,0.477
2007,4,2833096.6,2007-Q4,0.609
2008,1,2851006.3,2008-Q1,0.632
2008,2,2839949.1,2008-Q2,-0.388
2008,3,2826337.3,2008-Q3,-0.479
2008,4,2777801.8,2008-Q4,-1.717
2009,1,2695968,2009-Q1,-2.946
2009,2,2695718,2009-Q2,-0.009
2009,3,2706235.6,2009-Q3,0.39
2009,4,2718390.7,2009-Q4,0.449
2010,1,2727912.6,2010-Q1,0.35
2010,2,2755720.5,2010-Q2,1.019
2010,3,2768975.1,2010-Q3,0.481
2010,4,2785492.1,2010-Q4,0.597
2011,1,2812731.2,2011-Q1,0.978
2011,2,2816164.1,2011-Q2,0.122
2011,3,2818641.6,2011-Q3,0.088
2011,4,2808356.1,2011-Q4,-0.365
2012,1,2804397.4,2012-Q1,-0.141
2012,2,2795829.3,2012-Q2,-0.306
2012,3,2792312.6,2012-Q3,-0.126
2012,4,2780241.2,2012-Q4,-0.432
2013,1,2772994.3,2013-Q1,-0.261
2013,2,2791026.1,2013-Q2,0.65
2013,3,2801180.7,2013-Q3,0.364
2013,4,2808690.6,2013-Q4,0.268
2014,1,2821999.9,2014-Q1,0.474
2014,2,2830763.5,2014-Q2,0.311
2014,3,2846441.1,2014-Q3,0.554
2014,4,2857681.4,2014-Q4,0.395
2015,1,2881061,2015-Q1,0.818
2015,2,2896675.9,2015-Q2,0.542
2015,3,2909106.8,2015-Q3,0.429
2015,4,2924188.8,2015-Q4,0.518
2016,1,2937983.8,2016-Q1,0.472
2016,2,2947181.8,2016-Q2,0.313
2016,3,2961536.9,2016-Q3,0.487
2016,4,2984245.4,2016-Q4,0.767
2017,1,3009986.4,2017-Q1,0.863
2017,2,3033136.8,2017-Q2,0.769
2017,3,3055021.7,2017-Q3,0.722
2017,4,3079474,2017-Q4,0.8
2018,1,3086139,2018-Q1,0.216
2018,2,3102821.1,2018-Q2,0.541
2018,3,3108368.7,2018-Q3,0.179
2018,4,3127530.9,2018-Q4,0.616
2019,1,3150099.2,2019-Q1,0.722
2019,2,3164488.2,2019-Q2,0.457
2019,3,3171094.1,2019-Q3,0.209
2019,4,3174767.4,2019-Q4,0.116
2020,1,3080353.8,2020-Q1,-2.974
2020,2,2750411.8,2020-Q2,-10.711
2020,3,3047645.3,2020-Q3,10.807
2020,4,3062267.9,2020-Q4,0.48
2021,1,3086588.5,2021-Q1,0.794
2021,2,3153780.1,2021-Q2,2.177
2021,3,3206785.2,2021-Q3,1.681
2021,4,3237557.1,2021-Q4,0.96
2022,1,3255910.6,2022-Q1,0.567
2022,2,3281948.9,2022-Q2,0.8
2022,3,3298076.1,2022-Q3,0.491
2022,4,3291554.5,2022-Q4,-0.198
2023,1,3298694.5,2023-Q1,0.217
2023,2,3301875,2023-Q2,0.096
2023,3,3305129.5,2023-Q3,0.099
2023,4,3306731.5,2023-Q4,0.048
2024,1,3320406.2,2024-Q1,0.414
2024,2,3330025.2,2024-Q2,0.29
2024,3,3343477.9,2024-Q3,0.404
2024,4,3356783.1,2024-Q4,0.398
2025,1,3373439.8,2025-Q1,0.496
2025,2,3380392.3,2025-Q2,0.206
