Mês,Taxa
1983-01,8.1
1983-02,8.1
1983-03,8.3
1983-04,8.5
1983-05,8.8
1983-06,9.0
1983-07,9.2
1983-08,9.4
1983-09,9.4
1983-10,9.3
1983-11,9.3
1983-12,9.3
1984-01,9.4
1984-02,9.4
1984-03,9.4
1984-04,9.5
1984-05,9.5
1984-06,9.6
1984-07,9.6
1984-08,9.7
1984-09,9.7
1984-10,9.8
1984-11,9.9
1984-12,9.8
1985-01,9.6
1985-02,9.6
1985-03,9.7
1985-04,9.8
1985-05,9.8
1985-06,9.8
1985-07,9.9
1985-08,10.0
1985-09,10.0
1985-10,10.0
1985-11,10.0
1985-12,10.1
1986-01,10.1
1986-02,10.1
1986-03,10.1
1986-04,9.9
1986-05,9.8
1986-06,9.7
1986-07,9.4
1986-08,9.2
1986-09,9.0
1986-10,9.0
1986-11,8.9
1986-12,8.9
1987-01,8.7
1987-02,8.7
1987-03,8.5
1987-04,8.3
1987-05,8.2
1987-06,8.1
1987-07,7.8
1987-08,7.7
1987-09,7.7
1987-10,7.6
1987-11,7.5
1987-12,7.3
1988-01,7.0
1988-02,7.0
1988-03,7.0
1988-04,7.1
1988-05,7.0
1988-06,6.7
1988-07,6.4
1988-08,6.3
1988-09,6.3
1988-10,6.4
1988-11,6.4
1988-12,6.3
1989-01,6.2
1989-02,6.2
1989-03,6.2
1989-04,6.1
1989-05,6.0
1989-06,6.1
1989-07,6.1
1989-08,6.0
1989-09,5.8
1989-10,5.7
1989-11,5.8
1989-12,5.9
1990-01,6.0
1990-02,5.9
1990-03,5.7
1990-04,5.4
1990-05,5.4
1990-06,5.6
1990-07,5.7
1990-08,5.8
1990-09,5.8
1990-10,5.5
1990-11,5.4
1990-12,5.3
1991-01,5.2
1991-02,5.0
1991-03,4.9
1991-04,4.8
1991-05,4.9
1991-06,5.0
1991-07,5.2
1991-08,5.2
1991-09,5.2
1991-10,5.2
1991-11,5.0
1991-12,4.9
1992-01,4.8
1992-02,4.8
1992-03,4.8
1992-04,4.9
1992-05,4.9
1992-06,4.9
1992-07,5.0
1992-08,5.0
1992-09,5.1
1992-10,5.1
1992-11,5.2
1992-12,5.4
1993-01,5.5
1993-02,5.7
1993-03,5.9
1993-04,6.1
1993-05,6.2
1993-06,6.3
1993-07,6.4
1993-08,6.5
1993-09,6.6
1993-10,6.7
1993-11,6.8
1993-12,7.0
1994-01,7.2
1994-02,7.3
1994-03,7.4
1994-04,7.5
1994-05,7.6
1994-06,7.6
1994-07,7.7
1994-08,7.6
1994-09,7.7
1994-10,7.8
1994-11,7.8
1994-12,7.8
1995-01,7.9
1995-02,8.0
1995-03,8.0
1995-04,8.0
1995-05,7.9
1995-06,7.8
1995-07,7.8
1995-08,7.8
1995-09,7.8
1995-10,8.0
1995-11,8.0
1995-12,8.0
1996-01,8.0
1996-02,8.0
1996-03,8.1
1996-04,8.2
