Ano,Mes,Origem,Dormidas
1990,1,Residente,381502
1990,2,Residente,428472
1990,3,Residente,479313
1990,4,Residente,593453
1990,5,Residente,512566
1990,6,Residente,607454
1990,7,Residente,779926
1990,8,Residente,1131131
1990,9,Residente,790332
1990,10,Residente,533189
1990,11,Residente,427201
1990,12,Residente,438663
2001,1,Residente,528144
2001,2,Residente,596065
2001,3,Residente,691523
2001,4,Residente,912373
2001,5,Residente,743887
2001,6,Residente,893768
2001,7,Residente,1142780
2001,8,Residente,1542711
2001,9,Residente,983342
2001,10,Residente,739457
2001,11,Residente,642188
2001,12,Residente,568782
2011,1,Residente,686301
2011,2,Residente,687102
2011,3,Residente,883656
2011,4,Residente,1156774
2011,5,Residente,999459
2011,6,Residente,1368271
2011,7,Residente,1718951
2011,8,Residente,2423342
2011,9,Residente,1372004
2011,10,Residente,971046
2011,11,Residente,651096
2011,12,Residente,721663
2012,1,Residente,562793
2012,2,Residente,645546
2012,3,Residente,812975
2012,4,Residente,896513
2012,5,Residente,895479
2012,6,Residente,1238276
2012,7,Residente,1584827
2012,8,Residente,2282809
2012,9,Residente,1345466
2012,10,Residente,858992
2012,11,Residente,626632
2012,12,Residente,674152
2013,1,Residente,530611
2013,2,Residente,602401
2013,3,Residente,849114
2013,4,Residente,810435
2013,5,Residente,933831
2013,6,Residente,1323496
2013,7,Residente,1587800
2013,8,Residente,2346556
2013,9,Residente,1376757
2013,10,Residente,885256
2013,11,Residente,703354
2013,12,Residente,732918
2014,1,Residente,594421
2014,2,Residente,627053
2014,3,Residente,833703
2014,4,Residente,1138171
2014,5,Residente,1112685
2014,6,Residente,1410623
2014,7,Residente,1844372
2014,8,Residente,2704080
2014,9,Residente,1532698
2014,10,Residente,1024709
2014,11,Residente,758513
2014,12,Residente,861149
2015,1,Residente,677302
2015,2,Residente,736957
2015,3,Residente,946440
2015,4,Residente,1059724
2015,5,Residente,1213174
2015,6,Residente,1485908
2015,7,Residente,1951044
2015,8,Residente,2717025
2015,9,Residente,1599613
2015,10,Residente,1050047
2015,11,Residente,812172
2015,12,Residente,903209
2016,1,Residente,739008
2016,2,Residente,823503
2016,3,Residente,1115133
2016,4,Residente,1105251
2016,5,Residente,1191327
2016,6,Residente,1629901
2016,7,Residente,2004395
2016,8,Residente,2655423
2016,9,Residente,1692573
2016,10,Residente,1180211
2016,11,Residente,850744
2016,12,Residente,944305
2017,1,Residente,757962
2017,2,Residente,868479
2017,3,Residente,993816
2017,4,Residente,1419917
2017,5,Residente,1239930
2017,6,Residente,1636378
2017,7,Residente,2089028
2017,8,Residente,2716331
2017,9,Residente,1727208
2017,10,Residente,1251139
2017,11,Residente,912924
2017,12,Residente,1068577
2018,1,Residente,780279
2018,2,Residente,913644
2018,3,Residente,1124458
2018,4,Residente,1249684
2018,5,Residente,1284251
2018,6,Residente,1664424
2018,7,Residente,2101655
2018,8,Residente,2834279
2018,9,Residente,1832273
2018,10,Residente,1344500
2018,11,Residente,995674
2018,12,Residente,1058067
2019,1,Residente,828305
2019,2,Residente,885534
2019,3,Residente,1158454
2019,4,Residente,1432269
2019,5,Residente,1375844
2019,6,Residente,1834977
2019,7,Residente,2122055
2019,8,Residente,2897105
2019,9,Residente,1882614
2019,10,Residente,1283630
2019,11,Residente,1116985
2019,12,Residente,1085857
2020,1,Residente,922328
2020,2,Residente,1105220
2020,3,Residente,461543
2020,4,Residente,75192
2020,5,Residente,161644
2020,6,Residente,678633
2020,7,Residente,1423797
2020,8,Residente,2790695
2020,9,Residente,1684929
2020,10,Residente,972265
2020,11,Residente,426395
2020,12,Residente,469656
2021,1,Residente,312358
2021,2,Residente,235259
2021,3,Residente,325941
2021,4,Residente,484736
2021,5,Residente,954390
2021,6,Residente,1590358
2021,7,Residente,2144282
2021,8,Residente,3495944
2021,9,Residente,2075989
2021,10,Residente,1546890
2021,11,Residente,1008543
2021,12,Residente,880237
2022,1,Residente,669231
2022,2,Residente,918637
2022,3,Residente,1029842
2022,4,Residente,1530949
2022,5,Residente,1428366
2022,6,Residente,1880401
2022,7,Residente,2326342
2022,8,Residente,2980989
2022,9,Residente,1964355
2022,10,Residente,1486282
2022,11,Residente,1064168
2022,12,Residente,1146380
2023,1,Residente,930678
2023,2,Residente,1074665
2023,3,Residente,1192073
